anio,sector,unidad,variable,valor,fuente
2001,extraccion_petroleo_gas,Millones de pesos 2018,KTA,457013.0678591406,AFIP (combinada)
2002,extraccion_petroleo_gas,Millones de pesos 2018,KTA,778489.2357177554,AFIP (combinada)
2003,extraccion_petroleo_gas,Millones de pesos 2018,KTA,723823.7363497312,AFIP (combinada)
2004,extraccion_petroleo_gas,Millones de pesos 2018,KTA,905669.9944217307,AFIP (combinada)
2005,extraccion_petroleo_gas,Millones de pesos 2018,KTA,701405.6906751558,AFIP (combinada)
2006,extraccion_petroleo_gas,Millones de pesos 2018,KTA,979507.5426958221,AFIP (combinada)
2007,extraccion_petroleo_gas,Millones de pesos 2018,KTA,919622.2875999248,AFIP (combinada)
2008,extraccion_petroleo_gas,Millones de pesos 2018,KTA,872813.6084008368,AFIP (combinada)
2009,extraccion_petroleo_gas,Millones de pesos 2018,KTA,781034.5489847009,AFIP (combinada)
2010,extraccion_petroleo_gas,Millones de pesos 2018,KTA,668395.3586799374,AFIP (combinada)
2011,extraccion_petroleo_gas,Millones de pesos 2018,KTA,589442.0589216385,AFIP (combinada)
2012,extraccion_petroleo_gas,Millones de pesos 2018,KTA,604219.3889039739,AFIP (combinada)
2013,extraccion_petroleo_gas,Millones de pesos 2018,KTA,648219.655312949,AFIP (combinada)
2014,extraccion_petroleo_gas,Millones de pesos 2018,KTA,597533.8359181157,AFIP (combinada)
2015,extraccion_petroleo_gas,Millones de pesos 2018,KTA,676356.714881984,AFIP (combinada)
2016,extraccion_petroleo_gas,Millones de pesos 2018,KTA,595081.661031153,AFIP (combinada)
2017,extraccion_petroleo_gas,Millones de pesos 2018,KTA,535655.791997022,AFIP (combinada)
2018,extraccion_petroleo_gas,Millones de pesos 2018,KTA,1452279.18462635,AFIP (combinada)
2019,extraccion_petroleo_gas,Millones de pesos 2018,KTA,1529105.4282337888,AFIP (combinada)
2020,extraccion_petroleo_gas,Millones de pesos 2018,KTA,60583.8089001254,AFIP (combinada)
2021,extraccion_petroleo_gas,Millones de pesos 2018,KTA,1283399.8289350609,AFIP (combinada)
2022,extraccion_petroleo_gas,Millones de pesos 2018,KTA,1372200.1014508954,AFIP (combinada)
2001,extraccion_petroleo_gas,Millones de pesos 2018,activo,566361.8098842695,AFIP (combinada)
2002,extraccion_petroleo_gas,Millones de pesos 2018,activo,1006678.369912202,AFIP (combinada)
2003,extraccion_petroleo_gas,Millones de pesos 2018,activo,967221.6313693776,AFIP (combinada)
2004,extraccion_petroleo_gas,Millones de pesos 2018,activo,1136228.736744508,AFIP (combinada)
2005,extraccion_petroleo_gas,Millones de pesos 2018,activo,893881.5921521555,AFIP (combinada)
2006,extraccion_petroleo_gas,Millones de pesos 2018,activo,1208493.525090176,AFIP (combinada)
2007,extraccion_petroleo_gas,Millones de pesos 2018,activo,1152192.8927550248,AFIP (combinada)
2008,extraccion_petroleo_gas,Millones de pesos 2018,activo,1033952.1055128858,AFIP (combinada)
2009,extraccion_petroleo_gas,Millones de pesos 2018,activo,939479.4479914213,AFIP (combinada)
2010,extraccion_petroleo_gas,Millones de pesos 2018,activo,888516.1982583012,AFIP (combinada)
2011,extraccion_petroleo_gas,Millones de pesos 2018,activo,851554.7536345295,AFIP (combinada)
2012,extraccion_petroleo_gas,Millones de pesos 2018,activo,883673.1938586794,AFIP (combinada)
2013,extraccion_petroleo_gas,Millones de pesos 2018,activo,866175.4845384983,AFIP (combinada)
2014,extraccion_petroleo_gas,Millones de pesos 2018,activo,971269.7783501026,AFIP (combinada)
2015,extraccion_petroleo_gas,Millones de pesos 2018,activo,1331075.337435945,AFIP (combinada)
2016,extraccion_petroleo_gas,Millones de pesos 2018,activo,1225205.5603413412,AFIP (combinada)
2017,extraccion_petroleo_gas,Millones de pesos 2018,activo,1144583.5290014069,AFIP (combinada)
2018,extraccion_petroleo_gas,Millones de pesos 2018,activo,2168904.84910892,AFIP (combinada)
2019,extraccion_petroleo_gas,Millones de pesos 2018,activo,2245068.079604706,AFIP (combinada)
2020,extraccion_petroleo_gas,Millones de pesos 2018,activo,125759.55174408232,AFIP (combinada)
2021,extraccion_petroleo_gas,Millones de pesos 2018,activo,1872506.278004748,AFIP (combinada)
2022,extraccion_petroleo_gas,Millones de pesos 2018,activo,2056500.046995093,AFIP (combinada)
2001,extraccion_petroleo_gas,Millones de pesos 2018,ppye,350212.5048247018,AFIP (combinada)
2002,extraccion_petroleo_gas,Millones de pesos 2018,ppye,650538.7897876343,AFIP (combinada)
2003,extraccion_petroleo_gas,Millones de pesos 2018,ppye,586759.4221845468,AFIP (combinada)
2004,extraccion_petroleo_gas,Millones de pesos 2018,ppye,655280.6741955163,AFIP (combinada)
2005,extraccion_petroleo_gas,Millones de pesos 2018,ppye,578514.4701920009,AFIP (combinada)
2006,extraccion_petroleo_gas,Millones de pesos 2018,ppye,683331.9642005743,AFIP (combinada)
2007,extraccion_petroleo_gas,Millones de pesos 2018,ppye,682801.0602907616,AFIP (combinada)
2008,extraccion_petroleo_gas,Millones de pesos 2018,ppye,655653.6489766135,AFIP (combinada)
2009,extraccion_petroleo_gas,Millones de pesos 2018,ppye,595227.5257195081,AFIP (combinada)
2010,extraccion_petroleo_gas,Millones de pesos 2018,ppye,499331.2515951269,AFIP (combinada)
2011,extraccion_petroleo_gas,Millones de pesos 2018,ppye,446774.0538188668,AFIP (combinada)
2012,extraccion_petroleo_gas,Millones de pesos 2018,ppye,464698.19404896547,AFIP (combinada)
2013,extraccion_petroleo_gas,Millones de pesos 2018,ppye,492854.1366215982,AFIP (combinada)
2014,extraccion_petroleo_gas,Millones de pesos 2018,ppye,529019.2943434226,AFIP (combinada)
2015,extraccion_petroleo_gas,Millones de pesos 2018,ppye,581696.5029560219,AFIP (combinada)
2016,extraccion_petroleo_gas,Millones de pesos 2018,ppye,524826.8158887702,AFIP (combinada)
2017,extraccion_petroleo_gas,Millones de pesos 2018,ppye,473974.7306089689,AFIP (combinada)
2018,extraccion_petroleo_gas,Millones de pesos 2018,ppye,1334186.19274905,AFIP (combinada)
2019,extraccion_petroleo_gas,Millones de pesos 2018,ppye,1406729.3985541947,AFIP (combinada)
