anio,sector,variable,valor,unidad,fuente
2014,extraccion_petroleo_gas,KTA,597533.8359181157,Millones de pesos 2018,AFIP (nuevo)
2014,extraccion_petroleo_gas,ppye,529019.2943434226,Millones de pesos 2018,AFIP (nuevo)
2014,extraccion_petroleo_gas,activo,971269.7783501026,Millones de pesos 2018,AFIP (nuevo)
2015,extraccion_petroleo_gas,KTA,676356.714881984,Millones de pesos 2018,AFIP (nuevo)
2015,extraccion_petroleo_gas,ppye,581696.5029560219,Millones de pesos 2018,AFIP (nuevo)
2015,extraccion_petroleo_gas,activo,1331075.337435945,Millones de pesos 2018,AFIP (nuevo)
2016,extraccion_petroleo_gas,KTA,595081.661031153,Millones de pesos 2018,AFIP (nuevo)
2016,extraccion_petroleo_gas,ppye,524826.8158887702,Millones de pesos 2018,AFIP (nuevo)
2016,extraccion_petroleo_gas,activo,1225205.5603413412,Millones de pesos 2018,AFIP (nuevo)
2017,extraccion_petroleo_gas,KTA,535655.791997022,Millones de pesos 2018,AFIP (nuevo)
2017,extraccion_petroleo_gas,ppye,473974.7306089689,Millones de pesos 2018,AFIP (nuevo)
2017,extraccion_petroleo_gas,activo,1144583.5290014069,Millones de pesos 2018,AFIP (nuevo)
2018,extraccion_petroleo_gas,KTA,1452279.18462635,Millones de pesos 2018,AFIP (nuevo)
2018,extraccion_petroleo_gas,ppye,1334186.19274905,Millones de pesos 2018,AFIP (nuevo)
2018,extraccion_petroleo_gas,activo,2168904.84910892,Millones de pesos 2018,AFIP (nuevo)
2019,extraccion_petroleo_gas,KTA,1529105.4282337888,Millones de pesos 2018,AFIP (nuevo)
2019,extraccion_petroleo_gas,ppye,1406729.3985541947,Millones de pesos 2018,AFIP (nuevo)
2019,extraccion_petroleo_gas,activo,2245068.079604706,Millones de pesos 2018,AFIP (nuevo)
2020,extraccion_petroleo_gas,KTA,60583.8089001254,Millones de pesos 2018,AFIP (nuevo)
2020,extraccion_petroleo_gas,ppye,58229.1928651791,Millones de pesos 2018,AFIP (nuevo)
2020,extraccion_petroleo_gas,activo,125759.55174408232,Millones de pesos 2018,AFIP (nuevo)
2021,extraccion_petroleo_gas,KTA,1283399.8289350609,Millones de pesos 2018,AFIP (nuevo)
2021,extraccion_petroleo_gas,ppye,1182449.9031330682,Millones de pesos 2018,AFIP (nuevo)
2021,extraccion_petroleo_gas,activo,1872506.278004748,Millones de pesos 2018,AFIP (nuevo)
2022,extraccion_petroleo_gas,KTA,1372200.1014508954,Millones de pesos 2018,AFIP (nuevo)
2022,extraccion_petroleo_gas,ppye,1253955.0299537336,Millones de pesos 2018,AFIP (nuevo)
2022,extraccion_petroleo_gas,activo,2056500.046995093,Millones de pesos 2018,AFIP (nuevo)
2014,servicios_petroleros,KTA,45295.5623461389,Millones de pesos 2018,AFIP (nuevo)
2014,servicios_petroleros,ppye,30398.294919049582,Millones de pesos 2018,AFIP (nuevo)
2014,servicios_petroleros,activo,111098.70825943351,Millones de pesos 2018,AFIP (nuevo)
2015,servicios_petroleros,KTA,56975.84933544367,Millones de pesos 2018,AFIP (nuevo)
2015,servicios_petroleros,ppye,36724.32330956436,Millones de pesos 2018,AFIP (nuevo)
2015,servicios_petroleros,activo,127322.25253441534,Millones de pesos 2018,AFIP (nuevo)
2016,servicios_petroleros,KTA,45872.51079457561,Millones de pesos 2018,AFIP (nuevo)
2016,servicios_petroleros,ppye,30877.867492464964,Millones de pesos 2018,AFIP (nuevo)
2016,servicios_petroleros,activo,100968.53447786377,Millones de pesos 2018,AFIP (nuevo)
2017,servicios_petroleros,KTA,39194.89904240305,Millones de pesos 2018,AFIP (nuevo)
2017,servicios_petroleros,ppye,26516.913083939737,Millones de pesos 2018,AFIP (nuevo)
2017,servicios_petroleros,activo,101545.24186056237,Millones de pesos 2018,AFIP (nuevo)
2018,servicios_petroleros,KTA,79259.27274371,Millones de pesos 2018,AFIP (nuevo)
2018,servicios_petroleros,ppye,55056.34624858,Millones de pesos 2018,AFIP (nuevo)
2018,servicios_petroleros,activo,168380.35332721,Millones de pesos 2018,AFIP (nuevo)
2019,servicios_petroleros,KTA,97922.2779616864,Millones de pesos 2018,AFIP (nuevo)
2019,servicios_petroleros,ppye,67886.7575996429,Millones de pesos 2018,AFIP (nuevo)
2019,servicios_petroleros,activo,185583.0544909629,Millones de pesos 2018,AFIP (nuevo)
2020,servicios_petroleros,KTA,75071.83209991828,Millones de pesos 2018,AFIP (nuevo)
2020,servicios_petroleros,ppye,54373.51877273335,Millones de pesos 2018,AFIP (nuevo)
2020,servicios_petroleros,activo,156545.0270177582,Millones de pesos 2018,AFIP (nuevo)
2021,servicios_petroleros,KTA,73004.14592986382,Millones de pesos 2018,AFIP (nuevo)
2021,servicios_petroleros,ppye,53345.7577116237,Millones de pesos 2018,AFIP (nuevo)
2021,servicios_petroleros,activo,155347.9169234333,Millones de pesos 2018,AFIP (nuevo)
2022,servicios_petroleros,KTA,82055.09930620145,Millones de pesos 2018,AFIP (nuevo)
2022,servicios_petroleros,ppye,58007.309805577665,Millones de pesos 2018,AFIP (nuevo)
2022,servicios_petroleros,activo,174991.686848381,Millones de pesos 2018,AFIP (nuevo)
