anio,sector,variable,valor,unidad,fuente
2014,extraccion_petroleo_gas,KTA,229609.93587659,Millones de pesos corrientes,AFIP (nuevo)
2014,extraccion_petroleo_gas,ppye,203282.35649623998,Millones de pesos corrientes,AFIP (nuevo)
2014,extraccion_petroleo_gas,activo,373222.69990481,Millones de pesos corrientes,AFIP (nuevo)
2015,extraccion_petroleo_gas,KTA,328948.83548769,Millones de pesos corrientes,AFIP (nuevo)
2015,extraccion_petroleo_gas,ppye,282910.45692957,Millones de pesos corrientes,AFIP (nuevo)
2015,extraccion_petroleo_gas,activo,647373.89688271,Millones de pesos corrientes,AFIP (nuevo)
2016,extraccion_petroleo_gas,KTA,402145.17119308,Millones de pesos corrientes,AFIP (nuevo)
2016,extraccion_petroleo_gas,ppye,354668.24730675,Millones de pesos corrientes,AFIP (nuevo)
2016,extraccion_petroleo_gas,activo,827971.2383615,Millones de pesos corrientes,AFIP (nuevo)
2017,extraccion_petroleo_gas,KTA,446745.56017049996,Millones de pesos corrientes,AFIP (nuevo)
2017,extraccion_petroleo_gas,ppye,395302.56126446,Millones de pesos corrientes,AFIP (nuevo)
2017,extraccion_petroleo_gas,activo,954601.1029196599,Millones de pesos corrientes,AFIP (nuevo)
2018,extraccion_petroleo_gas,KTA,1452279.18462635,Millones de pesos corrientes,AFIP (nuevo)
2018,extraccion_petroleo_gas,ppye,1334186.19274905,Millones de pesos corrientes,AFIP (nuevo)
2018,extraccion_petroleo_gas,activo,2168904.84910892,Millones de pesos corrientes,AFIP (nuevo)
2019,extraccion_petroleo_gas,KTA,2350034.28671851,Millones de pesos corrientes,AFIP (nuevo)
2019,extraccion_petroleo_gas,ppye,2161958.39586793,Millones de pesos corrientes,AFIP (nuevo)
2019,extraccion_petroleo_gas,activo,3450374.88303369,Millones de pesos corrientes,AFIP (nuevo)
2020,extraccion_petroleo_gas,KTA,132185.12476031,Millones de pesos corrientes,AFIP (nuevo)
2020,extraccion_petroleo_gas,ppye,127047.69249924,Millones de pesos corrientes,AFIP (nuevo)
2020,extraccion_petroleo_gas,activo,274389.18646559,Millones de pesos corrientes,AFIP (nuevo)
2021,extraccion_petroleo_gas,KTA,4153558.4490047903,Millones de pesos corrientes,AFIP (nuevo)
2021,extraccion_petroleo_gas,ppye,3826847.0004072003,Millones de pesos corrientes,AFIP (nuevo)
2021,extraccion_petroleo_gas,activo,6060125.68840281,Millones de pesos corrientes,AFIP (nuevo)
2022,extraccion_petroleo_gas,KTA,7652819.663783812,Millones de pesos corrientes,AFIP (nuevo)
2022,extraccion_petroleo_gas,ppye,6993361.755755531,Millones de pesos corrientes,AFIP (nuevo)
2022,extraccion_petroleo_gas,activo,11469190.23076575,Millones de pesos corrientes,AFIP (nuevo)
2014,servicios_petroleros,KTA,17405.39286752,Millones de pesos corrientes,AFIP (nuevo)
2014,servicios_petroleros,ppye,11680.92939272,Millones de pesos corrientes,AFIP (nuevo)
2014,servicios_petroleros,activo,42691.084163,Millones de pesos corrientes,AFIP (nuevo)
2015,servicios_petroleros,KTA,27710.43574704,Millones de pesos corrientes,AFIP (nuevo)
2015,servicios_petroleros,ppye,17861.02380733,Millones de pesos corrientes,AFIP (nuevo)
2015,servicios_petroleros,activo,61923.69467371,Millones de pesos corrientes,AFIP (nuevo)
2016,servicios_petroleros,KTA,30999.79366626,Millones de pesos corrientes,AFIP (nuevo)
2016,servicios_petroleros,ppye,20866.69128287,Millones de pesos corrientes,AFIP (nuevo)
2016,servicios_petroleros,activo,68232.66660975,Millones de pesos corrientes,AFIP (nuevo)
2017,servicios_petroleros,KTA,32689.17724803,Millones de pesos corrientes,AFIP (nuevo)
2017,servicios_petroleros,ppye,22115.53271087,Millones de pesos corrientes,AFIP (nuevo)
2017,servicios_petroleros,activo,84690.36764919,Millones de pesos corrientes,AFIP (nuevo)
2018,servicios_petroleros,KTA,79259.27274371,Millones de pesos corrientes,AFIP (nuevo)
2018,servicios_petroleros,ppye,55056.34624858,Millones de pesos corrientes,AFIP (nuevo)
2018,servicios_petroleros,activo,168380.35332721,Millones de pesos corrientes,AFIP (nuevo)
2019,servicios_petroleros,KTA,150493.68499682,Millones de pesos corrientes,AFIP (nuevo)
2019,servicios_petroleros,ppye,104333.03356825,Millones de pesos corrientes,AFIP (nuevo)
2019,servicios_petroleros,activo,285216.78952606,Millones de pesos corrientes,AFIP (nuevo)
2020,servicios_petroleros,KTA,163795.89980009,Millones de pesos corrientes,AFIP (nuevo)
2020,servicios_petroleros,ppye,118635.16825889,Millones de pesos corrientes,AFIP (nuevo)
2020,servicios_petroleros,activo,341558.64912788,Millones de pesos corrientes,AFIP (nuevo)
2021,servicios_petroleros,KTA,236268.52700376013,Millones de pesos corrientes,AFIP (nuevo)
2021,servicios_petroleros,ppye,172646.6824025801,Millones de pesos corrientes,AFIP (nuevo)
2021,servicios_petroleros,activo,502763.5490710898,Millones de pesos corrientes,AFIP (nuevo)
2022,servicios_petroleros,KTA,457624.85866329994,Millones de pesos corrientes,AFIP (nuevo)
2022,servicios_petroleros,ppye,323509.29041176,Millones de pesos corrientes,AFIP (nuevo)
2022,servicios_petroleros,activo,975936.2506211796,Millones de pesos corrientes,AFIP (nuevo)
