anio,sector,unidad,variable,valor,fuente
2001,extraccion_petroleo_gas,Millones de pesos 2018,KTA,457013.0678591406,AFIP
2001,extraccion_petroleo_gas,Millones de pesos 2018,ppye,350212.5048247018,AFIP
2001,extraccion_petroleo_gas,Millones de pesos 2018,activo,566361.8098842695,AFIP
2002,extraccion_petroleo_gas,Millones de pesos 2018,KTA,778489.2357177554,AFIP
2002,extraccion_petroleo_gas,Millones de pesos 2018,ppye,650538.7897876343,AFIP
2002,extraccion_petroleo_gas,Millones de pesos 2018,activo,1006678.369912202,AFIP
2003,extraccion_petroleo_gas,Millones de pesos 2018,KTA,723823.7363497312,AFIP
2003,extraccion_petroleo_gas,Millones de pesos 2018,ppye,586759.4221845468,AFIP
2003,extraccion_petroleo_gas,Millones de pesos 2018,activo,967221.6313693776,AFIP
2004,extraccion_petroleo_gas,Millones de pesos 2018,KTA,905669.9944217307,AFIP
2004,extraccion_petroleo_gas,Millones de pesos 2018,ppye,655280.6741955163,AFIP
2004,extraccion_petroleo_gas,Millones de pesos 2018,activo,1136228.736744508,AFIP
2005,extraccion_petroleo_gas,Millones de pesos 2018,KTA,701405.6906751558,AFIP
2005,extraccion_petroleo_gas,Millones de pesos 2018,ppye,578514.4701920009,AFIP
2005,extraccion_petroleo_gas,Millones de pesos 2018,activo,893881.5921521555,AFIP
2006,extraccion_petroleo_gas,Millones de pesos 2018,KTA,979507.5426958221,AFIP
2006,extraccion_petroleo_gas,Millones de pesos 2018,ppye,683331.9642005743,AFIP
2006,extraccion_petroleo_gas,Millones de pesos 2018,activo,1208493.525090176,AFIP
2007,extraccion_petroleo_gas,Millones de pesos 2018,KTA,919622.2875999248,AFIP
2007,extraccion_petroleo_gas,Millones de pesos 2018,ppye,682801.0602907616,AFIP
2007,extraccion_petroleo_gas,Millones de pesos 2018,activo,1152192.8927550248,AFIP
2008,extraccion_petroleo_gas,Millones de pesos 2018,KTA,872813.6084008368,AFIP
2008,extraccion_petroleo_gas,Millones de pesos 2018,ppye,655653.6489766135,AFIP
2008,extraccion_petroleo_gas,Millones de pesos 2018,activo,1033952.1055128858,AFIP
2009,extraccion_petroleo_gas,Millones de pesos 2018,KTA,781034.5489847009,AFIP
2009,extraccion_petroleo_gas,Millones de pesos 2018,ppye,595227.5257195081,AFIP
2009,extraccion_petroleo_gas,Millones de pesos 2018,activo,939479.4479914213,AFIP
2010,extraccion_petroleo_gas,Millones de pesos 2018,KTA,668395.3586799374,AFIP
2010,extraccion_petroleo_gas,Millones de pesos 2018,ppye,499331.2515951269,AFIP
2010,extraccion_petroleo_gas,Millones de pesos 2018,activo,888516.1982583012,AFIP
2011,extraccion_petroleo_gas,Millones de pesos 2018,KTA,589442.0589216385,AFIP
2011,extraccion_petroleo_gas,Millones de pesos 2018,ppye,446774.0538188668,AFIP
2011,extraccion_petroleo_gas,Millones de pesos 2018,activo,851554.7536345295,AFIP
2012,extraccion_petroleo_gas,Millones de pesos 2018,KTA,604219.3889039739,AFIP
2012,extraccion_petroleo_gas,Millones de pesos 2018,ppye,464698.19404896547,AFIP
2012,extraccion_petroleo_gas,Millones de pesos 2018,activo,883673.1938586794,AFIP
2013,extraccion_petroleo_gas,Millones de pesos 2018,KTA,648219.655312949,AFIP
2013,extraccion_petroleo_gas,Millones de pesos 2018,ppye,492854.1366215982,AFIP
2013,extraccion_petroleo_gas,Millones de pesos 2018,activo,866175.4845384983,AFIP
2014,extraccion_petroleo_gas,Millones de pesos 2018,KTA,556793.7678480768,AFIP
2014,extraccion_petroleo_gas,Millones de pesos 2018,ppye,428163.5218886976,AFIP
2014,extraccion_petroleo_gas,Millones de pesos 2018,activo,771192.3223534545,AFIP
2001,servicios_petroleros,Millones de pesos 2018,KTA,29286.142650768335,AFIP
2001,servicios_petroleros,Millones de pesos 2018,ppye,16125.748808427366,AFIP
2001,servicios_petroleros,Millones de pesos 2018,activo,39637.97961061543,AFIP
2002,servicios_petroleros,Millones de pesos 2018,KTA,49732.594459293636,AFIP
2002,servicios_petroleros,Millones de pesos 2018,ppye,32712.16037340813,AFIP
2002,servicios_petroleros,Millones de pesos 2018,activo,62967.205042627524,AFIP
2003,servicios_petroleros,Millones de pesos 2018,KTA,48147.19611979925,AFIP
2003,servicios_petroleros,Millones de pesos 2018,ppye,30630.1572948419,AFIP
2003,servicios_petroleros,Millones de pesos 2018,activo,61422.2783804376,AFIP
2004,servicios_petroleros,Millones de pesos 2018,KTA,47697.74057133201,AFIP
2004,servicios_petroleros,Millones de pesos 2018,ppye,36517.4788329995,AFIP
2004,servicios_petroleros,Millones de pesos 2018,activo,61923.49336146938,AFIP
2005,servicios_petroleros,Millones de pesos 2018,KTA,45609.2916831983,AFIP
2005,servicios_petroleros,Millones de pesos 2018,ppye,35156.79861361069,AFIP
2005,servicios_petroleros,Millones de pesos 2018,activo,62429.82102499379,AFIP
2006,servicios_petroleros,Millones de pesos 2018,KTA,49270.97140536187,AFIP
2006,servicios_petroleros,Millones de pesos 2018,ppye,30982.74584819885,AFIP
2006,servicios_petroleros,Millones de pesos 2018,activo,81199.68465502824,AFIP
2007,servicios_petroleros,Millones de pesos 2018,KTA,54653.82064536289,AFIP
2007,servicios_petroleros,Millones de pesos 2018,ppye,38536.61121457721,AFIP
2007,servicios_petroleros,Millones de pesos 2018,activo,87659.12281234202,AFIP
2008,servicios_petroleros,Millones de pesos 2018,KTA,44733.71140590958,AFIP
2008,servicios_petroleros,Millones de pesos 2018,ppye,31277.721428652556,AFIP
2008,servicios_petroleros,Millones de pesos 2018,activo,79703.54854496068,AFIP
2009,servicios_petroleros,Millones de pesos 2018,KTA,45011.63796710274,AFIP
2009,servicios_petroleros,Millones de pesos 2018,ppye,32225.714038608126,AFIP
2009,servicios_petroleros,Millones de pesos 2018,activo,76441.92187788789,AFIP
2010,servicios_petroleros,Millones de pesos 2018,KTA,36032.04797374883,AFIP
2010,servicios_petroleros,Millones de pesos 2018,ppye,23988.175341933118,AFIP
2010,servicios_petroleros,Millones de pesos 2018,activo,68374.55354696595,AFIP
2011,servicios_petroleros,Millones de pesos 2018,KTA,34256.399202981884,AFIP
2011,servicios_petroleros,Millones de pesos 2018,ppye,23064.069841246685,AFIP
2011,servicios_petroleros,Millones de pesos 2018,activo,69333.55889808478,AFIP
2012,servicios_petroleros,Millones de pesos 2018,KTA,39785.724230677944,AFIP
2012,servicios_petroleros,Millones de pesos 2018,ppye,23796.631766645212,AFIP
2012,servicios_petroleros,Millones de pesos 2018,activo,86673.03660546867,AFIP
2013,servicios_petroleros,Millones de pesos 2018,KTA,40619.09153616514,AFIP
2013,servicios_petroleros,Millones de pesos 2018,ppye,25257.433095255077,AFIP
2013,servicios_petroleros,Millones de pesos 2018,activo,90476.71490723098,AFIP
2014,servicios_petroleros,Millones de pesos 2018,KTA,48077.4830795218,AFIP
2014,servicios_petroleros,Millones de pesos 2018,ppye,25363.371284352925,AFIP
2014,servicios_petroleros,Millones de pesos 2018,activo,100134.19708371554,AFIP
