anio,sector,variable,valor,unidad,fuente
2001,extraccion_petroleo_gas,KTA,17566.848046875,Millones de pesos corrientes,AFIP (v8)
2001,extraccion_petroleo_gas,ppye,13461.606,Millones de pesos corrientes,AFIP (v8)
2001,extraccion_petroleo_gas,activo,21770.038,Millones de pesos corrientes,AFIP (v8)
2002,extraccion_petroleo_gas,KTA,37664.7325,Millones de pesos corrientes,AFIP (v8)
2002,extraccion_petroleo_gas,ppye,31474.256,Millones de pesos corrientes,AFIP (v8)
2002,extraccion_petroleo_gas,activo,48704.94,Millones de pesos corrientes,AFIP (v8)
2003,extraccion_petroleo_gas,KTA,39727.5901875,Millones de pesos corrientes,AFIP (v8)
2003,extraccion_petroleo_gas,ppye,32204.716,Millones de pesos corrientes,AFIP (v8)
2003,extraccion_petroleo_gas,activo,53086.66,Millones de pesos corrientes,AFIP (v8)
2004,extraccion_petroleo_gas,KTA,51903.3345,Millones de pesos corrientes,AFIP (v8)
2004,extraccion_petroleo_gas,ppye,37553.692,Millones de pesos corrientes,AFIP (v8)
2004,extraccion_petroleo_gas,activo,65116.5,Millones de pesos corrientes,AFIP (v8)
2005,extraccion_petroleo_gas,KTA,44072.7529375,Millones de pesos corrientes,AFIP (v8)
2005,extraccion_petroleo_gas,ppye,36350.896,Millones de pesos corrientes,AFIP (v8)
2005,extraccion_petroleo_gas,activo,56166.956,Millones de pesos corrientes,AFIP (v8)
2006,extraccion_petroleo_gas,KTA,68254.552125,Millones de pesos corrientes,AFIP (v8)
2006,extraccion_petroleo_gas,ppye,47616.292,Millones de pesos corrientes,AFIP (v8)
2006,extraccion_petroleo_gas,activo,84210.872,Millones de pesos corrientes,AFIP (v8)
2007,extraccion_petroleo_gas,KTA,72465.0678125,Millones de pesos corrientes,AFIP (v8)
2007,extraccion_petroleo_gas,ppye,53803.856,Millones de pesos corrientes,AFIP (v8)
2007,extraccion_petroleo_gas,activo,90791.336,Millones de pesos corrientes,AFIP (v8)
2008,extraccion_petroleo_gas,KTA,84348.456,Millones de pesos corrientes,AFIP (v8)
2008,extraccion_petroleo_gas,ppye,63362.18,Millones de pesos corrientes,AFIP (v8)
2008,extraccion_petroleo_gas,activo,99920.834,Millones de pesos corrientes,AFIP (v8)
2009,extraccion_petroleo_gas,KTA,86686.249,Millones de pesos corrientes,AFIP (v8)
2009,extraccion_petroleo_gas,ppye,66063.712,Millones de pesos corrientes,AFIP (v8)
2009,extraccion_petroleo_gas,activo,104271.891,Millones de pesos corrientes,AFIP (v8)
2010,extraccion_petroleo_gas,KTA,93361.956,Millones de pesos corrientes,AFIP (v8)
2010,extraccion_petroleo_gas,ppye,69746.957,Millones de pesos corrientes,AFIP (v8)
2010,extraccion_petroleo_gas,activo,124108.597,Millones de pesos corrientes,AFIP (v8)
2011,extraccion_petroleo_gas,KTA,101971.634,Millones de pesos corrientes,AFIP (v8)
2011,extraccion_petroleo_gas,ppye,77290.515,Millones de pesos corrientes,AFIP (v8)
2011,extraccion_petroleo_gas,activo,147316.311,Millones de pesos corrientes,AFIP (v8)
2012,extraccion_petroleo_gas,KTA,129240.0,Millones de pesos corrientes,AFIP (v8)
