anio,empresa,fuente,sector,unidad,variable,valor
1997,PAE,Bolsar,produccion,Millones de pesos 2018,KTA,24974.65772423206
1997,PAE,Bolsar,produccion,Millones de pesos 2018,activo,0.0
1997,PAE,Bolsar,produccion,Millones de pesos 2018,activo_no_corr,12131.27467867484
1997,PAE,Bolsar,produccion,Millones de pesos 2018,inventarios,0.0
1997,PAE,Bolsar,produccion,Millones de pesos 2018,ppye,27670.496541715358
1997,PAE,Bolsar,produccion,Millones de pesos 2018,ppye_neta,24974.65772423206
1997,Petrobras,Bolsar,integrada,Millones de pesos 2018,KTA,35274.79660235221
1997,Petrobras,Bolsar,integrada,Millones de pesos 2018,activo,105392.03829859232
1997,Petrobras,Bolsar,integrada,Millones de pesos 2018,activo_no_corr,0.0
1997,Petrobras,Bolsar,integrada,Millones de pesos 2018,inventarios,661.243483533639
1997,Petrobras,Bolsar,integrada,Millones de pesos 2018,ppye,34613.55311881857
1997,Petrobras,Bolsar,integrada,Millones de pesos 2018,ppye_neta,34613.55311881857
1997,Tecpetrol,Bolsar,produccion,Millones de pesos 2018,KTA,0.0
1997,Tecpetrol,Bolsar,produccion,Millones de pesos 2018,activo,0.0
1997,Tecpetrol,Bolsar,produccion,Millones de pesos 2018,activo_no_corr,0.0
1997,Tecpetrol,Bolsar,produccion,Millones de pesos 2018,inventarios,0.0
1997,Tecpetrol,Bolsar,produccion,Millones de pesos 2018,ppye,0.0
1997,Tecpetrol,Bolsar,produccion,Millones de pesos 2018,ppye_neta,0.0
1998,Camuzzi Gas Pampeana,Bolsar,distribucion,Millones de pesos 2018,KTA,11978.420619244298
1998,Camuzzi Gas Pampeana,Bolsar,distribucion,Millones de pesos 2018,activo,15037.415263690382
1998,Camuzzi Gas Pampeana,Bolsar,distribucion,Millones de pesos 2018,activo_no_corr,13034.685556388478
1998,Camuzzi Gas Pampeana,Bolsar,distribucion,Millones de pesos 2018,inventarios,0.0
1998,Camuzzi Gas Pampeana,Bolsar,distribucion,Millones de pesos 2018,ppye,12288.245522413601
1998,Camuzzi Gas Pampeana,Bolsar,distribucion,Millones de pesos 2018,ppye_neta,11978.420619244298
1998,Metrogas,Bolsar,distribucion,Millones de pesos 2018,KTA,21699.052978134365
1998,Metrogas,Bolsar,distribucion,Millones de pesos 2018,activo,0.0
1998,Metrogas,Bolsar,distribucion,Millones de pesos 2018,activo_no_corr,22426.636127268866
1998,Metrogas,Bolsar,distribucion,Millones de pesos 2018,inventarios,0.0
1998,Metrogas,Bolsar,distribucion,Millones de pesos 2018,ppye,21699.052978134365
1998,Metrogas,Bolsar,distribucion,Millones de pesos 2018,ppye_neta,21699.052978134365
1998,PAE,Bolsar,produccion,Millones de pesos 2018,KTA,25199.43023359192
1998,PAE,Bolsar,produccion,Millones de pesos 2018,activo,0.0
1998,PAE,Bolsar,produccion,Millones de pesos 2018,activo_no_corr,30617.30773381418
1998,PAE,Bolsar,produccion,Millones de pesos 2018,inventarios,0.0
1998,PAE,Bolsar,produccion,Millones de pesos 2018,ppye,29836.125396572832
1998,PAE,Bolsar,produccion,Millones de pesos 2018,ppye_neta,25199.43023359192
1998,Petrobras,Bolsar,integrada,Millones de pesos 2018,KTA,40445.08552491503
1998,Petrobras,Bolsar,integrada,Millones de pesos 2018,activo,116093.77508615797
1998,Petrobras,Bolsar,integrada,Millones de pesos 2018,activo_no_corr,0.0
1998,Petrobras,Bolsar,integrada,Millones de pesos 2018,inventarios,655.1851860733899
1998,Petrobras,Bolsar,integrada,Millones de pesos 2018,ppye,39789.90033884164
1998,Petrobras,Bolsar,integrada,Millones de pesos 2018,ppye_neta,39789.90033884164
1998,TGN,Bolsar,transporte,Millones de pesos 2018,KTA,25934.573211796494
1998,TGN,Bolsar,transporte,Millones de pesos 2018,activo,0.0
1998,TGN,Bolsar,transporte,Millones de pesos 2018,activo_no_corr,26678.737586024698
1998,TGN,Bolsar,transporte,Millones de pesos 2018,inventarios,0.0
1998,TGN,Bolsar,transporte,Millones de pesos 2018,ppye,26221.443525575705
1998,TGN,Bolsar,transporte,Millones de pesos 2018,ppye_neta,25934.573211796494
1998,TGS,Bolsar,transporte,Millones de pesos 2018,KTA,42986.54886169371
1998,TGS,Bolsar,transporte,Millones de pesos 2018,activo,0.0
1998,TGS,Bolsar,transporte,Millones de pesos 2018,activo_no_corr,47454.785833563066
1998,TGS,Bolsar,transporte,Millones de pesos 2018,inventarios,0.0
1998,TGS,Bolsar,transporte,Millones de pesos 2018,ppye,46569.10145914301
1998,TGS,Bolsar,transporte,Millones de pesos 2018,ppye_neta,42986.54886169371
1998,Tecpetrol,Bolsar,produccion,Millones de pesos 2018,KTA,0.0
1998,Tecpetrol,Bolsar,produccion,Millones de pesos 2018,activo,0.0
1998,Tecpetrol,Bolsar,produccion,Millones de pesos 2018,activo_no_corr,0.0
1998,Tecpetrol,Bolsar,produccion,Millones de pesos 2018,inventarios,0.0
1998,Tecpetrol,Bolsar,produccion,Millones de pesos 2018,ppye,0.0
1998,Tecpetrol,Bolsar,produccion,Millones de pesos 2018,ppye_neta,0.0
1998,YPF,Bolsar,integrada,Millones de pesos 2018,KTA,174400.0367647128
1998,YPF,Bolsar,integrada,Millones de pesos 2018,activo,0.0
1998,YPF,Bolsar,integrada,Millones de pesos 2018,activo_no_corr,275177.7781508238
1998,YPF,Bolsar,integrada,Millones de pesos 2018,inventarios,6098.262116529245
1998,YPF,Bolsar,integrada,Millones de pesos 2018,ppye,190054.10282175025
1998,YPF,Bolsar,integrada,Millones de pesos 2018,ppye_neta,167626.60991385343
1999,Camuzzi Gas Pampeana,Bolsar,distribucion,Millones de pesos 2018,KTA,12061.956595186875
1999,Camuzzi Gas Pampeana,Bolsar,distribucion,Millones de pesos 2018,activo,15076.287942466768
1999,Camuzzi Gas Pampeana,Bolsar,distribucion,Millones de pesos 2018,activo_no_corr,13617.42297302616
1999,Camuzzi Gas Pampeana,Bolsar,distribucion,Millones de pesos 2018,inventarios,0.0
1999,Camuzzi Gas Pampeana,Bolsar,distribucion,Millones de pesos 2018,ppye,12792.627069177017
1999,Camuzzi Gas Pampeana,Bolsar,distribucion,Millones de pesos 2018,ppye_neta,12061.956595186875
1999,Metrogas,Bolsar,distribucion,Millones de pesos 2018,KTA,20884.23097845832
1999,Metrogas,Bolsar,distribucion,Millones de pesos 2018,activo,0.0
1999,Metrogas,Bolsar,distribucion,Millones de pesos 2018,activo_no_corr,22744.892811157788
1999,Metrogas,Bolsar,distribucion,Millones de pesos 2018,inventarios,0.0
1999,Metrogas,Bolsar,distribucion,Millones de pesos 2018,ppye,22185.541801431835
1999,Metrogas,Bolsar,distribucion,Millones de pesos 2018,ppye_neta,20884.23097845832
1999,PAE,Bolsar,produccion,Millones de pesos 2018,KTA,32381.217610372634
1999,PAE,Bolsar,produccion,Millones de pesos 2018,activo,0.0
1999,PAE,Bolsar,produccion,Millones de pesos 2018,activo_no_corr,29346.9328195172
1999,PAE,Bolsar,produccion,Millones de pesos 2018,inventarios,458.94421437993884
1999,PAE,Bolsar,produccion,Millones de pesos 2018,ppye,34624.791284886494
1999,PAE,Bolsar,produccion,Millones de pesos 2018,ppye_neta,31871.125998606865
1999,Petrobras,Bolsar,integrada,Millones de pesos 2018,KTA,34471.809880093184
1999,Petrobras,Bolsar,integrada,Millones de pesos 2018,activo,111242.9781855374
1999,Petrobras,Bolsar,integrada,Millones de pesos 2018,activo_no_corr,0.0
1999,Petrobras,Bolsar,integrada,Millones de pesos 2018,inventarios,688.4163215699083
1999,Petrobras,Bolsar,integrada,Millones de pesos 2018,ppye,33783.393558523276
1999,Petrobras,Bolsar,integrada,Millones de pesos 2018,ppye_neta,33783.393558523276
1999,TGN,Bolsar,transporte,Millones de pesos 2018,KTA,25886.442449290866
1999,TGN,Bolsar,transporte,Millones de pesos 2018,activo,0.0
1999,TGN,Bolsar,transporte,Millones de pesos 2018,activo_no_corr,29431.40405186391
1999,TGN,Bolsar,transporte,Millones de pesos 2018,inventarios,0.0
1999,TGN,Bolsar,transporte,Millones de pesos 2018,ppye,28856.601920253834
1999,TGN,Bolsar,transporte,Millones de pesos 2018,ppye_neta,25886.442449290866
1999,TGS,Bolsar,transporte,Millones de pesos 2018,KTA,47098.51257822125
1999,TGS,Bolsar,transporte,Millones de pesos 2018,activo,0.0
1999,TGS,Bolsar,transporte,Millones de pesos 2018,activo_no_corr,51154.38107900236
1999,TGS,Bolsar,transporte,Millones de pesos 2018,inventarios,0.0
1999,TGS,Bolsar,transporte,Millones de pesos 2018,ppye,49713.16876134536
1999,TGS,Bolsar,transporte,Millones de pesos 2018,ppye_neta,47098.51257822125
1999,Tecpetrol,Bolsar,produccion,Millones de pesos 2018,KTA,4948.107674619254
1999,Tecpetrol,Bolsar,produccion,Millones de pesos 2018,activo,0.0
1999,Tecpetrol,Bolsar,produccion,Millones de pesos 2018,activo_no_corr,10762.471299316756
1999,Tecpetrol,Bolsar,produccion,Millones de pesos 2018,inventarios,53.492497876061755
1999,Tecpetrol,Bolsar,produccion,Millones de pesos 2018,ppye,5134.948336391543
1999,Tecpetrol,Bolsar,produccion,Millones de pesos 2018,ppye_neta,4881.636626954616
1999,YPF,Bolsar,integrada,Millones de pesos 2018,KTA,164706.6348363682
1999,YPF,Bolsar,integrada,Millones de pesos 2018,activo,0.0
1999,YPF,Bolsar,integrada,Millones de pesos 2018,activo_no_corr,267360.50177711324
1999,YPF,Bolsar,integrada,Millones de pesos 2018,inventarios,6348.728298922487
1999,YPF,Bolsar,integrada,Millones de pesos 2018,ppye,182685.29422401453
1999,YPF,Bolsar,integrada,Millones de pesos 2018,ppye_neta,157596.3438379112
2000,Camuzzi Gas Pampeana,Bolsar,distribucion,Millones de pesos 2018,KTA,12566.756270261129
2000,Camuzzi Gas Pampeana,Bolsar,distribucion,Millones de pesos 2018,activo,15822.277528098726
2000,Camuzzi Gas Pampeana,Bolsar,distribucion,Millones de pesos 2018,activo_no_corr,14052.759864810247
2000,Camuzzi Gas Pampeana,Bolsar,distribucion,Millones de pesos 2018,inventarios,0.0
2000,Camuzzi Gas Pampeana,Bolsar,distribucion,Millones de pesos 2018,ppye,13120.302533028824
2000,Camuzzi Gas Pampeana,Bolsar,distribucion,Millones de pesos 2018,ppye_neta,12566.756270261129
2000,Metrogas,Bolsar,distribucion,Millones de pesos 2018,KTA,21344.006610068885
2000,Metrogas,Bolsar,distribucion,Millones de pesos 2018,activo,0.0
2000,Metrogas,Bolsar,distribucion,Millones de pesos 2018,activo_no_corr,23249.81340916127
2000,Metrogas,Bolsar,distribucion,Millones de pesos 2018,inventarios,0.0
2000,Metrogas,Bolsar,distribucion,Millones de pesos 2018,ppye,22623.132553677424
2000,Metrogas,Bolsar,distribucion,Millones de pesos 2018,ppye_neta,21344.006610068885
2000,PAE,Bolsar,produccion,Millones de pesos 2018,KTA,99931.95689467214
2000,PAE,Bolsar,produccion,Millones de pesos 2018,activo,0.0
2000,PAE,Bolsar,produccion,Millones de pesos 2018,activo_no_corr,31117.83942336009
2000,PAE,Bolsar,produccion,Millones de pesos 2018,inventarios,489.0313887872967
2000,PAE,Bolsar,produccion,Millones de pesos 2018,ppye,112039.66502058433
2000,PAE,Bolsar,produccion,Millones de pesos 2018,ppye_neta,99376.32590040803
2000,Petrobras,Bolsar,integrada,Millones de pesos 2018,KTA,178775.68193290767
2000,Petrobras,Bolsar,integrada,Millones de pesos 2018,activo,308501.5908423441
2000,Petrobras,Bolsar,integrada,Millones de pesos 2018,activo_no_corr,248350.7300215066
2000,Petrobras,Bolsar,integrada,Millones de pesos 2018,inventarios,9548.981328425634
2000,Petrobras,Bolsar,integrada,Millones de pesos 2018,ppye,167917.93581306966
2000,Petrobras,Bolsar,integrada,Millones de pesos 2018,ppye_neta,167917.93581306966
2000,TGN,Bolsar,transporte,Millones de pesos 2018,KTA,29992.320812819053
2000,TGN,Bolsar,transporte,Millones de pesos 2018,activo,0.0
2000,TGN,Bolsar,transporte,Millones de pesos 2018,activo_no_corr,32261.70958022772
2000,TGN,Bolsar,transporte,Millones de pesos 2018,inventarios,0.0
2000,TGN,Bolsar,transporte,Millones de pesos 2018,ppye,31508.678456977723
2000,TGN,Bolsar,transporte,Millones de pesos 2018,ppye_neta,29992.320812819053
2000,TGS,Bolsar,transporte,Millones de pesos 2018,KTA,47179.48340271347
2000,TGS,Bolsar,transporte,Millones de pesos 2018,activo,0.0
2000,TGS,Bolsar,transporte,Millones de pesos 2018,activo_no_corr,51896.036716602066
2000,TGS,Bolsar,transporte,Millones de pesos 2018,inventarios,0.0
2000,TGS,Bolsar,transporte,Millones de pesos 2018,ppye,49869.33621050263
