anio,empresa,fuente,sector,unidad,variable,valor
2021,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,KTA,2693.909764007328
2021,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,activo,2819.6246764259286
2021,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,activo_corr,374.065625531545
2021,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,cash_st_inv,230.43654086164383
2021,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,costo_ventas,650.2361176497997
2021,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,deuda_lp,352.793962809537
2021,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,deuda_neta,341.8331520551397
2021,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,deuda_total,572.2696929167835
2021,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ebit,99.84985810211765
2021,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ebitda,228.08919342924298
2021,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ebt,45.32644270721106
2021,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ganancia_bruta,183.75638113224736
2021,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,impuesto_ganancias,233.0354981706284
2021,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,inventarios,17.91417225087008
2021,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,pasivo,1506.2613271694206
2021,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,patrimonio_neto,1308.8062566483889
2021,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,patrimonio_neto_total,1313.3633492565075
2021,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ppye,2777.2407903488374
2021,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ppye_neta,2445.559050894814
2021,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,utilidad_neta,-172.3534982832566
2021,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,utilidad_neta_empresa,-172.3534982832566
2021,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,utilidad_operativa,99.84985810211765
2021,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ventas,833.9924987820469
2021,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ventas_raw,833.9924987820469
2022,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,KTA,3016.5255092557973
2022,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,activo,3375.6354925458263
2022,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,activo_corr,679.7822172966155
2022,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,cash_st_inv,355.88497706892457
2022,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,costo_ventas,815.1261498446022
2022,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,deuda_lp,599.1011181494594
2022,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,deuda_neta,390.9949775223065
2022,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,deuda_total,746.879954591231
2022,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ebit,146.31892313963488
2022,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ebitda,292.7095688684192
2022,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ebt,91.64335897923014
2022,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ganancia_bruta,242.9566846142866
2022,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,impuesto_ganancias,37.95093220959144
2022,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,inventarios,54.427762614893396
2022,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,pasivo,1955.4706700090283
2022,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,patrimonio_neto,1408.549349224046
2022,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,patrimonio_neto_total,1420.1648225367983
2022,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ppye,3108.793392680046
2022,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ppye_neta,2606.212769571979
2022,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,utilidad_neta,46.55011203566413
2022,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,utilidad_neta_empresa,53.6924267696387
2022,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,utilidad_operativa,146.31892313963488
2022,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ventas,1058.0828344588888
2022,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ventas_raw,1058.0828344588888
2023,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,KTA,21541.066350823305
2023,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,activo,22894.55898646455
2023,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,activo_corr,2259.5277077053975
2023,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,cash_st_inv,491.2786266052083
2023,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,costo_ventas,2618.448870755034
2023,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,deuda_lp,5033.720902634185
2023,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,deuda_neta,7011.423113835368
2023,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,deuda_total,7502.701740440576
2023,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ebit,57.746336809640354
2023,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ebitda,1041.0529176321897
2023,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ebt,-450.12680057487887
2023,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ganancia_bruta,379.8241755553545
2023,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,impuesto_ganancias,332.74311471684473
2023,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,inventarios,773.620890172395
2023,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,pasivo,21805.544336700787
2023,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,patrimonio_neto,1023.8729489741182
2023,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,patrimonio_neto_total,1089.0146497637693
2023,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ppye,24158.62402127164
2023,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ppye_neta,20276.1668340457
2023,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,utilidad_neta,-803.7978581694265
2023,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,utilidad_neta_empresa,-793.0805533938342
2023,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,utilidad_operativa,57.746336809640354
2023,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ventas,2998.2730463103885
2023,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ventas_raw,2998.2730463103885
2024,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,KTA,9657.664414929659
2024,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,activo,10625.998993062663
2024,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,activo_corr,1487.2022119154096
2024,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,cash_st_inv,505.3187199355472
2024,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,costo_ventas,2519.2251641832713
2024,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,deuda_lp,3339.402675074751
2024,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,deuda_neta,4633.8379916386475
2024,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,deuda_total,5139.156711574195
2024,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ebit,672.1932221176304
2024,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ebitda,1363.8773555107193
2024,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ebt,129.26620474206513
2024,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ganancia_bruta,970.2422572404549
2024,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,impuesto_ganancias,-60.34383940563763
2024,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,inventarios,168.93207328145704
2024,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,pasivo,9954.203711946197
2024,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,patrimonio_neto,651.5776521146528
2024,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,patrimonio_neto_total,671.7952811164629
2024,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ppye,11375.422531441454
2024,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ppye_neta,8983.413621712654
2024,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,utilidad_neta,208.17451797903382
2024,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,utilidad_neta_empresa,187.93813745297376
2024,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,utilidad_operativa,672.1932221176304
2024,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ventas,3489.467421423726
2024,Aconcagua,S&P Capital IQ,produccion,Millones de pesos 2018,ventas_raw,3489.467421423726
1999,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,KTA,8298.042855699681
1999,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,activo,14988.123662517646
1999,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,activo_corr,2431.6394291897095
1999,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,cash_st_inv,1052.6140525811888
1999,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,costo_ventas,1036.041067061913
1999,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,deuda_lp,32.71252372497008
1999,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,deuda_neta,6718.790317117511
1999,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,deuda_total,7771.4043696987
1999,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,ebit,0.0
1999,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,ebitda,446.9861679052615
1999,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,ebt,0.0
1999,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,ganancia_bruta,457.26141892721245
1999,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,inventarios,90.89645134802677
1999,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,pasivo,8889.825923241811
1999,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,patrimonio_neto,5612.93873566825
1999,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,patrimonio_neto_total,6098.297739275834
1999,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,ppye_neta,7154.5323517704655
1999,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,utilidad_neta,0.0
1999,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,utilidad_neta_empresa,0.0
1999,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,utilidad_operativa,0.0
1999,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,ventas,1493.3024859891254
1999,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,ventas_raw,1493.3024859891254
2000,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,KTA,7917.4439229604795
2000,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,activo,19233.295659074618
2000,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,activo_corr,2122.602135290041
2000,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,cash_st_inv,650.3860085929579
2000,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,costo_ventas,799.7207516321103
2000,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,depreciacion,369.9651148646633
2000,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,deuda_lp,8411.854657024436
2000,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,deuda_neta,7778.5590085448885
2000,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,deuda_total,8428.945017137847
2000,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,ebit,277.8727828077713
2000,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,ebitda,699.083239518514
2000,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,ebt,0.0
2000,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,ganancia_bruta,980.1475956004762
2000,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,inventarios,90.98557680858389
2000,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,pasivo,9784.462811373793
2000,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,patrimonio_neto,8928.14311111309
2000,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,patrimonio_neto_total,9448.832847700825
2000,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,ppye,9135.36372748817
2000,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,ppye_neta,7176.072337558939
2000,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,utilidad_neta,0.0
2000,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,utilidad_neta_empresa,0.0
2000,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,utilidad_operativa,277.8727828077713
2000,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,ventas,1779.8683472325863
2000,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,ventas_raw,1779.8683472325863
2001,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,KTA,18620.315223956783
2001,CGC,S&P Capital IQ,produccion,Millones de pesos 2018,activo,43508.192104363996
