anio,sector,unidad,variable,valor
1967.0,Memoria de YPF,Millones de pesos  de 2018,KTA,186469.97800708117
1968.0,Memoria de YPF,Millones de pesos  de 2018,KTA,189016.50641545758
1969.0,Memoria de YPF,Millones de pesos  de 2018,KTA,190470.38417684924
1970.0,Memoria de YPF,Millones de pesos  de 2018,KTA,164144.43946016332
1971.0,Memoria de YPF,Millones de pesos  de 2018,KTA,23094687.55054485
1972.0,Memoria de YPF,Millones de pesos  de 2018,KTA,12023323.799957357
1973.0,Memoria de YPF,Millones de pesos  de 2018,KTA,16963334.38920651
1974.0,Memoria de YPF,Millones de pesos  de 2018,KTA,14606273.217733698
1975.0,Memoria de YPF,Millones de pesos  de 2018,KTA,16185289.735233646
1976.0,Memoria de YPF,Millones de pesos  de 2018,KTA,359754.1835916118
1977.0,Memoria de YPF,Millones de pesos  de 2018,KTA,203743.1073148135
1978.0,Memoria de YPF,Millones de pesos  de 2018,KTA,350254.34721270046
1979.0,Memoria de YPF,Millones de pesos  de 2018,KTA,5722493.696310988
1980.0,Memoria de YPF,Millones de pesos  de 2018,KTA,14847651.291503657
1981.0,Memoria de YPF,Millones de pesos  de 2018,KTA,274503.6261949784
1982.0,Memoria de YPF,Millones de pesos  de 2018,KTA,457159.70893497183
1983.0,Memoria de YPF,Millones de pesos  de 2018,KTA,0.0
1984.0,Memoria de YPF,Millones de pesos  de 2018,KTA,52298.83528087041
1985.0,Memoria de YPF,Millones de pesos  de 2018,KTA,0.0
1986.0,Memoria de YPF,Millones de pesos  de 2018,KTA,0.0
1987.0,Memoria de YPF,Millones de pesos  de 2018,KTA,0.0
1988.0,Memoria de YPF,Millones de pesos  de 2018,KTA,0.0
1989.0,Memoria de YPF,Millones de pesos  de 2018,KTA,4948146.451559352
1990.0,Memoria de YPF,Millones de pesos  de 2018,KTA,668.5904635361628
1991.0,Memoria de YPF,Millones de pesos  de 2018,KTA,233468.35310498122
1992.0,Memoria de YPF,Millones de pesos  de 2018,KTA,164412.8252150696
1993.0,Memoria de YPF,Millones de pesos  de 2018,KTA,159394.88764115356
1994.0,Memoria de YPF,Millones de pesos  de 2018,KTA,150541.65305048527
1995.0,Memoria de YPF,Millones de pesos  de 2018,KTA,182089.10530916654
1996.0,Memoria de YPF,Millones de pesos  de 2018,KTA,192825.3897687249
1997.0,Memoria de YPF,Millones de pesos  de 2018,KTA,271058.9633654433
1998.0,Memoria de YPF,Millones de pesos  de 2018,KTA,271523.8607669529
1999.0,Memoria de YPF,Millones de pesos  de 2018,KTA,244132.82514932856
2000.0,Memoria de YPF,Millones de pesos  de 2018,KTA,546788.5696524911
2001.0,Memoria de YPF,Millones de pesos  de 2018,KTA,591986.242004564
2002.0,Memoria de YPF,Millones de pesos  de 2018,KTA,442542.1852114006
2003.0,Memoria de YPF,Millones de pesos  de 2018,KTA,621709.9310300793
2004.0,Memoria de YPF,Millones de pesos  de 2018,KTA,559350.523831624
2005.0,Memoria de YPF,Millones de pesos  de 2018,KTA,398647.9167897107
2006.0,Memoria de YPF,Millones de pesos  de 2018,KTA,371714.46564388665
2007.0,Memoria de YPF,Millones de pesos  de 2018,KTA,376338.5554173392
2008.0,Memoria de YPF,Millones de pesos  de 2018,KTA,433227.69705372944
2009.0,Memoria de YPF,Millones de pesos  de 2018,KTA,385740.90506190894
2010.0,Memoria de YPF,Millones de pesos  de 2018,KTA,361209.43553108035
2011.0,Memoria de YPF,Millones de pesos  de 2018,KTA,355341.67951147945
1967.0,Memoria de YPF,Millones de pesos  de 2018,activo,
1968.0,Memoria de YPF,Millones de pesos  de 2018,activo,
1969.0,Memoria de YPF,Millones de pesos  de 2018,activo,
1970.0,Memoria de YPF,Millones de pesos  de 2018,activo,
1971.0,Memoria de YPF,Millones de pesos  de 2018,activo,
1972.0,Memoria de YPF,Millones de pesos  de 2018,activo,
1973.0,Memoria de YPF,Millones de pesos  de 2018,activo,
1974.0,Memoria de YPF,Millones de pesos  de 2018,activo,
1975.0,Memoria de YPF,Millones de pesos  de 2018,activo,
1976.0,Memoria de YPF,Millones de pesos  de 2018,activo,
1977.0,Memoria de YPF,Millones de pesos  de 2018,activo,
1978.0,Memoria de YPF,Millones de pesos  de 2018,activo,
1979.0,Memoria de YPF,Millones de pesos  de 2018,activo,
1980.0,Memoria de YPF,Millones de pesos  de 2018,activo,
1981.0,Memoria de YPF,Millones de pesos  de 2018,activo,
1982.0,Memoria de YPF,Millones de pesos  de 2018,activo,
1983.0,Memoria de YPF,Millones de pesos  de 2018,activo,0.0
1984.0,Memoria de YPF,Millones de pesos  de 2018,activo,
1985.0,Memoria de YPF,Millones de pesos  de 2018,activo,0.0
1986.0,Memoria de YPF,Millones de pesos  de 2018,activo,0.0
1987.0,Memoria de YPF,Millones de pesos  de 2018,activo,0.0
1988.0,Memoria de YPF,Millones de pesos  de 2018,activo,0.0
1989.0,Memoria de YPF,Millones de pesos  de 2018,activo,
1990.0,Memoria de YPF,Millones de pesos  de 2018,activo,
1991.0,Memoria de YPF,Millones de pesos  de 2018,activo,
1992.0,Memoria de YPF,Millones de pesos  de 2018,activo,
1993.0,Memoria de YPF,Millones de pesos  de 2018,activo,
1994.0,Memoria de YPF,Millones de pesos  de 2018,activo,
1995.0,Memoria de YPF,Millones de pesos  de 2018,activo,
1996.0,Memoria de YPF,Millones de pesos  de 2018,activo,
1997.0,Memoria de YPF,Millones de pesos  de 2018,activo,0.3245433882066449
1998.0,Memoria de YPF,Millones de pesos  de 2018,activo,0.33127170985079935
1999.0,Memoria de YPF,Millones de pesos  de 2018,activo,0.3293689645200028
2000.0,Memoria de YPF,Millones de pesos  de 2018,activo,0.3408291394905991
2001.0,Memoria de YPF,Millones de pesos  de 2018,activo,0.8027390676024094
2002.0,Memoria de YPF,Millones de pesos  de 2018,activo,0.6641129771158523
2003.0,Memoria de YPF,Millones de pesos  de 2018,activo,0.6070248739011561
2004.0,Memoria de YPF,Millones de pesos  de 2018,activo,0.5395631675168916
2005.0,Memoria de YPF,Millones de pesos  de 2018,activo,0.37772005497572736
2006.0,Memoria de YPF,Millones de pesos  de 2018,activo,0.34736115515829963
2007.0,Memoria de YPF,Millones de pesos  de 2018,activo,0.343685744657305
2008.0,Memoria de YPF,Millones de pesos  de 2018,activo,0.39753843517353
2009.0,Memoria de YPF,Millones de pesos  de 2018,activo,0.3581165476256206
2010.0,Memoria de YPF,Millones de pesos  de 2018,activo,0.3335391919760079
2011.0,Memoria de YPF,Millones de pesos  de 2018,activo,0.32023121863674214
1967.0,Memoria de YPF,Millones de pesos  de 2018,ppye,166773.72197416166
1968.0,Memoria de YPF,Millones de pesos  de 2018,ppye,171942.32032859977
1969.0,Memoria de YPF,Millones de pesos  de 2018,ppye,175949.5568998868
1970.0,Memoria de YPF,Millones de pesos  de 2018,ppye,152666.7888997872
1971.0,Memoria de YPF,Millones de pesos  de 2018,ppye,21792610.818183526
1972.0,Memoria de YPF,Millones de pesos  de 2018,ppye,10891697.99830018
1973.0,Memoria de YPF,Millones de pesos  de 2018,ppye,15397486.88385736
1974.0,Memoria de YPF,Millones de pesos  de 2018,ppye,12054787.784294188
1975.0,Memoria de YPF,Millones de pesos  de 2018,ppye,12352920.458529243
1976.0,Memoria de YPF,Millones de pesos  de 2018,ppye,323106.593061834
1977.0,Memoria de YPF,Millones de pesos  de 2018,ppye,173554.33214564293
1978.0,Memoria de YPF,Millones de pesos  de 2018,ppye,319825.250472333
1979.0,Memoria de YPF,Millones de pesos  de 2018,ppye,222925.86734405995
1980.0,Memoria de YPF,Millones de pesos  de 2018,ppye,221520.41246912826
1981.0,Memoria de YPF,Millones de pesos  de 2018,ppye,259023.78429792516
1982.0,Memoria de YPF,Millones de pesos  de 2018,ppye,444779.9221935201
1983.0,Memoria de YPF,Millones de pesos  de 2018,ppye,0.0
1984.0,Memoria de YPF,Millones de pesos  de 2018,ppye,48857.65077986728
1985.0,Memoria de YPF,Millones de pesos  de 2018,ppye,0.0
1986.0,Memoria de YPF,Millones de pesos  de 2018,ppye,0.0
1987.0,Memoria de YPF,Millones de pesos  de 2018,ppye,0.0
1988.0,Memoria de YPF,Millones de pesos  de 2018,ppye,0.0
1989.0,Memoria de YPF,Millones de pesos  de 2018,ppye,4722232.862833373
1990.0,Memoria de YPF,Millones de pesos  de 2018,ppye,626.7594220848565
1991.0,Memoria de YPF,Millones de pesos  de 2018,ppye,215333.4092280277
1992.0,Memoria de YPF,Millones de pesos  de 2018,ppye,152821.56852087175
1993.0,Memoria de YPF,Millones de pesos  de 2018,ppye,149329.29352540598
1994.0,Memoria de YPF,Millones de pesos  de 2018,ppye,143341.4895847332
1995.0,Memoria de YPF,Millones de pesos  de 2018,ppye,175303.334966468
1996.0,Memoria de YPF,Millones de pesos  de 2018,ppye,186893.8741990691
1997.0,Memoria de YPF,Millones de pesos  de 2018,ppye,263734.4201632245
1998.0,Memoria de YPF,Millones de pesos  de 2018,ppye,264921.61004575185
1999.0,Memoria de YPF,Millones de pesos  de 2018,ppye,237044.6867272384
2000.0,Memoria de YPF,Millones de pesos  de 2018,ppye,528153.8998902804
2001.0,Memoria de YPF,Millones de pesos  de 2018,ppye,571850.1246100778
2002.0,Memoria de YPF,Millones de pesos  de 2018,ppye,427185.17976503796
2003.0,Memoria de YPF,Millones de pesos  de 2018,ppye,14685.057128923128
2004.0,Memoria de YPF,Millones de pesos  de 2018,ppye,19787.356314732395
2005.0,Memoria de YPF,Millones de pesos  de 2018,ppye,20927.861813983378
2006.0,Memoria de YPF,Millones de pesos  de 2018,ppye,24353.310485587044
2007.0,Memoria de YPF,Millones de pesos  de 2018,ppye,32652.810760034183
2008.0,Memoria de YPF,Millones de pesos  de 2018,ppye,35689.26188019951
2009.0,Memoria de YPF,Millones de pesos  de 2018,ppye,27624.357436288345
2010.0,Memoria de YPF,Millones de pesos  de 2018,ppye,27670.243555072455
2011.0,Memoria de YPF,Millones de pesos  de 2018,ppye,35110.460874737306
