anio,sector,variable,unidad,valor,fuente,variable_sector
1998,adm_central,activo,Millones de pesos 2018,13960.484349409922,Activo de YPF y Petrobras,activo adm_central
1998,downstream,activo,Millones de pesos 2018,100520.52720179816,Activo de YPF y Petrobras,activo downstream
1998,upstream,activo,Millones de pesos 2018,195270.38488010378,Activo de YPF y Petrobras,activo upstream
1999,adm_central,activo,Millones de pesos 2018,8133.5113548444715,Activo de YPF y Petrobras,activo adm_central
1999,downstream,activo,Millones de pesos 2018,120778.81908432057,Activo de YPF y Petrobras,activo downstream
1999,upstream,activo,Millones de pesos 2018,183909.14546236105,Activo de YPF y Petrobras,activo upstream
2000,adm_central,activo,Millones de pesos 2018,56907.81055835331,Activo de YPF y Petrobras,activo adm_central
2000,adm_central,prop_planta_equipo,Millones de pesos 2018,4324.06701664557,Activo de YPF y Petrobras,prop_planta_equipo adm_central
2000,downstream,activo,Millones de pesos 2018,129850.70297010062,Activo de YPF y Petrobras,activo downstream
2000,downstream,prop_planta_equipo,Millones de pesos 2018,4607.190452259269,Activo de YPF y Petrobras,prop_planta_equipo downstream
2000,gas_y_energia,activo,Millones de pesos 2018,73715.04723614831,Activo de YPF y Petrobras,activo gas_y_energia
2000,gas_y_energia,prop_planta_equipo,Millones de pesos 2018,19767.163504665466,Activo de YPF y Petrobras,prop_planta_equipo gas_y_energia
2000,petroquimica,activo,Millones de pesos 2018,48130.98405432867,Activo de YPF y Petrobras,activo petroquimica
2000,petroquimica,prop_planta_equipo,Millones de pesos 2018,17476.43752560918,Activo de YPF y Petrobras,prop_planta_equipo petroquimica
2000,upstream,activo,Millones de pesos 2018,320109.6517025057,Activo de YPF y Petrobras,activo upstream
2000,upstream,prop_planta_equipo,Millones de pesos 2018,115256.97678892182,Activo de YPF y Petrobras,prop_planta_equipo upstream
2001,adm_central,activo,Millones de pesos 2018,39257.62422258347,Activo de YPF y Petrobras,activo adm_central
2001,adm_central,prop_planta_equipo,Millones de pesos 2018,4786.880620911437,Activo de YPF y Petrobras,prop_planta_equipo adm_central
2001,downstream,activo,Millones de pesos 2018,118007.01356768631,Activo de YPF y Petrobras,activo downstream
2001,downstream,prop_planta_equipo,Millones de pesos 2018,4942.974554202028,Activo de YPF y Petrobras,prop_planta_equipo downstream
2001,gas_y_energia,activo,Millones de pesos 2018,77708.76312316557,Activo de YPF y Petrobras,activo gas_y_energia
2001,gas_y_energia,prop_planta_equipo,Millones de pesos 2018,19069.475517000454,Activo de YPF y Petrobras,prop_planta_equipo gas_y_energia
2001,petroquimica,activo,Millones de pesos 2018,47192.39916485515,Activo de YPF y Petrobras,activo petroquimica
2001,petroquimica,prop_planta_equipo,Millones de pesos 2018,16363.847339963557,Activo de YPF y Petrobras,prop_planta_equipo petroquimica
2001,upstream,activo,Millones de pesos 2018,387295.06414950313,Activo de YPF y Petrobras,activo upstream
2001,upstream,prop_planta_equipo,Millones de pesos 2018,149772.12899232144,Activo de YPF y Petrobras,prop_planta_equipo upstream
2002,adm_central,activo,Millones de pesos 2018,94911.66757698155,Activo de YPF y Petrobras,activo adm_central
2002,adm_central,prop_planta_equipo,Millones de pesos 2018,3162.3443247557,Activo de YPF y Petrobras,prop_planta_equipo adm_central
2002,downstream,activo,Millones de pesos 2018,184883.46395385452,Activo de YPF y Petrobras,activo downstream
2002,downstream,prop_planta_equipo,Millones de pesos 2018,3658.3983364820847,Activo de YPF y Petrobras,prop_planta_equipo downstream
2002,gas_y_energia,activo,Millones de pesos 2018,41751.21265363735,Activo de YPF y Petrobras,activo gas_y_energia
2002,gas_y_energia,prop_planta_equipo,Millones de pesos 2018,14096.201499891422,Activo de YPF y Petrobras,prop_planta_equipo gas_y_energia
