anio,unidad,expo_sesco_crudo,expo_mecon_crudo,expo_indec_crudo,expo_comtrade_crudo,expo_crudo
1962.0,barriles,,,,1600164.59776432,1600164.59776432
1963.0,barriles,,,,640739.01985856,640739.01985856
1964.0,barriles,,,,101996.187941,101996.187941
1965.0,barriles,,,,,
1966.0,barriles,,,,19421.3608275,19421.3608275
1967.0,barriles,,,,58111.59861867,58111.59861867
1968.0,barriles,,,,1182294.78060432,1182294.78060432
1969.0,barriles,,,,381429.802925,381429.802925
1970.0,barriles,,,,,
1971.0,barriles,,,,,
1972.0,barriles,,,,,
1973.0,barriles,,,,,
1974.0,barriles,,,,220506.44815168,220506.44815168
1975.0,barriles,,,,90446.18467876,90446.18467876
1976.0,barriles,,,,,
1977.0,barriles,,,,,
1978.0,barriles,,,,,
1979.0,barriles,,,,1.20135371,1.20135371
1980.0,barriles,,,,,
1981.0,barriles,,,,,
1982.0,barriles,,,,,
1983.0,barriles,,,,,
1984.0,barriles,,,,,
1985.0,barriles,,,,2557822.1855568,2557822.1855568
1986.0,barriles,,,,828555.61461192,828555.61461192
1987.0,barriles,,,,523314.55696856,523314.55696856
1988.0,barriles,,,,1264149.1603008,1264149.1603008
1989.0,barriles,,,,1987128.1000496,1987128.1000496
1990.0,barriles,,,,6529986.54580544,6529986.54580544
1991.0,barriles,,,,5543827.82874338,5543827.82874338
1992.0,barriles,,,,16964341.7535642,16964341.7535642
1993.0,barriles,,,,28450838.2634701,28450838.2634701
1994.0,barriles,39566652.367129795,,,66209162.2566298,66209162.2566298
1995.0,barriles,72848661.85889886,,,88121303.2415846,88121303.2415846
1996.0,barriles,118623835.5705348,,,103610629.199821,103610629.199821
1997.0,barriles,122350382.8253784,,,104005003.708477,104005003.708477
1998.0,barriles,120668555.27901238,,,107523445.730744,107523445.730744
1999.0,barriles,,98057982.0,,89549617.0844461,
2000.0,barriles,5608444.835399999,100532351.58119999,,90318071.7719121,5608444.835399999
2001.0,barriles,104949187.51679999,102888101.82419999,,94763594.5713732,104949187.51679999
2002.0,barriles,97245641.75039999,98662117.28999999,99089160.6006032,89291122.4545158,97245641.75039999
2003.0,barriles,83878726.09908,77338072.5216,84619991.9357656,76252674.9922475,83878726.09908
2004.0,barriles,64388883.8736,63833821.603199996,65826187.0186442,59317222.0089433,64388883.8736
2005.0,barriles,54636926.3616,53232728.511599995,53719702.1767092,48407839.5495829,54636926.3616
2006.0,barriles,31949152.3164,35480919.044999994,40467428.5932608,36465965.1796745,31949152.3164
2007.0,barriles,20763719.822339997,25449386.2128,21238065.8865784,19138022.8066687,20763719.822339997
2008.0,barriles,20686397.4114204,20688951.082799997,21034735.85107,18954798.3267186,20686397.4114204
2009.0,barriles,38281780.30050659,41565809.9406,44896995.472283,40457531.6853811,38281780.30050659
2010.0,barriles,33429069.621789597,33501091.278599996,34244891.3322,30858720.511431,33429069.621789597
2011.0,barriles,21725042.0421738,21436204.481999997,21105440.78364,19018511.8188176,21725042.0421738
2012.0,barriles,24058816.80833532,21742926.579,24500758.64716,22078096.955085,24058816.80833532
2013.0,barriles,15931837.93771614,14362921.8348,16979183.74172,15300263.5659753,15931837.93771614
2014.0,barriles,16825688.388588417,14632898.9202,16929844.34834,15255803.8930349,16825688.388588417
2015.0,barriles,14726080.94671626,,14811639.5774444,13347046.2343432,14726080.94671626
2016.0,barriles,18683541.3286236,,18822920.415016,16961691.001197,18683541.3286236
2017.0,barriles,10845928.399745999,,10674480.31452,9618977.499874,10845928.399745999
2018.0,barriles,22591805.242284298,,9589724.44752,19522010.36712,22591805.242284298
2019.0,barriles,23950112.1422574,,12040744.92122,16452910.15724,23950112.1422574
2020.0,barriles,11961897.6554286,,,,11961897.6554286
