anio,unidad,expo_sesco_gas,expo_mecon_gas,expo_gas
1994,MMBTU,31853.343299999997,,31853.343299999997
1995,MMBTU,19096.1704,,19096.1704
1996,MMBTU,30610.9544939511,,30610.9544939511
1997,MMBTU,23720720.93327094,,23720720.93327094
1998,MMBTU,70124828.5853785,,70124828.5853785
1999,MMBTU,5910.546574,119490500.0,5910.546574
2000,MMBTU,11411.282034,163887415.89999998,11411.282034
2001,MMBTU,218230025.45962197,213616714.5,218230025.45962197
2002,MMBTU,206445367.650343,206375731.39999998,206445367.650343
2003,MMBTU,228132934.10724398,228057062.0,228132934.10724398
2004,MMBTU,259446308.63520998,259389553.79999998,259446308.63520998
2005,MMBTU,233012074.3566,232983812.39999998,233012074.3566
2006,MMBTU,108298011.9745562,222398825.0,108298011.9745562
2007,MMBTU,43962053.8586,93978095.69999999,43962053.8586
2008,MMBTU,24637390.943919,35663731.199999996,24637390.943919
2009,MMBTU,27435815.52332839,31218719.9,27435815.52332839
2010,MMBTU,0.0,16438857.0,0.0
2011,MMBTU,0.0,7066212.8,0.0
2012,MMBTU,0.0,3773111.0999999996,0.0
2013,MMBTU,0.0,3082996.0999999996,0.0
2014,MMBTU,0.0,2235478.4,0.0
2015,MMBTU,0.0,,0.0
2016,MMBTU,0.0,,0.0
2017,MMBTU,0.0,,0.0
2018,MMBTU,0.0,,0.0
2019,MMBTU,0.0,,0.0
2020,MMBTU,0.0,,0.0
