anio,expo_crudo_sesco_usd,expo_crudo_indec_usd,expo_crudo_usd,unidad
1994,542899973.39,,542899973.39,USD
1995,1147425300.0,,1147425300.0,USD
1996,2314267381.0,,2314267381.0,USD
1997,2193561011.8976603,,2193561011.8976603,USD
1998,1391194385.51,,1391194385.51,USD
2000,147516701.0,,147516701.0,USD
2001,2329049596.0,,2329049596.0,USD
2002,2156072411.0,2231087680.0,2156072411.0,USD
2003,2235435424.0,2296395886.0,2235435424.0,USD
2004,2108952134.0,2263087744.0,2108952134.0,USD
2005,2141997828.0,2508982814.39,2141997828.0,USD
2006,1868457777.0,2406092879.21,1868457777.0,USD
2007,1287002081.0,1296002682.7,1287002081.0,USD
2008,1556723039.18,1618156095.92,1556723039.18,USD
2009,2114558082.6,2466356798.3,2114558082.6,USD
2010,2520394662.46,2583533661.29,2520394662.46,USD
2011,2182223056.5,2182223595.14,2182223056.5,USD
2012,2483812599.62,2611223720.82,2483812599.62,USD
2013,1567226455.34,1736775154.27,1567226455.34,USD
2014,1480184699.8500001,1619632669.31,1480184699.8500001,USD
2015,670634913.1800001,670929750.82,670634913.1800001,USD
2016,736173995.8,748543642.78,736173995.8,USD
2017,585050780.67,585041723.42,585050780.67,USD
2018,1510921721.89,646110093.86,1510921721.89,USD
2019,1439523576.0180001,734650486.64,1439523576.0180001,USD
2020,326563130.968,,326563130.968,USD
