anio,unidad,impo_sesco_crudo,impo_mecon_crudo,impo_crudo
1994.0,barriles,3112715.0933999997,,3112715.0933999997
1995.0,barriles,3646549.2887999997,,3646549.2887999997
1996.0,barriles,5336926.749,,5336926.749
1997.0,barriles,8000965.2491999995,,8000965.2491999995
1998.0,barriles,8421432.089399999,,8421432.089399999
1999.0,barriles,2261824.6596,6478494.0,2261824.6596
2000.0,barriles,3757111.3932,10818179.2488,3757111.3932
2001.0,barriles,10101876.3703704,10052201.115,10101876.3703704
2002.0,barriles,3833079.5976,3715793.6969999997,3833079.5976
2003.0,barriles,1792460.9142,1791819.3546,1792460.9142
2004.0,barriles,3712922.529096,2507510.5374,3712922.529096
2005.0,barriles,1556315.4050399999,1649147.8212,1556315.4050399999
2006.0,barriles,563377.3859999999,594952.1819999999,563377.3859999999
2007.0,barriles,285789.64259999996,285789.64259999996,285789.64259999996
2008.0,barriles,30631.325999999997,41103.843,30631.325999999997
2009.0,barriles,,0.0,0.0
2010.0,barriles,0.0,0.0,0.0
2011.0,barriles,0.0,0.0,0.0
2012.0,barriles,1559027.6234081998,1559027.5668,1559027.6234081998
2013.0,barriles,2649516.358368,2649515.352,2649516.358368
2014.0,barriles,3446879.776494,3446879.5878,3446879.776494
2015.0,barriles,6203516.838089999,,6203516.838089999
2016.0,barriles,5789601.3780924,,5789601.3780924
2017.0,barriles,7896010.872598199,,7896010.872598199
2018.0,barriles,2796355.0666722,,2796355.0666722
2019.0,barriles,0.0,,0.0
2020.0,barriles,0.0,,0.0
