anio,unidad,impo_sesco_gas,impo_mecon_gas,impo_gas
1994,MMBTU,87138360.3125,,87138360.3125
1994,MMBTU,28436.974,,28436.974
1994,MMBTU,0.0,,0.0
1995,MMBTU,30761942.0,,30761942.0
1995,MMBTU,7680.1151,,7680.1151
1995,MMBTU,0.0,,0.0
1996,MMBTU,252873475.47,,252873475.47
1996,MMBTU,73941232.33848234,,73941232.33848234
1996,MMBTU,109611.630615,,109611.630615
1997,MMBTU,202695834.0,,202695834.0
1997,MMBTU,60162038.65319999,,60162038.65319999
1997,MMBTU,0.0,,0.0
1998,MMBTU,139011334.864,,139011334.864
1998,MMBTU,61875016.110929824,,61875016.110929824
1998,MMBTU,0.0,,0.0
1999,MMBTU,24400992.107,17650000.0,24400992.107
1999,MMBTU,5405.77493,17650000.0,5405.77493
1999,MMBTU,149262.201,17650000.0,149262.201
2000,MMBTU,37122322.1,0.0,37122322.1
2000,MMBTU,5210.3262429999995,0.0,5210.3262429999995
2000,MMBTU,108908.73300000001,0.0,108908.73300000001
2001,MMBTU,109963845.44,0.0,109963845.44
2001,MMBTU,19550.571591499996,0.0,19550.571591499996
2001,MMBTU,184306.008,0.0,184306.008
2002,MMBTU,75162477.24,0.0,75162477.24
2002,MMBTU,3524516.6303749997,0.0,3524516.6303749997
2002,MMBTU,130438.81999999999,0.0,130438.81999999999
2003,MMBTU,117182904.06,0.0,117182904.06
2003,MMBTU,3019915.4296009997,0.0,3019915.4296009997
2003,MMBTU,80325.23,0.0,80325.23
2004,MMBTU,169752955.99,28056087.0,169752955.99
2004,MMBTU,28401283.776679497,28056087.0,28401283.776679497
2004,MMBTU,48534.54,28056087.0,48534.54
2005,MMBTU,474762126.28,61243593.8,474762126.28
2005,MMBTU,56874692.702214,61243593.8,56874692.702214
2005,MMBTU,39393.0,61243593.8,39393.0
2006,MMBTU,387762419.65,58961166.4,387762419.65
2006,MMBTU,50440294.92380539,58961166.4,50440294.92380539
2006,MMBTU,30810.0,58961166.4,30810.0
2007,MMBTU,594224234.82,62020299.699999996,594224234.82
2007,MMBTU,43750816.864301,62020299.699999996,43750816.864301
2007,MMBTU,44567.0,62020299.699999996,44567.0
2008,MMBTU,751497850.78,51133109.0,751497850.78
2008,MMBTU,19742512.6260475,51133109.0,19742512.6260475
2008,MMBTU,309745.33,51133109.0,309745.33
2009,MMBTU,368031675.57,94340167.8,368031675.57
2009,MMBTU,43511716.3687178,94340167.8,43511716.3687178
2009,MMBTU,130869.299,94340167.8,130869.299
2010,MMBTU,0.0,127512883.89999999,0.0
2010,MMBTU,0.0,127512883.89999999,0.0
2011,MMBTU,0.0,243915410.5,0.0
2011,MMBTU,0.0,243915410.5,0.0
2012,MMBTU,0.0,335566283.09999996,0.0
2012,MMBTU,0.0,335566283.09999996,0.0
2013,MMBTU,0.0,416878632.9,0.0
2013,MMBTU,0.0,416878632.9,0.0
2014,MMBTU,0.0,420069611.7,0.0
2014,MMBTU,0.0,420069611.7,0.0
2015,MMBTU,0.0,,0.0
2015,MMBTU,0.0,,0.0
2016,MMBTU,402890.0,,402890.0
2016,MMBTU,35.3,,35.3
2017,MMBTU,0.0,,0.0
2017,MMBTU,0.0,,0.0
2018,MMBTU,0.0,,0.0
2018,MMBTU,0.0,,0.0
2019,MMBTU,0.0,,0.0
2019,MMBTU,0.0,,0.0
2020,MMBTU,0.0,,0.0
2020,MMBTU,0.0,,0.0
