anio,empleo_extraccion_hidrocarburos,empleo_servicios_hidrocarburos,unidad_empleo,salario_extraccion_hidrocarburos,salario_servicios_hidrocarburos,unidad_salario,unidad_masa_salarial,masa_salarial_extraccion,masa_salarial_servicios,masa_salarial_total
1995.0,,,,3261.026543,1762.741554,Pesos corrientes,Millones de pesos corrientes,,,
1996.0,9655.75,11716.75,Puestos de trabajo,3558.357105,1774.089563,Pesos corrientes,Millones de pesos corrientes,446.6618860158487,270.2253305346433,716.887216550492
1997.0,9527.25,13118.75,Puestos de trabajo,3813.045551,1774.782254,Pesos corrientes,Millones de pesos corrientes,472.2618969349418,302.6780210306125,774.9399179655543
1998.0,9337.5,12692.75,Puestos de trabajo,4121.245184,1852.878619,Pesos corrientes,Millones de pesos corrientes,500.26764977280004,305.73562618705927,806.0032759598594
1999.0,8923.5,10810.75,Puestos de trabajo,4244.16628,1775.975517,Pesos corrientes,Millones de pesos corrientes,492.34663139454,249.59515516530078,741.9417865598408
2000.0,8520.25,12622.75,Puestos de trabajo,4321.229392,1859.389386,Pesos corrientes,Millones de pesos corrientes,478.633411453444,305.1178958377095,783.7513072911536
2001.0,8423.25,15282.5,Puestos de trabajo,4332.593249,1940.502414,Pesos corrientes,Millones de pesos corrientes,474.42870910031013,385.524465845415,859.9531749457251
2002.0,8500.75,15070.5,Puestos de trabajo,5135.579081,2137.142145,Pesos corrientes,Millones de pesos corrientes,567.5315603465398,418.70140905089244,986.2329693974323
2003.0,8716.0,16881.0,Puestos de trabajo,5692.925839,2673.019088,Pesos corrientes,Millones de pesos corrientes,645.0540409654121,586.602057918864,1231.6560988842762
2004.0,9189.25,19342.75,Puestos de trabajo,6303.422739,3063.419452,Pesos corrientes,Millones de pesos corrientes,753.0084562566248,770.314435867249,1523.3228921238738
2005.0,9754.5,21547.0,Puestos de trabajo,7737.078846,3959.156145,Pesos corrientes,Millones de pesos corrientes,981.1273628429911,1109.003186932095,2090.1305497750864
2006.0,10530.75,24256.75,Puestos de trabajo,9440.84542,5012.780225,Pesos corrientes,Millones de pesos corrientes,1292.4493777866448,1580.7188373959937,2873.1682151826385
2007.0,11680.5,28116.75,Puestos de trabajo,11857.680266,6254.48713,Pesos corrientes,Millones de pesos corrientes,1800.5472465111689,2286.126063161558,4086.6733096727266
2008.0,12679.0,31079.0,Puestos de trabajo,15062.535007,9082.417194,Pesos corrientes,Millones de pesos corrientes,2482.712457598789,3669.5417716402376,6152.254229239026
2009.0,12922.25,29824.25,Puestos de trabajo,17723.959197,11219.770823,Pesos corrientes,Millones de pesos corrientes,2977.4346125346324,4350.076249582152,7327.510862116784
2010.0,13747.0,29746.25,Puestos de trabajo,21060.569799,14994.111515,Pesos corrientes,Millones de pesos corrientes,3763.755489349089,5798.241665489894,9561.997154838984
2011.0,14417.5,30826.75,Puestos de trabajo,27117.49635,20971.364453,Pesos corrientes,Millones de pesos corrientes,5082.564547139626,8404.227118969731,13486.791666109357
2012.0,15346.0,31145.5,Puestos de trabajo,31704.453462,24839.715124,Pesos corrientes,Millones de pesos corrientes,6324.975056762077,10057.389516129046,16382.364572891121
2013.0,16097.5,33304.0,Puestos de trabajo,39017.54805,30850.196838,Pesos corrientes,Millones de pesos corrientes,8165.104736553374,13356.654421405776,21521.75915795915
