anio,unidad,masa_salarial_extraccion_ccnn,masa_salarial_total_ccnn,masa_salarial_extraccion_oede,masa_salarial_total_oede
1995.0,Millones de pesos corrientes,,,,
1996.0,Millones de pesos corrientes,446.6618860158487,716.887216550492,443.7360268862625,776.4913616807945
1997.0,Millones de pesos corrientes,472.2618969349418,774.9399179655543,469.02748104630604,851.990883205553
1998.0,Millones de pesos corrientes,500.26764977280004,806.0032759598594,497.5218701689601,915.3001400076399
1999.0,Millones de pesos corrientes,492.34663139454,741.9417865598408,491.35349648502006,845.4377271991366
2000.0,Millones de pesos corrientes,478.633411453444,783.7513072911536,477.35540786075995,910.5731463628605
2001.0,Millones de pesos corrientes,474.42870910031013,859.9531749457251,472.499621956193,961.869104235611
2002.0,Millones de pesos corrientes,567.5315603465398,986.2329693974323,565.2616343927377,1071.9582684073964
2003.0,Millones de pesos corrientes,645.0540409654121,1231.6560988842762,643.7403983280627,1369.4350092553227
2004.0,Millones de pesos corrientes,753.0084562566248,1523.3228921238738,752.4348447873757,1718.7353693706398
2005.0,Millones de pesos corrientes,981.1273628429911,2090.1305497750864,980.624452718001,2414.22994387732
2006.0,Millones de pesos corrientes,1292.4493777866448,2873.1682151826385,1287.38672443017,3297.0779891657075
2007.0,Millones de pesos corrientes,1800.5472465111689,4086.6733096727266,1774.418848045038,4627.081046307343
2008.0,Millones de pesos corrientes,2482.712457598789,6152.254229239026,2474.292500529876,7006.9954138276935
2009.0,Millones de pesos corrientes,2977.4346125346324,7327.510862116784,2992.411358056097,8375.483492483741
2010.0,Millones de pesos corrientes,3763.755489349089,9561.997154838984,3726.315061388917,10934.974078009405
2011.0,Millones de pesos corrientes,5082.564547139626,13486.791666109357,5101.865425166738,15526.741180435263
2012.0,Millones de pesos corrientes,6324.975056762077,16382.364572891121,6378.761662060359,19291.45780190686
2013.0,Millones de pesos corrientes,8165.104736553374,21521.75915795915,8248.9245964125,25210.4416819125
2014.0,Millones de pesos corrientes,,,11626.309569411484,36967.364475585586
2015.0,Millones de pesos corrientes,,,15802.205523114788,49948.26959065372
2016.0,Millones de pesos corrientes,,,19526.242657351293,56885.45635461411
2017.0,Millones de pesos corrientes,,,24621.064844301618,66312.31923046391
2018.0,Millones de pesos corrientes,,,36226.18038688063,90880.60271643594
2019.0,Millones de pesos corrientes,,,59657.97623484026,146966.34318155138
2020.0,Millones de pesos corrientes,,,79004.51699928124,165830.2857856836
2021.0,Millones de pesos corrientes,,,110127.61276298437,250724.71058659372
2022.0,Millones de pesos corrientes,,,208809.2013044375,517717.07926635933
2023.0,Millones de pesos corrientes,,,546942.5919945,1321740.8025481561
2024.0,Millones de pesos corrientes,,,1857970.224030375,4418287.269647062
