anio,empleo_extraccion_petroleo_gas,empleo_servicios_extraccion,remuneracion_extraccion_petroleo_gas,remuneracion_servicios_extraccion,unidad_masa_salarial,masa_salarial_extraccion,masa_salarial_servicios,masa_salarial_total
1995,,,3261.026543,1762.741554,Millones de pesos corrientes,,,
1996,9592.5,14428.0,3558.357105,1774.089563,Millones de pesos corrientes,443.7360268862625,332.755334794532,776.4913616807945
1997,9462.0,16598.5,3813.045551,1774.782254,Millones de pesos corrientes,469.02748104630604,382.963402159247,851.990883205553
1998,9286.25,17344.25,4121.245184,1852.878619,Millones de pesos corrientes,497.5218701689601,417.7782698386798,915.3001400076399
1999,8905.5,15336.5,4244.16628,1775.975517,Millones de pesos corrientes,491.35349648502006,354.08423071411653,845.4377271991366
2000,8497.5,17922.25,4321.229392,1859.389386,Millones de pesos corrientes,477.35540786075995,433.21773850210053,910.5731463628605
2001,8389.0,19399.0,4332.593249,1940.502414,Millones de pesos corrientes,472.499621956193,489.369482279418,961.869104235611
2002,8466.75,18237.75,5135.579081,2137.142145,Millones de pesos corrientes,565.2616343927377,506.6966340146587,1071.9582684073964
2003,8698.25,20883.75,5692.925839,2673.019088,Millones de pesos corrientes,643.7403983280627,725.6946109272599,1369.4350092553227
2004,9182.25,24264.0,6303.422739,3063.419452,Millones de pesos corrientes,752.4348447873757,966.3005245832641,1718.7353693706398
2005,9749.5,27853.75,7737.078846,3959.156145,Millones de pesos corrientes,980.624452718001,1433.6054911593187,2414.22994387732
2006,10489.5,30839.5,9440.84542,5012.780225,Millones de pesos corrientes,1287.38672443017,2009.6912647355375,3297.0779891657075
2007,11511.0,35084.5,11857.680266,6254.48713,Millones de pesos corrientes,1774.418848045038,2852.662198262305,4627.081046307343
2008,12636.0,38389.5,15062.535007,9082.417194,Millones de pesos corrientes,2474.292500529876,4532.702913297818,7006.9954138276935
2009,12987.25,36906.5,17723.959197,11219.770823,Millones de pesos corrientes,2992.411358056097,5383.0721344276435,8375.483492483741
2010,13610.25,36982.0,21060.569799,14994.111515,Millones de pesos corrientes,3726.315061388917,7208.659016620489,10934.974078009405
2011,14472.25,38238.5,27117.49635,20971.364453,Millones de pesos corrientes,5101.865425166738,10424.875755268526,15526.741180435263
2012,15476.5,39987.75,31704.453462,24839.715124,Millones de pesos corrientes,6378.761662060359,12912.696139846503,19291.45780190686
2013,16262.75,42292.5,39017.55,30850.2,Millones de pesos corrientes,8248.9245964125,16961.5170855,25210.4416819125
2014,17412.75,47056.25,51360.72736008642,41425.1436495587,Millones de pesos corrientes,11626.309569411484,25341.054906174104,36967.364475585586
2015,18368.75,49091.5,66175.12193311084,53504.58455919273,Millones de pesos corrientes,15802.205523114788,34146.06406753893,49948.26959065372
2016,17722.25,45708.75,84753.27150616313,62871.67487669684,Millones de pesos corrientes,19526.242657351293,37359.213697262814,56885.45635461411
2017,17129.0,41973.5,110568.51333681348,76405.81719814478,Millones de pesos corrientes,24621.064844301618,41691.25438616228,66312.31923046391
2018,20073.5,41533.75,138821.29476819086,101223.37455786478,Millones de pesos corrientes,36226.18038688063,54654.42232955532,90880.60271643594
2019,22065.5,44162.0,207975.12383529547,152077.08497509366,Millones de pesos corrientes,59657.97623484026,87308.36694671112,146966.34318155138
2020,21982.25,40665.75,276462.625,164239.078125,Millones de pesos corrientes,79004.51699928124,86825.76878640235,165830.2857856836
2021,20914.5,40844.75,405046.96875,264787.0625,Millones de pesos corrientes,110127.61276298437,140597.09782360937,250724.71058659372
2022,21618.25,43300.75,742994.75,548769.8125,Millones de pesos corrientes,208809.2013044375,308907.87796192185,517717.07926635933
2023,23174.0,46360.25,1815504.75,1285581.125,Millones de pesos corrientes,546942.5919945,774798.2105536562,1321740.8025481561
2024,24002.75,47841.75,5954350.5,4116644.25,Millones de pesos corrientes,1857970.224030375,2560317.0456166873,4418287.269647062
