anio,unidad,regalias_se,regalias_total
1991,ars,306131393.44844997,306131393.44844997
1992,ars,349167594.1545,349167594.1545
1993,ars,351784889.28,351784889.28
1994,ars,368483395.6,368483395.6
1995,ars,436901388.066,436901388.066
1996,ars,591825170.2,591825170.2
1997,ars,583584698.6,583584698.6
1998,ars,370402262.5,370402262.5
1999,ars,695904570.07,695904570.07
2000,ars,1072719357.187,1072719357.187
2001,ars,931040150.0575,931040150.0575
2002,ars,2983446219.77752,2983446219.77752
2003,ars,3303390981.31989,3303390981.31989
2004,ars,4075398110.89134,4075398110.89134
2005,ars,4939178925.055365,4939178925.055365
2006,ars,6298128725.257864,6298128725.257864
2007,ars,6542986824.862538,6542986824.862538
2008,ars,7782966443.205833,7782966443.205833
2009,ars,9501846301.504751,9501846301.504751
2010,ars,10988819826.023731,10988819826.023731
2011,ars,12923031393.89524,12923031393.89524
2012,ars,15317140267.616465,15317140267.616465
2013,ars,19444337113.576054,19444337113.576054
2014,ars,39520329415.75368,39520329415.75368
2015,ars,51168707934.87279,51168707934.87279
2016,ars,144846509210.14008,144846509210.14008
2017,ars,204039763243.92004,204039763243.92004
2018,ars,623347881433.4994,623347881433.4994
2019,ars,1482950761894.5972,1482950761894.5972
2020,ars,2102459626041.8562,2102459626041.8562
2021,ars,5125553773943.616,5125553773943.616
2022,ars,12202008110185.363,12202008110185.363
2023,ars,63508020625881.24,63508020625881.24
2024,ars,592245214730908.4,592245214730908.4
2025,ars,897077394459277.5,897077394459277.5
2026,ars,0.0,0.0
