producto,anio,regalias_se,unidad
crudo,1991,306131393.44844997,ars
crudo,1992,349167594.1545,ars
crudo,1993,351784889.28,ars
crudo,1994,368483395.6,ars
crudo,1995,436901388.066,ars
crudo,1996,591825170.2,ars
crudo,1997,583584698.6,ars
crudo,1998,370402262.5,ars
crudo,1999,502664280.61,ars
crudo,2000,841572018.577,ars
crudo,2001,683815577.32,ars
crudo,2002,1957989774.88236,ars
crudo,2003,2152111390.54223,ars
crudo,2004,2470575545.85,ars
crudo,2005,2892746715.918398,ars
crudo,2006,3475335149.925164,ars
crudo,2007,3384426053.326421,ars
crudo,2008,3709574491.8541408,ars
crudo,2009,4113558671.5687504,ars
crudo,2010,4920814190.85396,ars
crudo,2011,5765375258.4669,ars
crudo,2012,7299990275.639177,ars
crudo,2013,8367800557.438261,ars
crudo,2014,13096283867.011042,ars
crudo,2015,14278186890.94516,ars
crudo,2016,18172789076.98224,ars
crudo,2017,18456379568.63957,ars
crudo,2018,36552323349.460014,ars
crudo,2019,58813045236.42942,ars
crudo,2020,60945660135.932846,ars
crudo,2021,123915959445.16408,ars
crudo,2022,233958374785.64917,ars
crudo,2023,528292445241.9903,ars
crudo,2024,1868543789320.6655,ars
crudo,2025,2104337566194.207,ars
crudo,2026,,ars
gas,1993,0.0,ars
gas,1994,0.0,ars
gas,1995,0.0,ars
gas,1996,0.0,ars
gas,1997,0.0,ars
gas,1998,0.0,ars
gas,1999,169485823.32,ars
gas,2000,193758173.204,ars
gas,2001,216430570.434,ars
gas,2002,941450914.46744,ars
gas,2003,1021907015.19053,ars
gas,2004,1444637894.99058,ars
gas,2005,1844282388.446212,ars
gas,2006,2590195382.495324,ars
gas,2007,2884640574.5111513,ars
gas,2008,3703834201.8788185,ars
gas,2009,4938385936.155001,ars
gas,2010,5547568164.181571,ars
gas,2011,6516890192.441791,ars
gas,2012,7279521213.8123255,ars
gas,2013,10192429394.843851,ars
gas,2014,25348183688.942966,ars
gas,2015,35766049184.01352,ars
gas,2016,125183895154.60829,ars
gas,2017,184103908752.66058,ars
gas,2018,584745294474.2266,ars
gas,2019,1420838806416.1978,ars
gas,2020,2040021242196.5361,ars
gas,2021,5001637814498.452,ars
gas,2022,11968049735399.715,ars
gas,2023,62979728180639.25,ars
gas,2024,590376670941587.8,ars
gas,2025,894973056893083.2,ars
gas,2026,,ars
gasolina,1999,21321308.35,ars
gasolina,2000,34561264.688,ars
gasolina,2001,27999906.467,ars
gasolina,2002,78665812.52932,ars
gasolina,2003,119666580.59633,ars
gasolina,2004,148834920.66836002,ars
gasolina,2005,187142077.7593547,ars
gasolina,2006,215634461.98207548,ars
gasolina,2007,248528258.95896587,ars
gasolina,2008,293467159.1178742,ars
gasolina,2009,345793611.585,ars
gasolina,2010,417340711.2332001,ars
gasolina,2011,497513354.18955004,ars
gasolina,2012,646440049.6469619,ars
gasolina,2013,770728151.3189399,ars
gasolina,2014,978827038.2486707,ars
gasolina,2015,1039261273.81511,ars
gasolina,2016,1381941157.0065403,ars
gasolina,2017,1280615029.3169153,ars
gasolina,2018,1816163699.9478195,ars
gasolina,2019,2888008593.0900216,ars
gasolina,2020,1354813667.647171,ars
glp,1999,2433157.79,ars
glp,2000,2827900.718,ars
glp,2001,2794095.8365,ars
glp,2002,5339717.8984,ars
glp,2003,9705994.9908,ars
glp,2004,11349749.3824,ars
glp,2005,15007742.931400001,ars
glp,2006,16963730.8553,ars
glp,2007,25391938.066,ars
glp,2008,76090590.355,ars
glp,2009,104108082.19600001,ars
glp,2010,103096759.755,ars
glp,2011,143252588.797,ars
glp,2012,91188728.518,ars
glp,2013,113379009.975,ars
glp,2014,97034821.551,ars
glp,2015,85210586.09899999,ars
glp,2016,107883821.54300001,ars
glp,2017,198859893.303,ars
glp,2018,234099909.86499998,ars
glp,2019,410901648.88,ars
glp,2020,137910041.74,ars
