anio,unidad,regalias_se,regalias
1991,USD,306131393.44844997,322243572.051
1992,USD,349167594.1545,352694539.55
1993,USD,351784889.28,355338272.0
1994,USD,368483395.6,368483395.6
1995,USD,436901388.066,441314533.4
1996,USD,591825170.2,591825170.2
1997,USD,583584698.6,583584698.6
1998,USD,370402262.5,370402262.5
1999,USD,695904570.07,695904570.07
2000,USD,1072719357.187,1072719357.187
2001,USD,931040150.0575,931040150.0575
2002,USD,2983446219.77752,950142108.2094012
2003,USD,3303390981.31989,1127437194.9897234
2004,USD,4075398110.89134,1390920856.9595015
2005,USD,4939178925.055365,1686638032.516558
2006,USD,6298128725.257864,2046341881.328199
2007,USD,6542986824.862538,2097671437.3056493
2008,USD,7782966443.205833,2445038937.0770717
2009,USD,9501846301.504751,2533825680.401267
2010,USD,10988819826.023731,2824889415.430265
2011,USD,12923031393.89524,3144289876.8601556
2012,USD,15317140267.616465,3364542110.8536215
2013,USD,19444337113.576054,3541773609.0302463
2014,USD,39520329415.75368,4864878799.516677
2015,USD,51168707934.87279,5426162029.148758
2016,USD,144846509210.14008,9801863418.13048
2017,USD,204039763243.92004,12323685145.540339
2018,USD,623347881433.4994,22173389983.75689
2019,USD,1482950761894.5972,30731636421.989227
2020,USD,2102459626041.8562,29765224232.67806
2021,USD,5125553773943.616,53900290230.312
2022,USD,12202008110185.363,93279223496.20099
2023,USD,63508020625881.24,215066434420.01303
2024,USD,592245214730908.4,617390059157.9178
2025,USD,897077394459277.5,799414417934.0231
2026,USD,0.0,
