anio,unidad,retenciones_crudo_jk,retenciones_crudo_bfr,retenciones_hc
2002,ars,1065310443.9005244,1364724585.0958066,1353340000.0000002
2003,ars,1318425171.3937137,1320776407.3293643,1309710000.0
2004,ars,1850096177.4553232,2054773384.370453,1842970000.0
2005,ars,2952476706.931095,2821821108.1433787,2948915583.333334
2006,ars,3540076673.222087,2587828044.2276726,3545568000.0
2007,ars,3288568974.6318407,1906797845.498678,
2008,ars,10443790874.258461,2833510038.938444,
2009,ars,9198212000.0,4039442059.4542747,
2010,ars,7349697000.0,5918275085.5,
2011,ars,9198212000.0,5381362057.740001,
2012,ars,11237506000.0,,
2013,ars,7787714000.0,,
2014,ars,7788000000.0,,
2015,ars,643604000.0,,
