anio,subsidios_ejes,unidad,subsidios_cefip
2005,,Pesos corrientes,0.0
2006,,Pesos corrientes,0.0
2007,,Pesos corrientes,0.0
2008,646182833.3333334,Pesos corrientes,0.0
2009,2535000000.0,Pesos corrientes,124792926.89250198
2010,3967800000.0,Pesos corrientes,498516277.7833744
2011,5478630000.0,Pesos corrientes,1089512051.8153887
2012,4343102667.126,Pesos corrientes,6330993235.717319
2013,11721150000.0,Pesos corrientes,10044925464.681618
2014,18139998799.999996,Pesos corrientes,11447716063.525248
2015,27931660000.0,Pesos corrientes,35727065374.15405
2016,11821956950.937952,Pesos corrientes,22216030802.648357
2017,,Pesos corrientes,21320456989.616905
2018,,Pesos corrientes,29085444296.190567
2019,,Pesos corrientes,6434174957.939623
