anio,unidad,pbi,ganancia
1882,Millones de pesos corrientes,,
1883,Millones de pesos corrientes,,
1884,Millones de pesos corrientes,,
1885,Millones de pesos corrientes,,
1886,Millones de pesos corrientes,,
1887,Millones de pesos corrientes,,
1888,Millones de pesos corrientes,,
1889,Millones de pesos corrientes,,
1890,Millones de pesos corrientes,,
1891,Millones de pesos corrientes,,
1892,Millones de pesos corrientes,,
1893,Millones de pesos corrientes,,
1894,Millones de pesos corrientes,,
1895,Millones de pesos corrientes,,
1896,Millones de pesos corrientes,,
1897,Millones de pesos corrientes,,
1898,Millones de pesos corrientes,,
1899,Millones de pesos corrientes,,
1900,Millones de pesos corrientes,,
1901,Millones de pesos corrientes,,
1902,Millones de pesos corrientes,,
1903,Millones de pesos corrientes,,
1904,Millones de pesos corrientes,,
1905,Millones de pesos corrientes,,
1906,Millones de pesos corrientes,,
1907,Millones de pesos corrientes,,
1908,Millones de pesos corrientes,,
1909,Millones de pesos corrientes,,
1910,Millones de pesos corrientes,,
1911,Millones de pesos corrientes,,
1912,Millones de pesos corrientes,,
1913,Millones de pesos corrientes,,
1914,Millones de pesos corrientes,,
1915,Millones de pesos corrientes,,
1916,Millones de pesos corrientes,,
1917,Millones de pesos corrientes,,
1918,Millones de pesos corrientes,,
1919,Millones de pesos corrientes,,
1920,Millones de pesos corrientes,,
1921,Millones de pesos corrientes,,
1922,Millones de pesos corrientes,,
1923,Millones de pesos corrientes,,
1924,Millones de pesos corrientes,,
1925,Millones de pesos corrientes,,
1926,Millones de pesos corrientes,,
1927,Millones de pesos corrientes,,
1928,Millones de pesos corrientes,,
1929,Millones de pesos corrientes,,
1930,Millones de pesos corrientes,,
1931,Millones de pesos corrientes,,
1932,Millones de pesos corrientes,,
1933,Millones de pesos corrientes,,
1934,Millones de pesos corrientes,,
1935,Millones de pesos corrientes,,
1936,Millones de pesos corrientes,7.121423702062768e-10,3.786328978470311e-10
1937,Millones de pesos corrientes,7.839281584993398e-10,4.762966790353284e-10
1938,Millones de pesos corrientes,7.811325950782876e-10,4.3567039700990435e-10
1939,Millones de pesos corrientes,8.237536589771723e-10,4.4854050076021614e-10
1940,Millones de pesos corrientes,8.558927579959078e-10,4.802105844660954e-10
1941,Millones de pesos corrientes,9.244520656156664e-10,5.183118343746071e-10
1942,Millones de pesos corrientes,9.876692186604377e-10,6.504362433917652e-10
1943,Millones de pesos corrientes,9.9187784283397e-10,7.040766639585892e-10
1944,Millones de pesos corrientes,1.1001754991277344e-09,7.995747491325972e-10
1945,Millones de pesos corrientes,1.2750921472424688e-09,8.565262867122378e-10
1946,Millones de pesos corrientes,1.6344291932179311e-09,1.208136902959182e-09
1947,Millones de pesos corrientes,2.095938302930586e-09,1.4696495630235874e-09
1948,Millones de pesos corrientes,2.541118939996176e-09,1.368818436200153e-09
1949,Millones de pesos corrientes,3.3418546076277966e-09,1.2774813905674744e-09
1950,Millones de pesos corrientes,4.315514371398579e-09,1.4244047366349738e-09
1951,Millones de pesos corrientes,6.129914551771385e-09,2.7475530165310067e-09
1952,Millones de pesos corrientes,8.069016566553696e-09,3.676282692454776e-09
1953,Millones de pesos corrientes,8.836819683391549e-09,3.715177036320357e-09
1954,Millones de pesos corrientes,9.555864506239178e-09,3.4465646547142102e-09
1955,Millones de pesos corrientes,1.149107883521976e-08,4.350591830239242e-09
1956,Millones de pesos corrientes,1.3390668308158127e-08,7.319257135680972e-09
1957,Millones de pesos corrientes,1.7560185872358338e-08,8.953947661079963e-09
1958,Millones de pesos corrientes,2.452377707897952e-08,1.1995217924948905e-08
1959,Millones de pesos corrientes,4.902271614072937e-08,3.314026916118618e-08
1960,Millones de pesos corrientes,6.73119938864621e-08,4.031790477499984e-08
1961,Millones de pesos corrientes,8.301955056896762e-08,4.384016200941099e-08
1962,Millones de pesos corrientes,1.06143539569959e-07,6.301956002413408e-08
1963,Millones de pesos corrientes,1.3043755017221948e-07,8.640456254412041e-08
1964,Millones de pesos corrientes,1.782710011923187e-07,1.1924268032961216e-07
1965,Millones de pesos corrientes,2.538611681747706e-07,1.5631579392597327e-07
1966,Millones de pesos corrientes,3.417884021166453e-07,1.8725427020437223e-07
1967,Millones de pesos corrientes,4.5994105982050483e-07,2.566260303564471e-07
1968,Millones de pesos corrientes,5.656293670021422e-07,3.1855927422946697e-07
1969,Millones de pesos corrientes,6.700237036799608e-07,4.1107353940893106e-07
1970,Millones de pesos corrientes,8.135881586926926e-07,4.6138809894228023e-07
