anio,ipc_us_20
1947,0.08627069967217907
1948,0.09288957266740261
1949,0.0919785118416982
1950,0.09295717788768455
1951,0.10033902408323297
1952,0.10263116298041154
1953,0.10341023266175596
1954,0.10378367102140863
1955,0.10351646943648474
1956,0.10504241583713451
1957,0.10860617673485458
1958,0.11157114853864877
1959,0.11261098121250929
1960,0.11429145383094638
1961,0.11551478638842934
1962,0.11687332938647618
1963,0.11834132845545574
1964,0.11990590641055232
1965,0.121798852578447
1966,0.12543987658506073
1967,0.12893281296629494
1968,0.13440561651292918
1969,0.14171341889578784
1970,0.1500513960638953
1971,0.15639340958558323
1972,0.16151209054978818
1973,0.17162068063004204
1974,0.19051794934694966
1975,0.20793434181006215
1976,0.2199423166506185
1977,0.2341716058718675
1978,0.25203869980352633
1979,0.2804006993599073
1980,0.3182596227178007
1981,0.3512896017698403
1982,0.3729232722600651
1983,0.38470589636634817
1984,0.40151062255071923
1985,0.4156755258478902
1986,0.42375595931968546
1987,0.43891884444006624
1988,0.4569147102198811
1989,0.4788059244064181
1990,0.5047534518098722
1991,0.5260329997176677
1992,0.5420329018510631
1993,0.5581293828705756
1994,0.5726162157881368
1995,0.5886805038456102
1996,0.6059681244605666
1997,0.6201330277577377
1998,0.6297265304453671
1999,0.6435373111601088
2000,0.6652031746123727
2001,0.6839394785190851
2002,0.6948528926503146
2003,0.710820601821671
2004,0.7297822564626566
2005,0.7543454864984326
2006,0.7786511728378964
2007,0.8010027463815915
2008,0.8315606278786544
2009,0.828896660269925
2010,0.8424621306139295
2011,0.8689125120844331
2012,0.8869267278526103
2013,0.8999288213609317
2014,0.914466841088135
2015,0.9155746009118979
2016,0.927178232149244
2017,0.9469405257561403
2018,0.9700364005821775
2019,0.9876256692514397
2020,1.0
2021,1.0468124299601869
2022,1.1304613348039079
2023,1.1771150534612425
2024,1.2118647805454068
2025,1.2437889020850768
2026,1.2675540978582345
