anio,ipim_nivel_gral,ipim_nivel_gral_94
1956.0,4.1266e-11,4.2019887903236304e-13
1957.0,5.1295e-11,5.223210754607925e-13
1958.0,6.7094e-11,6.831973922792944e-13
1959.0,1.56921e-10,1.5978778727436008e-12
1960.0,1.813e-10,1.8461216684090394e-12
1961.0,1.96193e-10,1.997772468230417e-12
1962.0,2.55826e-10,2.6049968115963093e-12
1963.0,3.29385e-10,3.354025293706075e-12
1964.0,4.16025e-10,4.23625354164297e-12
1965.0,5.15171e-10,5.245826508747673e-12
1966.0,6.17859e-10,6.291466563273803e-12
1967.0,7.76916e-10,7.911094661520558e-12
1968.0,8.50171e-10,8.657027605918265e-12
1969.0,9.01804e-10,9.182790430545753e-12
1970.0,1.028786e-09,1.0475808752100728e-11
1971.0,1.435985e-09,1.4622189873195556e-11
1972.0,2.535643e-09,2.5819666219799785e-11
1973.0,3.812799e-09,3.882454964803264e-11
1974.0,4.57583e-09,4.659425766109285e-11
1975.0,1.3383858e-08,1.3628367490738922e-10
1976.0,8.0175628e-08,8.164035528356452e-10
1977.0,1.99992616e-07,2.0364627794782585e-09
1978.0,4.91957149e-07,5.009447063969301e-09
1979.0,1.226434466e-06,1.2488401779185156e-08
1980.0,2.15150212e-06,2.1908078783011502e-08
1981.0,4.509182602e-06,4.591560787846251e-08
1982.0,1.6063168656e-05,1.635662643086073e-07
1983.0,7.4039769193e-05,7.539240056878177e-07
1984.0,0.000499888579977,5.090210365613704e-06
1985.0,0.003813526,3.883195246354798e-05
1986.0,0.006249002,6.363164918991408e-05
1987.0,0.013927384,0.00014181823158661533
1988.0,0.071382235,0.000726863159255191
1989.0,2.521613273,0.02567680586118664
1990.0,43.042122369,0.4382845822378616
1991.0,90.593103373,0.9224814734987056
1992.0,96.022885227,0.9777712580293377
1993.0,97.563877316,0.9934627025210631
1994.0,98.205878357,1.0
1995.0,105.821488899,1.0775474001089382
