anio,moneda,tcc,tcc_moneda
1963,m$n,1.39e-11,139.0
1964,m$n,1.41e-11,141.0
1965,m$n,1.68e-11,168.0
1966,m$n,2.07e-11,207.0
1967,m$n,3.31e-11,331.0
1968,m$n,3.5e-11,350.0
1969,m$n,3.5e-11,350.0
1970,$ley,3.77e-11,3.7700000000000005
1971,$ley,4.59e-11,4.59
1972,$ley,8e-11,7.999999999999999
1973,$ley,8.68e-11,8.68
1974,$ley,8.68e-11,8.68
1975,$ley,2.57e-10,25.7
1976,$ley,1.83e-09,183.0
1977,$ley,4.05e-09,405.0
1978,$ley,7.9e-09,790.0
1979,$ley,1.31e-08,1310.0
1980,$ley,1.83e-08,1829.9999999999998
1981,$ley,4.41e-08,4410.0
1982,$ley,2.16e-07,21600.0
1983,$arg,1.053e-06,10.53
1984,$arg,6.77e-06,67.7
1985,A,6e-05,0.6
1986,A,9.42e-05,0.942
1987,A,0.000214,2.14
1988,A,0.000871,8.71
1989,A,0.0394,394.0
1990,A,0.449,4490.0
1991,A,0.95,9500.0
