anio,tcc,tcp,sobrevaluacion
1936,3.01e-13,2.914449757784314e-13,0.9682557334831609
1937,3.03e-13,2.846514194602302e-13,0.9394436285816178
1938,3.07e-13,2.617783164912612e-13,0.8526980993200691
1939,3.27e-13,2.866002299343679e-13,0.8764533025515838
1940,3.36e-13,3.2888235637377236e-13,0.9788165368267036
1941,3.36e-13,3.5568620719655145e-13,1.0585899023706888
1942,3.36e-13,3.527801582312046e-13,1.0499409471166803
1943,3.36e-13,3.851705937156042e-13,1.1463410527250126
1944,3.36e-13,4.0622022553163494e-13,1.2089887664631993
1945,3.36e-13,4.743077825042828e-13,1.4116303050722705
1946,3.36e-13,4.3237803446155064e-13,1.2868393882784246
1947,3.36e-13,4.152889024769395e-13,1.2359788764194628
1948,3.36e-13,4.5301238167760564e-13,1.348251135945255
1949,3.36e-13,6.42068870648753e-13,1.9109192578831935
1950,3.91e-13,7.848443430683273e-13,2.0072745347016046
1951,5e-13,9.75880097164723e-13,1.951760194329446
1952,5e-13,1.1935807346934453e-12,2.3871614693868906
1953,5e-13,1.49176750286427e-12,2.98353500572854
1954,5e-13,1.4684626910563614e-12,2.936925382112723
1955,6.9e-13,1.6682030546352734e-12,2.4176855864279325
1956,1.8e-12,1.865707016536708e-12,1.036503898075949
1957,1.8e-12,2.215620682936727e-12,1.2309003794092928
1958,1.8e-12,2.7509601125472938e-12,1.5283111736373853
1959,8.06e-12,6.661870546578436e-12,0.8265348072677959
1960,8.28e-12,7.643394706684082e-12,0.9231153027396234
1961,8.29e-12,7.91345035478734e-12,0.9545778473808613
1962,1.16e-11,1.1025934906447486e-11,0.9505116298661626
1963,1.39e-11,1.3689814027401163e-11,0.984878707007278
1964,1.41e-11,1.5961183187096464e-11,1.1319988075954939
1965,1.68e-11,1.9334847321468138e-11,1.1508837691350082
1966,2.07e-11,2.491185820885275e-11,1.2034714110556883
1967,3.31e-11,3.281393980941069e-11,0.9913576981695074
1968,3.5e-11,3.527585316582835e-11,1.0078815190236672
1969,3.5e-11,3.3458068278099456e-11,0.9559448079456987
1970,3.77e-11,3.569785208225281e-11,0.946892628176467
1971,4.59e-11,4.7720273050483874e-11,1.0396573649342893
1972,8e-11,7.45834959761967e-11,0.9322936997024589
1973,8.68e-11,1.1375831475781977e-10,1.3105796631085227
1974,8.68e-11,1.2647585597322773e-10,1.457095114898937
1975,2.57e-10,3.74002397389071e-10,1.4552622466500817
1976,1.83e-09,2.001721362135581e-09,1.0938368099101534
1977,4.05e-09,4.817638854131992e-09,1.1895404578103683
1978,7.9e-09,1.2622630391494297e-08,1.597801315379025
1979,1.31e-08,2.4626019715424612e-08,1.87984883323852
1980,1.83e-08,4.162040187202227e-08,2.2743389001105068
1981,4.41e-08,8.190042358174585e-08,1.857152462171108
1982,2.16e-07,2.0667427771827035e-07,0.9568253598068072
1983,1.053e-06,8.931256667281215e-07,0.8481725230086624
1984,6.77e-06,6.5215349932082375e-06,0.9632991127338607
1985,6e-05,5.369904101939766e-05,0.894984016989961
1986,9.42e-05,8.955315961391932e-05,0.9506704842241965
1987,0.000214,0.00020847512175890085,0.9741828119574807
1988,0.000871,0.0009757902950238913,1.120310327237533
1989,0.0394,0.029977468642338887,0.760849457927383
1990,0.449,0.7399955380923077,1.6480969667980125
1991,0.95,1.69,1.7789473684210526
1992,0.99,1.894025275738358,1.9131568441801596
1993,0.99,1.972021623383232,1.9919410337204364
1994,1.0,1.812286513626661,1.812286513626661
1995,0.99,1.850027967708323,1.868715118897296
1996,1.0,1.700047480198135,1.700047480198135
1997,1.0,1.685374159314438,1.685374159314438
1998,1.0,1.834025658588197,1.834025658588197
1999,1.0,1.945408423379476,1.945408423379476
2000,1.0,1.969548988287749,1.969548988287749
2001,1.0,2.07506215718321,2.07506215718321
2002,3.14,3.101870690383393,0.9878569077654118
2003,2.93,3.575691739551415,1.2203726073554317
2004,2.93,3.476419712823161,1.1864913695642187
2005,2.928416666666667,3.913969455049009,1.3365480054804388
2006,3.07775,4.120995359841515,1.3389636454687728
2007,3.119166666666667,4.572715840632663,1.466005612813036
2008,3.183166666666667,5.592039744778452,1.7567536765626843
2009,3.75,6.96022588383259,1.8560602356886906
2010,3.89,7.66405578636219,1.970194289553262
2011,4.11,9.17750726520705,2.2329701375199633
2012,4.552518519,12.13401732884997,2.6653416736710627
2013,5.49,14.84157193157559,2.7033828654964642
2014,8.1236,21.34231847897062,2.6271995764157046
2015,9.43,25.48181551080215,2.702207371240949
2016,14.77744618867244,36.58219323265958,2.4755423072155343
2017,16.55671666666666,47.31066691847749,2.8574908824602407
2018,28.11243034511785,63.43351939285051,2.256422465582621
2019,48.25485833333334,96.3767044113364,1.9972435468691783
2020,70.63476524170274,155.1537195126539,2.196563108573216
2021,95.09325,183.2544403613368,1.9271025058175717
2022,130.811639,321.6995633231077,2.459257951221815
2023,295.294897119341,694.730244073937,2.3526659310782723
2024,959.272352941177,2393.116154794713,2.494720240250122
2025,1122.168145,2613.39,2.3288755893173207
