anio,unidad,regalias,mecon,ypf,idee,anuario,precio_gas_mdoint,variable
1963.0,ars/Miles de m3,,,4.9116226437819584e-17,,,,Precio del mercado interno del gas natural según distintas fuentes
1964.0,ars/Miles de m3,,,7.688561393775273e-17,,,,Precio del mercado interno del gas natural según distintas fuentes
1965.0,ars/Miles de m3,,,9.128373177524667e-17,,,,Precio del mercado interno del gas natural según distintas fuentes
1966.0,ars/Miles de m3,,,1.0772580773808938e-16,,,,Precio del mercado interno del gas natural según distintas fuentes
1967.0,ars/Miles de m3,,,1.2676342433378642e-16,,,,Precio del mercado interno del gas natural según distintas fuentes
1968.0,ars/Miles de m3,,,1.3741051269744723e-16,,,,Precio del mercado interno del gas natural según distintas fuentes
1969.0,ars/Miles de m3,,,1.5234498913141453e-16,,,,Precio del mercado interno del gas natural según distintas fuentes
1970.0,ars/Miles de m3,,,1.3028595506180253e-16,1.45e-10,,1.45e-10,Precio del mercado interno del gas natural según distintas fuentes
1971.0,ars/Miles de m3,,,1.40590297488976e-16,1.8861208941277938e-10,,1.8861208941277938e-10,Precio del mercado interno del gas natural según distintas fuentes
1972.0,ars/Miles de m3,,,1.8226016813493747e-16,2.0707077605958978e-10,,2.0707077605958978e-10,Precio del mercado interno del gas natural según distintas fuentes
1973.0,ars/Miles de m3,,,2.0923314278088924e-16,2.498115379019096e-10,,2.498115379019096e-10,Precio del mercado interno del gas natural según distintas fuentes
1974.0,ars/Miles de m3,,,2.464281175626514e-16,2.677991192655404e-10,,2.677991192655404e-10,Precio del mercado interno del gas natural según distintas fuentes
1975.0,ars/Miles de m3,,,2.788492137056157e-16,3.365852957314881e-10,,3.365852957314881e-10,Precio del mercado interno del gas natural según distintas fuentes
1976.0,ars/Miles de m3,,,2.9110740900237095e-15,3.400548565738658e-09,,3.400548565738658e-09,Precio del mercado interno del gas natural según distintas fuentes
1977.0,ars/Miles de m3,,,3.6049368766344084e-14,4.025404242040695e-08,,4.025404242040695e-08,Precio del mercado interno del gas natural según distintas fuentes
1978.0,ars/Miles de m3,,,1.7951506272697447e-13,1.850048401828085e-07,,1.850048401828085e-07,Precio del mercado interno del gas natural según distintas fuentes
1979.0,ars/Miles de m3,,,3.736581284189603e-13,3.8202142442670736e-07,,3.8202142442670736e-07,Precio del mercado interno del gas natural según distintas fuentes
1980.0,ars/Miles de m3,,,6.517503477282539e-13,6.840473703309591e-07,,6.840473703309591e-07,Precio del mercado interno del gas natural según distintas fuentes
1981.0,ars/Miles de m3,,,1.5058766888564843e-12,1.5947539150084233e-06,,1.5947539150084233e-06,Precio del mercado interno del gas natural según distintas fuentes
1982.0,ars/Miles de m3,,,3.6880286919875385e-12,3.591287320333852e-06,,3.591287320333852e-06,Precio del mercado interno del gas natural según distintas fuentes
1983.0,ars/Miles de m3,,,2.8899533973537168e-11,2.471653198535148e-05,,2.471653198535148e-05,Precio del mercado interno del gas natural según distintas fuentes
1984.0,ars/Miles de m3,,,1.972521182745978e-10,0.0001782659832092463,,0.0001782659832092463,Precio del mercado interno del gas natural según distintas fuentes
1985.0,ars/Miles de m3,,,1.647156180449814e-09,0.0015477317984758942,,0.0015477317984758942,Precio del mercado interno del gas natural según distintas fuentes
1986.0,ars/Miles de m3,,,2.4711504121732724e-09,0.002510403658273627,,0.002510403658273627,Precio del mercado interno del gas natural según distintas fuentes
1987.0,ars/Miles de m3,,,4.514306121237229e-09,0.004685890279840051,,0.004685890279840051,Precio del mercado interno del gas natural según distintas fuentes
1988.0,ars/Miles de m3,,,,0.03137269407625436,8.874444444444445e-08,0.03137269407625436,Precio del mercado interno del gas natural según distintas fuentes
1989.0,ars/Miles de m3,,,1.1171352147986747e-06,,4.114714285714286e-06,,Precio del mercado interno del gas natural según distintas fuentes
1990.0,ars/Miles de m3,,,1.4028814775815954e-05,,3.560166666666666e-05,,Precio del mercado interno del gas natural según distintas fuentes
1991.0,ars/Miles de m3,,,3.419242076339615e-05,,,,Precio del mercado interno del gas natural según distintas fuentes
1992.0,ars/Miles de m3,,,0.000358,,,,Precio del mercado interno del gas natural según distintas fuentes
1993.0,ars/Miles de m3,35.501695679661246,,,,,35.501695679661246,Precio del mercado interno del gas natural según distintas fuentes
1994.0,ars/Miles de m3,39.17414982752911,,,,,39.17414982752911,Precio del mercado interno del gas natural según distintas fuentes
1995.0,ars/Miles de m3,41.598260182991076,,,,,41.598260182991076,Precio del mercado interno del gas natural según distintas fuentes
1996.0,ars/Miles de m3,43.11493142603264,,,,,43.11493142603264,Precio del mercado interno del gas natural según distintas fuentes
