anio,unidad,regalias,mecon,ypf,idee,anuario,precio_gas_mdoint,variable
1963.0,ars/MMBTU,,,1.391394516652113e-18,,,,Precio del mercado interno del gas natural según distintas fuentes
1964.0,ars/MMBTU,,,2.1780627177833637e-18,,,,Precio del mercado interno del gas natural según distintas fuentes
1965.0,ars/MMBTU,,,2.5859414100636453e-18,,,,Precio del mercado interno del gas natural según distintas fuentes
1966.0,ars/MMBTU,,,3.0517225988127304e-18,,,,Precio del mercado interno del gas natural según distintas fuentes
1967.0,ars/MMBTU,,,3.591031850815479e-18,,,,Precio del mercado interno del gas natural según distintas fuentes
1968.0,ars/MMBTU,,,3.892649084913519e-18,,,,Precio del mercado interno del gas natural según distintas fuentes
1969.0,ars/MMBTU,,,4.31572207171146e-18,,,,Precio del mercado interno del gas natural según distintas fuentes
1970.0,ars/MMBTU,,,3.690820256708287e-18,4.107648725212464e-12,,4.107648725212464e-12,Precio del mercado interno del gas natural según distintas fuentes
1971.0,ars/MMBTU,,,3.982727974191955e-18,5.343118680248707e-12,,5.343118680248707e-12,Precio del mercado interno del gas natural según distintas fuentes
1972.0,ars/MMBTU,,,5.163177567561969e-18,5.8660276504133084e-12,,5.8660276504133084e-12,Precio del mercado interno del gas natural según distintas fuentes
1973.0,ars/MMBTU,,,5.927284498042188e-18,7.076814104869961e-12,,7.076814104869961e-12,Precio del mercado interno del gas natural según distintas fuentes
1974.0,ars/MMBTU,,,6.98096650319126e-18,7.58637731630426e-12,,7.58637731630426e-12,Precio del mercado interno del gas natural según distintas fuentes
1975.0,ars/MMBTU,,,7.89941115313359e-18,9.534994213356604e-12,,9.534994213356604e-12,Precio del mercado interno del gas natural según distintas fuentes
1976.0,ars/MMBTU,,,8.246668810265466e-17,9.633282055916879e-11,,9.633282055916879e-11,Precio del mercado interno del gas natural según distintas fuentes
1977.0,ars/MMBTU,,,1.0212285769502575e-15,1.1403411450540214e-09,,1.1403411450540214e-09,Precio del mercado interno del gas natural según distintas fuentes
1978.0,ars/MMBTU,,,5.085412541840637e-15,5.240930316793441e-09,,5.240930316793441e-09,Precio del mercado interno del gas natural según distintas fuentes
1979.0,ars/MMBTU,,,1.0585216102520122e-14,1.0822136669311824e-08,,1.0822136669311824e-08,Precio del mercado interno del gas natural según distintas fuentes
1980.0,ars/MMBTU,,,1.846318265519133e-14,1.937811247396485e-08,,1.937811247396485e-08,Precio del mercado interno del gas natural según distintas fuentes
1981.0,ars/MMBTU,,,4.265939628488624e-14,4.517716473111681e-08,,4.517716473111681e-08,Precio del mercado interno del gas natural según distintas fuentes
1982.0,ars/MMBTU,,,1.0447673348406626e-13,1.0173618471200714e-07,,1.0173618471200714e-07,Precio del mercado interno del gas natural según distintas fuentes
1983.0,ars/MMBTU,,,8.186836819698914e-13,7.001850420779457e-07,,7.001850420779457e-07,Precio del mercado interno del gas natural según distintas fuentes
1984.0,ars/MMBTU,,,5.587878704662827e-12,5.050027852953153e-06,,5.050027852953153e-06,Precio del mercado interno del gas natural según distintas fuentes
1985.0,ars/MMBTU,,,4.666164817138284e-11,4.384509344124346e-05,,4.384509344124346e-05,Precio del mercado interno del gas natural según distintas fuentes
1986.0,ars/MMBTU,,,7.000426096808138e-11,7.111625094259567e-05,,7.111625094259567e-05,Precio del mercado interno del gas natural según distintas fuentes
1987.0,ars/MMBTU,,,1.2788402609737194e-10,0.00013274476713427908,,0.00013274476713427908,Precio del mercado interno del gas natural según distintas fuentes
1988.0,ars/MMBTU,,,,0.0008887448746814265,2.5140069247717973e-09,0.0008887448746814265,Precio del mercado interno del gas natural según distintas fuentes
1989.0,ars/MMBTU,,,3.1646889937639506e-08,,1.1656414407122622e-07,,Precio del mercado interno del gas natural según distintas fuentes
1990.0,ars/MMBTU,,,3.974168491732565e-07,,1.0085457979225683e-06,,Precio del mercado interno del gas natural según distintas fuentes
1991.0,ars/MMBTU,,,9.686238176599478e-07,,,,Precio del mercado interno del gas natural según distintas fuentes
1992.0,ars/MMBTU,,,1.0141643059490084e-05,,,,Precio del mercado interno del gas natural según distintas fuentes
1993.0,ars/MMBTU,1.0057137586306302,,,,,1.0057137586306302,Precio del mercado interno del gas natural según distintas fuentes
1994.0,ars/MMBTU,1.1097492868988417,,,,,1.1097492868988417,Precio del mercado interno del gas natural según distintas fuentes
1995.0,ars/MMBTU,1.1784209683566877,,,,,1.1784209683566877,Precio del mercado interno del gas natural según distintas fuentes
1996.0,ars/MMBTU,1.2213861593776953,,,,,1.2213861593776953,Precio del mercado interno del gas natural según distintas fuentes
1997.0,ars/MMBTU,1.2188698091062005,,,,,1.2188698091062005,Precio del mercado interno del gas natural según distintas fuentes
1998.0,ars/MMBTU,1.2190291086172733,,,,,1.2190291086172733,Precio del mercado interno del gas natural según distintas fuentes
1999.0,ars/MMBTU,1.2028564683663836,1.2028482384796977,,,,1.2028564683663836,Precio del mercado interno del gas natural según distintas fuentes
2000.0,ars/MMBTU,1.2689565627950896,1.268906604414542,,,,1.2689565627950896,Precio del mercado interno del gas natural según distintas fuentes
2001.0,ars/MMBTU,1.3406515580736544,1.340612102384325,,,,1.3406515580736544,Precio del mercado interno del gas natural según distintas fuentes
2002.0,ars/MMBTU,1.5479225684608122,1.5479358173984894,,,,1.5479225684608122,Precio del mercado interno del gas natural según distintas fuentes
2003.0,ars/MMBTU,1.5888101983002834,1.5887954145892353,,,,1.5888101983002834,Precio del mercado interno del gas natural según distintas fuentes
2004.0,ars/MMBTU,2.2634796978281395,2.2634571624173754,,,,2.2634796978281395,Precio del mercado interno del gas natural según distintas fuentes
2005.0,ars/MMBTU,3.056397544853636,3.0563941929414544,,,,3.056397544853636,Precio del mercado interno del gas natural según distintas fuentes
2006.0,ars/MMBTU,3.9669735599622284,3.966954048866856,,,,3.9669735599622284,Precio del mercado interno del gas natural según distintas fuentes
2007.0,ars/MMBTU,4.676581680830973,4.6765650894711985,,,,4.676581680830973,Precio del mercado interno del gas natural según distintas fuentes
2008.0,ars/MMBTU,5.5510623229461755,5.551074159820586,,,,5.5510623229461755,Precio del mercado interno del gas natural según distintas fuentes
2009.0,ars/MMBTU,6.7493389990557136,6.7493657788007555,,,,6.7493389990557136,Precio del mercado interno del gas natural según distintas fuentes
2010.0,ars/MMBTU,7.920066100094429,7.920096457507081,,,,7.920066100094429,Precio del mercado interno del gas natural según distintas fuentes
2011.0,ars/MMBTU,8.690627950897072,8.690620597733712,,,,8.690627950897072,Precio del mercado interno del gas natural según distintas fuentes
2012.0,ars/MMBTU,8.614966949952787,8.614955370396602,,,,8.614966949952787,Precio del mercado interno del gas natural según distintas fuentes
2013.0,ars/MMBTU,10.272521246458926,10.272555652974507,,,,10.272521246458926,Precio del mercado interno del gas natural según distintas fuentes
2014.0,ars/MMBTU,18.582507082152976,18.582497063975453,,,,18.582507082152976,Precio del mercado interno del gas natural según distintas fuentes
2015.0,ars/MMBTU,20.2755193578848,20.27551310009443,,,,20.2755193578848,Precio del mercado interno del gas natural según distintas fuentes
2016.0,ars/MMBTU,49.82511803588291,49.82511674457035,,,,49.82511803588291,Precio del mercado interno del gas natural según distintas fuentes
2017.0,ars/MMBTU,65.35422568460812,65.35420826723325,,,,65.35422568460812,Precio del mercado interno del gas natural según distintas fuentes
2018.0,ars/MMBTU,127.37474032105762,127.3747104674221,,,,127.37474032105762,Precio del mercado interno del gas natural según distintas fuentes
2019.0,ars/MMBTU,163.81576959395656,164.94494065155806,,,,163.81576959395656,Precio del mercado interno del gas natural según distintas fuentes
2020.0,ars/MMBTU,168.02367799811142,168.19040557569073,,,,168.02367799811142,Precio del mercado interno del gas natural según distintas fuentes
2021.0,ars/MMBTU,211.82124645892353,296.1098829926575,,,,211.82124645892353,Precio del mercado interno del gas natural según distintas fuentes
2022.0,ars/MMBTU,,453.9387677640109,,,,453.9387677640109,Precio del mercado interno del gas natural según distintas fuentes
2023.0,ars/MMBTU,,1060.2802318838267,,,,1060.2802318838267,Precio del mercado interno del gas natural según distintas fuentes
2024.0,ars/MMBTU,,3027.562684368754,,,,3027.562684368754,Precio del mercado interno del gas natural según distintas fuentes
2025.0,ars/MMBTU,,4131.202928466596,,,,4131.202928466596,Precio del mercado interno del gas natural según distintas fuentes
