anio,unidad,regalias,mecon,ypf,idee,anuario,precio_gas_mdoint,variable
1963.0,USD/MMBTU,,,1.0010032493900093e-07,,,,Precio del mercado interno del gas natural según distintas fuentes
1964.0,USD/MMBTU,,,1.5447253317612508e-07,,,,Precio del mercado interno del gas natural según distintas fuentes
1965.0,USD/MMBTU,,,1.5392508393235985e-07,,,,Precio del mercado interno del gas natural según distintas fuentes
1966.0,USD/MMBTU,,,1.4742621250303046e-07,,,,Precio del mercado interno del gas natural según distintas fuentes
1967.0,USD/MMBTU,,,1.0849038824215949e-07,,,,Precio del mercado interno del gas natural según distintas fuentes
1968.0,USD/MMBTU,,,1.112185452832434e-07,,,,Precio del mercado interno del gas natural según distintas fuentes
1969.0,USD/MMBTU,,,1.2330634490604172e-07,,,,Precio del mercado interno del gas natural según distintas fuentes
1970.0,USD/MMBTU,,,9.789974155724898e-08,0.10895619960775765,,0.10895619960775765,Precio del mercado interno del gas natural según distintas fuentes
1971.0,USD/MMBTU,,,8.67696726403476e-08,0.11640781438450343,,0.11640781438450343,Precio del mercado interno del gas natural según distintas fuentes
1972.0,USD/MMBTU,,,6.453971959452461e-08,0.07332534563016636,,0.07332534563016636,Precio del mercado interno del gas natural según distintas fuentes
1973.0,USD/MMBTU,,,6.8286687765463e-08,0.08153011641555255,,0.08153011641555255,Precio del mercado interno del gas natural según distintas fuentes
1974.0,USD/MMBTU,,,8.04258813731712e-08,0.08740066032608595,,0.08740066032608595,Precio del mercado interno del gas natural según distintas fuentes
1975.0,USD/MMBTU,,,3.0737008377951714e-08,0.03710114479905294,,0.03710114479905294,Precio del mercado interno del gas natural según distintas fuentes
1976.0,USD/MMBTU,,,4.5063763990521665e-08,0.05264088555145835,,0.05264088555145835,Precio del mercado interno del gas natural según distintas fuentes
1977.0,USD/MMBTU,,,2.521552041852488e-07,0.28156571482815346,,0.28156571482815346,Precio del mercado interno del gas natural según distintas fuentes
1978.0,USD/MMBTU,,,6.437231065621059e-07,0.6634089008599293,,0.6634089008599293,Precio del mercado interno del gas natural según distintas fuentes
1979.0,USD/MMBTU,,,8.080317635511543e-07,0.8261173030009026,,0.8261173030009026,Precio del mercado interno del gas natural según distintas fuentes
1980.0,USD/MMBTU,,,1.0089170849831328e-06,1.0589132499434344,,1.0589132499434344,Precio del mercado interno del gas natural según distintas fuentes
1981.0,USD/MMBTU,,,9.67333249090391e-07,1.0244255041069572,,1.0244255041069572,Precio del mercado interno del gas natural según distintas fuentes
1982.0,USD/MMBTU,,,4.836885809447512e-07,0.47100085514818124,,0.47100085514818124,Precio del mercado interno del gas natural según distintas fuentes
1983.0,USD/MMBTU,,,7.77477380788121e-07,0.6649430599030824,,0.6649430599030824,Precio del mercado interno del gas natural según distintas fuentes
1984.0,USD/MMBTU,,,8.253882872470941e-07,0.7459420757685602,,0.7459420757685602,Precio del mercado interno del gas natural según distintas fuentes
1985.0,USD/MMBTU,,,7.77694136189714e-07,0.7307515573540577,,0.7307515573540577,Precio del mercado interno del gas natural según distintas fuentes
1986.0,USD/MMBTU,,,7.431450208925836e-07,0.7549495853778734,,0.7549495853778734,Precio del mercado interno del gas natural según distintas fuentes
1987.0,USD/MMBTU,,,5.975889069970651e-07,0.6203026501601826,,0.6203026501601826,Precio del mercado interno del gas natural según distintas fuentes
1988.0,USD/MMBTU,,,,1.020372990449399,2.886345493423418e-06,1.020372990449399,Precio del mercado interno del gas natural según distintas fuentes
1989.0,USD/MMBTU,,,8.032205567928809e-07,,2.9584808139905134e-06,,Precio del mercado interno del gas natural según distintas fuentes
1990.0,USD/MMBTU,,,8.851154770005712e-07,,2.2462044497161877e-06,,Precio del mercado interno del gas natural según distintas fuentes
1991.0,USD/MMBTU,,,1.0196040185894188e-06,,,,Precio del mercado interno del gas natural según distintas fuentes
1992.0,USD/MMBTU,,,1.0244083898474833e-05,,,,Precio del mercado interno del gas natural según distintas fuentes
1993.0,USD/MMBTU,1.015872483465283,,,,,1.015872483465283,Precio del mercado interno del gas natural según distintas fuentes
1994.0,USD/MMBTU,1.1097492868988417,,,,,1.1097492868988417,Precio del mercado interno del gas natural según distintas fuentes
1995.0,USD/MMBTU,1.1903242104613008,,,,,1.1903242104613008,Precio del mercado interno del gas natural según distintas fuentes
1996.0,USD/MMBTU,1.2213861593776953,,,,,1.2213861593776953,Precio del mercado interno del gas natural según distintas fuentes
1997.0,USD/MMBTU,1.2188698091062005,,,,,1.2188698091062005,Precio del mercado interno del gas natural según distintas fuentes
1998.0,USD/MMBTU,1.2190291086172733,,,,,1.2190291086172733,Precio del mercado interno del gas natural según distintas fuentes
1999.0,USD/MMBTU,1.2028564683663836,1.2028482384796977,,,,1.2028564683663836,Precio del mercado interno del gas natural según distintas fuentes
2000.0,USD/MMBTU,1.2689565627950896,1.268906604414542,,,,1.2689565627950896,Precio del mercado interno del gas natural según distintas fuentes
