anio,variable,unidad,prod_crudo,regalias,mecon,sesco,anuario_combustibles,sec_energia,crudo_eia
1911.0,Producción de crudo según distintas fuentes,barriles,12579.599999999999,,,,12579.599999999999,,
1912.0,Producción de crudo según distintas fuentes,barriles,44028.6,,,,44028.6,,
1913.0,Producción de crudo según distintas fuentes,barriles,132085.8,,,,132085.8,,
1914.0,Producción de crudo según distintas fuentes,barriles,276751.2,,,,276751.2,,
1915.0,Producción de crudo según distintas fuentes,barriles,515763.6,,,,515763.6,,
1916.0,Producción de crudo según distintas fuentes,barriles,867992.3999999999,,,,867992.3999999999,,
1917.0,Producción de crudo según distintas fuentes,barriles,1207641.5999999999,,,,1207641.5999999999,,
1918.0,Producción de crudo según distintas fuentes,barriles,1352307.0,,,,1352307.0,,
1919.0,Producción de crudo según distintas fuentes,barriles,1327147.7999999998,,,,1327147.7999999998,,
1920.0,Producción de crudo según distintas fuentes,barriles,1647927.5999999999,,,,1647927.5999999999,,
1921.0,Producción de crudo según distintas fuentes,barriles,2056764.5999999999,,,,2056764.5999999999,,
1922.0,Producción de crudo según distintas fuentes,barriles,2861859.0,,,,2861859.0,,
1923.0,Producción de crudo según distintas fuentes,barriles,3333594.0,,,,3333594.0,,
1924.0,Producción de crudo según distintas fuentes,barriles,4660741.8,,,,4660741.8,,
1925.0,Producción de crudo según distintas fuentes,barriles,5987889.6,,,,5987889.6,,
1926.0,Producción de crudo según distintas fuentes,barriles,7849670.399999999,,,,7849670.399999999,,
1927.0,Producción de crudo según distintas fuentes,barriles,8629605.6,,,,8629605.6,,
1928.0,Producción de crudo según distintas fuentes,barriles,9069891.6,,,,9069891.6,,
1929.0,Producción de crudo según distintas fuentes,barriles,9390671.399999999,,,,9390671.399999999,,
1930.0,Producción de crudo según distintas fuentes,barriles,9000703.799999999,,,,9000703.799999999,,
1931.0,Producción de crudo según distintas fuentes,barriles,11705317.799999999,,,,11705317.799999999,,
1932.0,Producción de crudo según distintas fuentes,barriles,13139392.2,,,,13139392.2,,
1933.0,Producción de crudo según distintas fuentes,barriles,13692894.6,,,,13692894.6,,
1934.0,Producción de crudo según distintas fuentes,barriles,14026254.0,,,,14026254.0,,
1935.0,Producción de crudo según distintas fuentes,barriles,14296715.399999999,,,,14296715.399999999,,
1936.0,Producción de crudo según distintas fuentes,barriles,15460328.399999999,,,,15460328.399999999,,
1937.0,Producción de crudo según distintas fuentes,barriles,16353479.999999998,,,,16353479.999999998,,
1938.0,Producción de crudo según distintas fuentes,barriles,17076807.0,,,,17076807.0,,
