anio,regalias,mecon,sesco,anuario_combustibles,sec_energia_prod,eia,unidad,prod_gas,variable
1913.0,,,,6087.660088,,,BEP,6087.660088,Producción de gas según distintas fuentes
1914.0,,,,18262.980263999998,,,BEP,18262.980263999998,Producción de gas según distintas fuentes
1915.0,,,,42613.620616,,,BEP,42613.620616,Producción de gas según distintas fuentes
1916.0,,,,54788.940791999994,,,BEP,54788.940791999994,Producción de gas según distintas fuentes
1917.0,,,,91314.90131999999,,,BEP,91314.90131999999,Producción de gas según distintas fuentes
1918.0,,,,109577.88158399999,,,BEP,109577.88158399999,Producción de gas según distintas fuentes
1919.0,,,,109577.88158399999,,,BEP,109577.88158399999,Producción de gas según distintas fuentes
1920.0,,,,133928.521936,,,BEP,133928.521936,Producción de gas según distintas fuentes
1921.0,,,,170454.482464,,,BEP,170454.482464,Producción de gas según distintas fuentes
1922.0,,,,225243.42325599998,,,BEP,225243.42325599998,Producción de gas según distintas fuentes
1923.0,,,,273944.70396,,,BEP,273944.70396,Producción de gas según distintas fuentes
1924.0,,,,456574.50659999996,,,BEP,456574.50659999996,Producción de gas según distintas fuentes
1925.0,,,,584415.3684479999,,,BEP,584415.3684479999,Producción de gas según distintas fuentes
1926.0,,,,1040989.8750479999,,,BEP,1040989.8750479999,Producción de gas según distintas fuentes
1927.0,,,,925324.3333759999,,,BEP,925324.3333759999,Producción de gas según distintas fuentes
1928.0,,,,1053165.195224,,,BEP,1053165.195224,Producción de gas según distintas fuentes
1929.0,,,,1637580.5636719998,,,BEP,1637580.5636719998,Producción de gas según distintas fuentes
1930.0,,,,1643668.22376,,,BEP,1643668.22376,Producción de gas según distintas fuentes
1931.0,,,,2094155.0702719998,,,BEP,2094155.0702719998,Producción de gas según distintas fuentes
1932.0,,,,2885550.881712,,,BEP,2885550.881712,Producción de gas según distintas fuentes
1933.0,,,,3999592.677816,,,BEP,3999592.677816,Producción de gas según distintas fuentes
1934.0,,,,4450079.524328,,,BEP,4450079.524328,Producción de gas según distintas fuentes
1935.0,,,,3756086.2742959997,,,BEP,3756086.2742959997,Producción de gas según distintas fuentes
1936.0,,,,3244722.826904,,,BEP,3244722.826904,Producción de gas según distintas fuentes
1937.0,,,,3074268.3444399997,,,BEP,3074268.3444399997,Producción de gas según distintas fuentes
1938.0,,,,2989041.103208,,,BEP,2989041.103208,Producción de gas según distintas fuentes
1939.0,,,,3153407.9255839996,,,BEP,3153407.9255839996,Producción de gas según distintas fuentes
1940.0,,,,3262985.807168,,,BEP,3262985.807168,Producción de gas según distintas fuentes
1941.0,,,,3609982.4321839996,,,BEP,3609982.4321839996,Producción de gas según distintas fuentes
1942.0,,,,4109170.5593999997,,,BEP,4109170.5593999997,Producción de gas según distintas fuentes
1943.0,,,,4115258.2194879996,,,BEP,4115258.2194879996,Producción de gas según distintas fuentes
1944.0,,,,4030030.9782559997,,,BEP,4030030.9782559997,Producción de gas según distintas fuentes
1945.0,,,,3701297.3335039997,,,BEP,3701297.3335039997,Producción de gas según distintas fuentes
1946.0,,,,3421264.969456,,,BEP,3421264.969456,Producción de gas según distintas fuentes
1947.0,,,,3543018.171216,,,BEP,3543018.171216,Producción de gas según distintas fuentes
1948.0,,,,3683034.3532399996,,,BEP,3683034.3532399996,Producción de gas según distintas fuentes
1949.0,,,,4096995.239224,,,BEP,4096995.239224,Producción de gas según distintas fuentes
1950.0,,,,4590095.706352,4593778.74070524,,BEP,4590095.706352,Producción de gas según distintas fuentes
1951.0,,,,5046670.212952,5053025.730083872,,BEP,5046670.212952,Producción de gas según distintas fuentes
1952.0,,,,5460631.098936,5467516.2424955275,,BEP,5460631.098936,Producción de gas según distintas fuentes
1953.0,,,,5667611.541928,5674265.354404183,,BEP,5667611.541928,Producción de gas según distintas fuentes
1954.0,,,,5971994.546328,5998731.549434496,,BEP,5971994.546328,Producción de gas según distintas fuentes
1955.0,,,,6440744.3731039995,6480983.806285679,,BEP,6440744.3731039995,Producción de gas según distintas fuentes
1956.0,,,,6982546.120936,6988719.008265231,,BEP,6982546.120936,Producción de gas según distintas fuentes
1957.0,,,,8607951.364432,8610550.795289574,,BEP,8607951.364432,Producción de gas según distintas fuentes
1958.0,,,,10062902.125464,10068362.756562935,,BEP,10062902.125464,Producción de gas según distintas fuentes
1959.0,,,,13100644.509375999,13103365.693435334,,BEP,13100644.509375999,Producción de gas según distintas fuentes
1960.0,,,,21757297.154512,21761613.305514388,,BEP,21757297.154512,Producción de gas según distintas fuentes
1961.0,,,,29878235.711903997,29881742.204114683,,BEP,29878235.711903997,Producción de gas según distintas fuentes
1962.0,,,,37579125.723224,37579223.1257854,,BEP,37579125.723224,Producción de gas según distintas fuentes
1963.0,,,,36197226.883248,36200757.72609904,,BEP,36197226.883248,Producción de gas según distintas fuentes
1964.0,,,,39782858.67508,40091795.24922582,,BEP,39782858.67508,Producción de gas según distintas fuentes
1965.0,,,,37962648.308768,37965259.91494575,,BEP,37962648.308768,Producción de gas según distintas fuentes
1966.0,,,,36294629.444656,36300035.28681414,,BEP,36294629.444656,Producción de gas según distintas fuentes
1967.0,,,,39374985.449184,39375770.75733535,,BEP,39374985.449184,Producción de gas según distintas fuentes
1968.0,,,,42942354.260752,43007467.873053245,,BEP,42942354.260752,Producción de gas según distintas fuentes
1969.0,,,,42656234.236616,42658912.80705472,,BEP,42656234.236616,Producción de gas según distintas fuentes
