anio,prod_crudo,unidad,prod_gas,produccion_total_bep
1911.0,79123.16807999999,BEP,,79123.16807999999
1912.0,276931.08827999997,BEP,,276931.08827999997
1913.0,830793.2648399998,BEP,6087.660088,836880.9249279998
1914.0,1740709.69776,BEP,18262.980263999998,1758972.6780239998
1915.0,3244049.8912799996,BEP,42613.620616,3286663.511896
1916.0,5459498.597519999,BEP,54788.940791999994,5514287.538311999
1917.0,7595824.135679998,BEP,91314.90131999999,7687139.036999999
1918.0,8505740.568599999,BEP,109577.88158399999,8615318.450183999
1919.0,8347494.232439999,BEP,109577.88158399999,8457072.114023998
1920.0,10365135.01848,BEP,133928.521936,10499063.540415999
1921.0,12936637.981079997,BEP,170454.482464,13107092.463543998
1922.0,18000520.738199998,BEP,225243.42325599998,18225764.161455996
1923.0,20967639.541199997,BEP,273944.70396,21241584.24516
1924.0,29315133.773639996,BEP,456574.50659999996,29771708.280239996
1925.0,37662628.006079994,BEP,584415.3684479999,38247043.37452799
1926.0,49372856.881919995,BEP,1040989.8750479999,50413846.75696799
1927.0,54278493.30288,BEP,925324.3333759999,55203817.636255994
1928.0,57047804.185679995,BEP,1053165.195224,58100969.380904
1929.0,59065444.97171999,BEP,1637580.5636719998,60703025.53539199
1930.0,56612626.76123999,BEP,1643668.22376,58256294.98499999
1931.0,73624107.89843999,BEP,2094155.0702719998,75718262.96871199
1932.0,82644149.05955999,BEP,2885550.881712,85529699.94127199
1933.0,86125568.45507999,BEP,3999592.677816,90125161.13289599
1934.0,88222332.4092,BEP,4450079.524328,92672411.93352799
1935.0,89923480.52291998,BEP,3756086.2742959997,93679566.79721598
1936.0,97242373.57031998,BEP,3244722.826904,100487096.39722398
1937.0,102860118.50399998,BEP,3074268.3444399997,105934386.84843998
1938.0,107409700.6686,BEP,2989041.103208,110398741.771808
1939.0,117062727.17435999,BEP,3153407.9255839996,120216135.099944
1940.0,129603749.31503998,BEP,3262985.807168,132866735.12220798
1941.0,138465544.14,BEP,3609982.4321839996,142075526.572184
1942.0,149107610.24675998,BEP,4109170.5593999997,153216780.80615997
1943.0,156189133.78991997,BEP,4115258.2194879996,160304392.00940797
1944.0,152391221.72207996,BEP,4030030.9782559997,156421252.70033595
1945.0,143925042.73751998,BEP,3701297.3335039997,147626340.07102397
