anio,unidad_cantidad,prod_crudo,expo_crudo,prod_mdo_interno,precio_interno_crudo,precio_externo_crudo,brent_iea,tcc,tcp,renta_dif_precios_crudo,renta_dif_precios_brent,unidad_precio,unidad_renta
1911.0,barriles,12579.599999999999,0.0,12579.599999999999,,,,,,,,USD,Pesos corrientes
1912.0,barriles,44028.6,0.0,44028.6,,,,,,,,USD,Pesos corrientes
1913.0,barriles,132085.8,0.0,132085.8,,,,,,,,USD,Pesos corrientes
1914.0,barriles,276751.2,0.0,276751.2,,,,,,,,USD,Pesos corrientes
1915.0,barriles,515763.6,0.0,515763.6,,,,,,,,USD,Pesos corrientes
1916.0,barriles,867992.3999999999,0.0,867992.3999999999,,,,,,,,USD,Pesos corrientes
1917.0,barriles,1207641.5999999999,0.0,1207641.5999999999,,,,,,,,USD,Pesos corrientes
1918.0,barriles,1352307.0,0.0,1352307.0,,,,,,,,USD,Pesos corrientes
1919.0,barriles,1327147.7999999998,0.0,1327147.7999999998,,,,,,,,USD,Pesos corrientes
1920.0,barriles,1647927.5999999999,0.0,1647927.5999999999,,,,,,,,USD,Pesos corrientes
1921.0,barriles,2056764.5999999999,0.0,2056764.5999999999,,,,,,,,USD,Pesos corrientes
1922.0,barriles,2861859.0,0.0,2861859.0,,,,,,,,USD,Pesos corrientes
1923.0,barriles,3333594.0,0.0,3333594.0,,,,,,,,USD,Pesos corrientes
1924.0,barriles,4660741.8,0.0,4660741.8,,,,,,,,USD,Pesos corrientes
1925.0,barriles,5987889.6,0.0,5987889.6,,,,,,,,USD,Pesos corrientes
1926.0,barriles,7849670.399999999,0.0,7849670.399999999,,,,,,,,USD,Pesos corrientes
1927.0,barriles,8629605.6,0.0,8629605.6,,,,,,,,USD,Pesos corrientes
1928.0,barriles,9069891.6,0.0,9069891.6,,,,,,,,USD,Pesos corrientes
1929.0,barriles,9390671.399999999,0.0,9390671.399999999,,,,,,,,USD,Pesos corrientes
1930.0,barriles,9000703.799999999,0.0,9000703.799999999,,,,,,,,USD,Pesos corrientes
1931.0,barriles,11705317.799999999,0.0,11705317.799999999,,,,,,,,USD,Pesos corrientes
1932.0,barriles,13139392.2,0.0,13139392.2,,,,,,,,USD,Pesos corrientes
1933.0,barriles,13692894.6,0.0,13692894.6,,,,,,,,USD,Pesos corrientes
1934.0,barriles,14026254.0,0.0,14026254.0,,,,,,,,USD,Pesos corrientes
1935.0,barriles,14296715.399999999,0.0,14296715.399999999,,,,,,,,USD,Pesos corrientes
1936.0,barriles,15460328.399999999,0.0,15460328.399999999,,,,3.01e-13,2.914449757784314e-13,,,USD,Pesos corrientes
1937.0,barriles,16353479.999999998,0.0,16353479.999999998,,,,3.03e-13,2.846514194602302e-13,,,USD,Pesos corrientes
1938.0,barriles,17076807.0,0.0,17076807.0,,,,3.07e-13,2.617783164912612e-13,,,USD,Pesos corrientes
1939.0,barriles,18611518.2,0.0,18611518.2,,,,3.27e-13,2.866002299343679e-13,,,USD,Pesos corrientes
1940.0,barriles,20605384.799999997,0.0,20605384.799999997,,,,3.36e-13,3.2888235637377236e-13,,,USD,Pesos corrientes
