anio,unidad_cantidad,prod_gas,expo_gas,prod_mdo_interno,precio_gas_mdoint,precio_externo_gas,tcc,tcp,precio_interno_gas,renta_dif_precios_gas,renta_abaratamiento_sobrevaluacion_gas,unidad_precio,unidad_renta
1913.0,MMBTU,35300.0,0.0,35300.0,,,,,,,,USD,Pesos corrientes
1914.0,MMBTU,105900.0,0.0,105900.0,,,,,,,,USD,Pesos corrientes
1915.0,MMBTU,247100.0,0.0,247100.0,,,,,,,,USD,Pesos corrientes
1916.0,MMBTU,317700.0,0.0,317700.0,,,,,,,,USD,Pesos corrientes
1917.0,MMBTU,529500.0,0.0,529500.0,,,,,,,,USD,Pesos corrientes
1918.0,MMBTU,635400.0,0.0,635400.0,,,,,,,,USD,Pesos corrientes
1919.0,MMBTU,635400.0,0.0,635400.0,,,,,,,,USD,Pesos corrientes
1920.0,MMBTU,776600.0,0.0,776600.0,,,,,,,,USD,Pesos corrientes
1921.0,MMBTU,988400.0,0.0,988400.0,,,,,,,,USD,Pesos corrientes
1922.0,MMBTU,1306100.0,0.0,1306100.0,,,,,,,,USD,Pesos corrientes
1923.0,MMBTU,1588500.0,0.0,1588500.0,,,,,,,,USD,Pesos corrientes
1924.0,MMBTU,2647500.0,0.0,2647500.0,,,,,,,,USD,Pesos corrientes
1925.0,MMBTU,3388800.0,0.0,3388800.0,,,,,,,,USD,Pesos corrientes
1926.0,MMBTU,6036300.0,0.0,6036300.0,,,,,,,,USD,Pesos corrientes
1927.0,MMBTU,5365600.0,0.0,5365600.0,,,,,,,,USD,Pesos corrientes
1928.0,MMBTU,6106900.0,0.0,6106900.0,,,,,,,,USD,Pesos corrientes
1929.0,MMBTU,9495700.0,0.0,9495700.0,,,,,,,,USD,Pesos corrientes
1930.0,MMBTU,9531000.0,0.0,9531000.0,,,,,,,,USD,Pesos corrientes
1931.0,MMBTU,12143200.0,0.0,12143200.0,,,,,,,,USD,Pesos corrientes
1932.0,MMBTU,16732200.0,0.0,16732200.0,,,,,,,,USD,Pesos corrientes
1933.0,MMBTU,23192100.0,0.0,23192100.0,,,,,,,,USD,Pesos corrientes
1934.0,MMBTU,25804300.0,0.0,25804300.0,,,,,,,,USD,Pesos corrientes
1935.0,MMBTU,21780100.0,0.0,21780100.0,,,,,,,,USD,Pesos corrientes
1936.0,MMBTU,18814900.0,0.0,18814900.0,,,3.01e-13,2.914449757784314e-13,,,,USD,Pesos corrientes
1937.0,MMBTU,17826500.0,0.0,17826500.0,,,3.03e-13,2.846514194602302e-13,,,,USD,Pesos corrientes
1938.0,MMBTU,17332300.0,0.0,17332300.0,,,3.07e-13,2.617783164912612e-13,,,,USD,Pesos corrientes
1939.0,MMBTU,18285400.0,0.0,18285400.0,,,3.27e-13,2.866002299343679e-13,,,,USD,Pesos corrientes
1940.0,MMBTU,18920800.0,0.0,18920800.0,,,3.36e-13,3.2888235637377236e-13,,,,USD,Pesos corrientes
1941.0,MMBTU,20932900.0,0.0,20932900.0,,,3.36e-13,3.5568620719655145e-13,,,,USD,Pesos corrientes
1942.0,MMBTU,23827500.0,0.0,23827500.0,,,3.36e-13,3.527801582312046e-13,,,,USD,Pesos corrientes
1943.0,MMBTU,23862800.0,0.0,23862800.0,,,3.36e-13,3.851705937156042e-13,,,,USD,Pesos corrientes
1944.0,MMBTU,23368600.0,0.0,23368600.0,,,3.36e-13,4.0622022553163494e-13,,,,USD,Pesos corrientes
1945.0,MMBTU,21462400.0,0.0,21462400.0,,,3.36e-13,4.743077825042828e-13,,,,USD,Pesos corrientes
1946.0,MMBTU,19838600.0,0.0,19838600.0,,,3.36e-13,4.3237803446155064e-13,,,,USD,Pesos corrientes
1947.0,MMBTU,20544600.0,0.0,20544600.0,,,3.36e-13,4.152889024769395e-13,,,,USD,Pesos corrientes
1948.0,MMBTU,21356500.0,0.0,21356500.0,,,3.36e-13,4.5301238167760564e-13,,,,USD,Pesos corrientes
1949.0,MMBTU,23756900.0,0.0,23756900.0,,,3.36e-13,6.42068870648753e-13,,,,USD,Pesos corrientes
1950.0,MMBTU,26616200.0,0.0,26616200.0,,,3.91e-13,7.848443430683273e-13,,,,USD,Pesos corrientes
1951.0,MMBTU,29263700.0,0.0,29263700.0,,,5e-13,9.75880097164723e-13,,,,USD,Pesos corrientes
1952.0,MMBTU,31664100.0,0.0,31664100.0,,,5e-13,1.1935807346934453e-12,,,,USD,Pesos corrientes
1953.0,MMBTU,32864300.0,0.0,32864300.0,,,5e-13,1.49176750286427e-12,,,,USD,Pesos corrientes
1954.0,MMBTU,34629300.0,0.0,34629300.0,,,5e-13,1.4684626910563614e-12,,,,USD,Pesos corrientes
1955.0,MMBTU,37347400.0,0.0,37347400.0,,,6.9e-13,1.6682030546352734e-12,,,,USD,Pesos corrientes
1956.0,MMBTU,40489100.0,0.0,40489100.0,,,1.8e-12,1.865707016536708e-12,,,,USD,Pesos corrientes
1957.0,MMBTU,49914200.0,0.0,49914200.0,,,1.8e-12,2.215620682936727e-12,,,,USD,Pesos corrientes
1958.0,MMBTU,58350900.0,0.0,58350900.0,,,1.8e-12,2.7509601125472938e-12,,,,USD,Pesos corrientes
1959.0,MMBTU,75965600.0,0.0,75965600.0,,,8.06e-12,6.661870546578436e-12,,,,USD,Pesos corrientes
1960.0,MMBTU,126162200.0,0.0,126162200.0,,,8.28e-12,7.643394706684082e-12,,,,USD,Pesos corrientes
1961.0,MMBTU,173252400.0,0.0,173252400.0,,,8.29e-12,7.91345035478734e-12,,,,USD,Pesos corrientes
1962.0,MMBTU,217906900.0,0.0,217906900.0,,,1.16e-11,1.1025934906447486e-11,,,,USD,Pesos corrientes
1963.0,MMBTU,209893800.0,0.0,209893800.0,,,1.39e-11,1.3689814027401163e-11,,,,USD,Pesos corrientes
1964.0,MMBTU,230685500.0,0.0,230685500.0,,,1.41e-11,1.5961183187096464e-11,,,,USD,Pesos corrientes
1965.0,MMBTU,220130800.0,0.0,220130800.0,,,1.68e-11,1.9334847321468138e-11,,,,USD,Pesos corrientes
1966.0,MMBTU,210458600.0,0.0,210458600.0,,0.1261790566041728,2.07e-11,2.491185820885275e-11,,,,USD,Pesos corrientes
1967.0,MMBTU,228320400.0,0.0,228320400.0,,0.1254758552860765,3.31e-11,3.281393980941069e-11,,,,USD,Pesos corrientes
1968.0,MMBTU,249006200.0,0.0,249006200.0,,,3.5e-11,3.527585316582835e-11,,,,USD,Pesos corrientes
1969.0,MMBTU,247347100.0,0.0,247347100.0,,,3.5e-11,3.3458068278099456e-11,,,,USD,Pesos corrientes
1970.0,MMBTU,270539200.0,0.0,270539200.0,4.107648725212464e-12,,3.77e-11,3.569785208225281e-11,0.10895619960775765,,-1565441.9140598332,USD,Pesos corrientes
1971.0,MMBTU,286530100.0,0.0,286530100.0,5.343118680248707e-12,,4.59e-11,4.7720273050483874e-11,0.11640781438450343,,1322745.3404534187,USD,Pesos corrientes
1972.0,MMBTU,293554800.0,0.0,293554800.0,5.8660276504133084e-12,0.2554402933013513,8e-11,7.45834959761967e-11,0.07332534563016636,0.0038706968863278053,-1457378.5994531522,USD,Pesos corrientes
1973.0,MMBTU,314664200.0,0.0,314664200.0,7.076814104869961e-12,0.2792446275159122,8.68e-11,1.1375831475781977e-10,0.08153011641555255,0.007768928237502642,7967799.776238531,USD,Pesos corrientes
1974.0,MMBTU,332773100.0,0.0,332773100.0,7.58637731630426e-12,0.4045345474827224,8.68e-11,1.2647585597322773e-10,0.08740066032608595,0.01450141172788627,13294423.403905502,USD,Pesos corrientes
1975.0,MMBTU,362707500.0,0.0,362707500.0,9.534994213356604e-12,0.6529641236750255,2.57e-10,3.74002397389071e-10,0.03710114479905294,0.08511843822002274,6126401.899494639,USD,Pesos corrientes
1976.0,MMBTU,389429600.0,0.0,389429600.0,9.633282055916879e-11,0.9735899367907366,1.83e-09,2.001721362135581e-09,0.05264088555145835,0.7214272729183903,1923647.002747217,USD,Pesos corrientes
1977.0,MMBTU,411703900.0,0.0,411703900.0,1.1403411450540214e-09,1.1209601135851275,4.05e-09,4.817638854131992e-09,0.28156571482815346,1.7538750212591878,21971852.63802036,USD,Pesos corrientes
1978.0,MMBTU,406091200.0,0.0,406091200.0,5.240930316793441e-09,1.417473633627966,7.9e-09,1.2622630391494297e-08,0.6634089008599293,5.1375878727424515,161050374.41697428,USD,Pesos corrientes
1979.0,MMBTU,452369500.0,0.0,452369500.0,1.0822136669311824e-08,1.5914675429105807,1.31e-08,2.4626019715424612e-08,0.8261173030009026,12.833439721173619,328808546.17243856,USD,Pesos corrientes
1980.0,MMBTU,475349800.0,0.0,475349800.0,1.937811247396485e-08,3.01986311610983,1.83e-08,4.162040187202227e-08,1.0589132499434344,50.53434407753142,641443839.6048619,USD,Pesos corrientes
1981.0,MMBTU,481103700.0,0.0,481103700.0,4.517716473111681e-08,3.988870696820312,4.41e-08,8.190042358174585e-08,1.0244255041069572,135.43696271329037,422451791.37114674,USD,Pesos corrientes
1982.0,MMBTU,547961900.0,0.0,547961900.0,1.0173618471200714e-07,4.513028262923004,2.16e-07,2.0667427771827035e-07,0.47100085514818124,455.35122742906276,-11142965.488894047,USD,Pesos corrientes
1983.0,MMBTU,606489300.0,0.0,606489300.0,7.001850420779457e-07,4.704625726650992,1.053e-06,8.931256667281215e-07,0.6649430599030824,2123.7053406845994,-61229114.11721255,USD,Pesos corrientes
1984.0,MMBTU,662369200.0,0.0,662369200.0,5.050027852953153e-06,4.770926064890199,6.77e-06,6.5215349932082375e-06,0.7459420757685602,17263.814260537336,-18133506.742704157,USD,Pesos corrientes
1985.0,MMBTU,674688900.0,0.0,674688900.0,4.384509344124346e-05,4.700009439988131,6e-05,5.369904101939766e-05,0.7307515573540577,140700.23465511884,-51776026.3653427,USD,Pesos corrientes
1986.0,MMBTU,679383800.0,0.0,679383800.0,7.111625094259567e-05,4.2232458834134,9.42e-05,8.955315961391932e-05,0.7549495853778734,208631.12989062912,-25301134.20013882,USD,Pesos corrientes
1987.0,MMBTU,676630400.0,0.0,676630400.0,0.00013274476713427908,3.6980970598806797,0.000214,0.00020847512175890085,0.6203026501601826,431836.66382682975,-10835877.351812411,USD,Pesos corrientes
1988.0,MMBTU,802510200.0,0.0,802510200.0,0.0008887448746814265,2.593218588840547,0.000871,0.0009757902950238913,1.020372990449399,1317475.102655849,98517282.39557466,USD,Pesos corrientes
1989.0,MMBTU,854507100.0,0.0,854507100.0,,2.6269564928632865,0.0394,0.029977468642338887,,,,USD,Pesos corrientes
1990.0,MMBTU,812535400.0,0.0,812535400.0,,2.8153491709423655,0.449,0.7399955380923077,,,,USD,Pesos corrientes
1991.0,MMBTU,869897900.0,0.0,869897900.0,,2.929518857415326,0.95,1.69,,,,USD,Pesos corrientes
1992.0,MMBTU,884017900.0,0.0,884017900.0,,1.9258762727036292,0.99,1.894025275738358,,,,USD,Pesos corrientes
1993.0,MMBTU,902534750.451,0.0,902534750.451,1.0057137586306302,2.6429842748759973,0.99,1.972021623383232,1.015872483465283,3796339485.585545,909471272.7715856,USD,Pesos corrientes
1994.0,MMBTU,938141651.0090399,31853.343299999997,938109797.6657399,1.1097492868988417,,1.0,1.812286513626661,1.1097492868988417,,845644423.1315997,USD,Pesos corrientes
1995.0,MMBTU,1030423781.1893399,19096.1704,1030404685.0189399,1.1784209683566877,,0.99,1.850027967708323,1.1903242104613008,,1065492682.7691362,USD,Pesos corrientes
1996.0,MMBTU,1178069808.47643,30610.9544939511,1178039197.521936,1.2213861593776953,,1.0,1.700047480198135,1.2213861593776953,,1007256856.1852841,USD,Pesos corrientes
1997.0,MMBTU,1308711606.62465,23720720.93327094,1284990885.691379,1.2188698091062005,,1.0,1.685374159314438,1.2188698091062005,,1073458089.9597503,USD,Pesos corrientes
1998.0,MMBTU,1363647081.0983899,70124828.5853785,1293522252.5130115,1.2190291086172733,1.2631053679542918,1.0,1.834025658588197,1.2190291086172733,1419690531.868444,1315126085.7546077,USD,Pesos corrientes
1999.0,MMBTU,1437911082.65532,5910.546574,1437905172.1087458,1.2028564683663836,0.9747129438733286,1.0,1.945408423379476,1.2028564683663836,996983490.0395839,1635172299.0617867,USD,Pesos corrientes
2000.0,MMBTU,1595364783.5022802,11411.282034,1595353372.2202463,1.2689565627950896,1.0932602299788075,1.0,1.969548988287749,1.2689565627950896,1410727939.7857242,1962788064.2024167,USD,Pesos corrientes
2001.0,MMBTU,1698918101.81031,218230025.45962197,1480688076.350688,1.3406515580736544,1.0901093387855751,1.0,2.07506215718321,1.3406515580736544,1364295744.274491,2134091672.226639,USD,Pesos corrientes
2002.0,MMBTU,1642089377.3392498,206445367.650343,1435644009.688907,1.5479225684608122,0.8882986503071644,3.14,3.101870690383393,0.4929689708473924,1733489864.3465867,-8594005.773355013,USD,Pesos corrientes
2003.0,MMBTU,1800558632.4394,228132934.10724398,1572425698.332156,1.5888101983002834,0.6009941875582862,2.93,3.575691739551415,0.5422560403755233,880809591.8425808,187902319.6456332,USD,Pesos corrientes
2004.0,MMBTU,1842819822.63149,259446308.63520998,1583373513.99628,2.2634796978281395,1.7878387463878782,2.93,3.476419712823161,0.7725186682007301,6257172544.687608,228113557.45758292,USD,Pesos corrientes
2005.0,MMBTU,1811916923.59247,233012074.3566,1578904849.23587,3.056397544853636,2.498083295501938,2.928416666666667,3.913969455049009,1.043703097186865,10611857653.70099,554600110.6706581,USD,Pesos corrientes
2006.0,MMBTU,1823770983.1563098,108298011.9745562,1715472971.1817536,3.9669735599622284,3.1708397092063456,3.07775,4.120995359841515,1.288920009735108,15610876376.63879,749485037.9502627,USD,Pesos corrientes
2007.0,MMBTU,1800028282.8425298,43962053.8586,1756066228.9839299,4.676581680830973,1.9447726324060484,3.119166666666667,4.572715840632663,1.4993048402343485,7404121255.792247,1226936204.0049727,USD,Pesos corrientes
2008.0,MMBTU,1775924408.2983696,24637390.943919,1751287017.3544507,5.5510623229461755,1.93790924589934,3.183166666666667,5.592039744778452,1.7438805140414182,9256958523.772055,2311152444.698234,USD,Pesos corrientes
2009.0,MMBTU,1709199505.17905,27435815.52332839,1681763689.6557217,6.7493389990557136,2.160447480611034,3.75,6.96022588383259,1.7998237330815237,13938227859.019836,2591190067.071098,USD,Pesos corrientes
2010.0,MMBTU,1662897706.2267401,0.0,1662897706.2267401,7.920066100094429,3.9157196069555247,3.89,7.66405578636219,2.036006709535843,36733788492.38582,3284758561.01908,USD,Pesos corrientes
2011.0,MMBTU,1607122642.6624498,0.0,1607122642.6624498,8.690627950897072,5.442531815779406,4.11,9.17750726520705,2.1145080172498956,66307063479.86959,4189970006.7716537,USD,Pesos corrientes
2012.0,MMBTU,1557566403.11376,0.0,1557566403.11376,8.614966949952787,7.430440023945892,4.552518519,12.13401732884997,1.8923518738030611,127013498469.77536,4908534133.749072,USD,Pesos corrientes
2013.0,MMBTU,1472302712.4361,0.0,1472302712.4361,10.272521246458926,11.051506101435468,5.49,14.84157193157559,1.871133196076307,226365366418.41397,4692605985.676224,USD,Pesos corrientes
2014.0,MMBTU,1464386088.6069,0.0,1464386088.6069,18.582507082152976,10.385412405337707,8.1236,21.34231847897062,2.2874719437383644,297367423793.8043,5450698914.000031,USD,Pesos corrientes
2015.0,MMBTU,1514565301.1577098,0.0,1514565301.1577098,20.2755193578848,6.379625724026714,9.43,25.48181551080215,2.15010809733667,215505870618.57962,5543202758.891131,USD,Pesos corrientes
2016.0,MMBTU,1588074133.3905299,0.0,1588074133.3905299,49.82511803588291,3.5760457824334844,14.77744618867244,36.58219323265958,3.3717001841682253,128625238295.4673,7900805815.164059,USD,Pesos corrientes
2017.0,MMBTU,1576391746.53404,0.0,1576391746.53404,65.35422568460812,4.962399318953003,16.55671666666666,47.31066691847749,3.9472938385292666,267072598057.13745,11558202519.163774,USD,Pesos corrientes
2018.0,MMBTU,1659859669.6328602,0.0,1659859669.6328602,127.37474032105762,6.235695602411983,28.11243034511785,63.43351939285051,4.530904612563252,445136813390.2188,9449133509.15712,USD,Pesos corrientes
2019.0,MMBTU,1742091543.2695298,0.0,1742091543.2695298,163.81576959395656,6.861993788670935,48.25485833333334,96.3767044113364,3.394803658159254,866726390576.8391,5897756918.199104,USD,Pesos corrientes
2020.0,MMBTU,1592065977.60468,0.0,1592065977.60468,168.02367799811142,2.397897880116509,70.63476524170274,155.1537195126539,2.378767416061437,324811863295.9852,4531569566.671984,USD,Pesos corrientes
2021.0,MMBTU,1599307421.9521298,0.0,1599307421.9521298,211.82124645892353,3.1259671847590584,95.09325,183.2544403613368,2.227510853387843,577391754149.3861,3302779165.9356294,USD,Pesos corrientes
2022.0,MMBTU,1711679693.09482,0.0,1711679693.09482,453.9387677640109,3.658790061111034,130.811639,321.6995633231077,3.4701710890115125,1237702572495.1045,8667731584.352488,USD,Pesos corrientes
2023.0,MMBTU,1698826591.1069498,0.0,1698826591.1069498,1060.2802318838267,3.827195112162613,295.294897119341,694.730244073937,3.5905809488313754,2715723738931.1934,8250957009.211435,USD,Pesos corrientes
2024.0,MMBTU,1791044211.04557,0.0,1791044211.04557,3027.562684368754,3.268511303017215,959.272352941177,2393.116154794713,3.1561033475905935,8586918813834.593,8449235938.385072,USD,Pesos corrientes
2025.0,MMBTU,1821226443.69354,0.0,1821226443.69354,4131.202928466596,3.732945516537574,1122.168145,2613.39,3.681447336456513,10243378048517.434,8909777597.821878,USD,Pesos corrientes
