anio,unidad_cantidad,expo_crudo,unidad_precio,precio_externo_crudo,tcc,tcp,unidad_renta,renta_sobrevaluacion_crudo,renta_sobrevaluacion_crudo_valor,dif
1911.0,barriles,0.0,USD,,,,Pesos corrientes,,,
1912.0,barriles,0.0,USD,,,,Pesos corrientes,,,
1913.0,barriles,0.0,USD,,,,Pesos corrientes,,,
1914.0,barriles,0.0,USD,,,,Pesos corrientes,,,
1915.0,barriles,0.0,USD,,,,Pesos corrientes,,,
1916.0,barriles,0.0,USD,,,,Pesos corrientes,,,
1917.0,barriles,0.0,USD,,,,Pesos corrientes,,,
1918.0,barriles,0.0,USD,,,,Pesos corrientes,,,
1919.0,barriles,0.0,USD,,,,Pesos corrientes,,,
1920.0,barriles,0.0,USD,,,,Pesos corrientes,,,
1921.0,barriles,0.0,USD,,,,Pesos corrientes,,,
1922.0,barriles,0.0,USD,,,,Pesos corrientes,,,
1923.0,barriles,0.0,USD,,,,Pesos corrientes,,,
1924.0,barriles,0.0,USD,,,,Pesos corrientes,,,
1925.0,barriles,0.0,USD,,,,Pesos corrientes,,,
1926.0,barriles,0.0,USD,,,,Pesos corrientes,,,
1927.0,barriles,0.0,USD,,,,Pesos corrientes,,,
1928.0,barriles,0.0,USD,,,,Pesos corrientes,,,
1929.0,barriles,0.0,USD,,,,Pesos corrientes,,,
1930.0,barriles,0.0,USD,,,,Pesos corrientes,,,
1931.0,barriles,0.0,USD,,,,Pesos corrientes,,,
1932.0,barriles,0.0,USD,,,,Pesos corrientes,,,
1933.0,barriles,0.0,USD,,,,Pesos corrientes,,,
1934.0,barriles,0.0,USD,,,,Pesos corrientes,,,
1935.0,barriles,0.0,USD,,,,Pesos corrientes,,,
1936.0,barriles,0.0,USD,,3.01e-13,2.914449757784314e-13,Pesos corrientes,,,
1937.0,barriles,0.0,USD,,3.03e-13,2.846514194602302e-13,Pesos corrientes,,,
1938.0,barriles,0.0,USD,,3.07e-13,2.617783164912612e-13,Pesos corrientes,,,
1939.0,barriles,0.0,USD,,3.27e-13,2.866002299343679e-13,Pesos corrientes,,,
1940.0,barriles,0.0,USD,,3.36e-13,3.2888235637377236e-13,Pesos corrientes,,,
1941.0,barriles,0.0,USD,,3.36e-13,3.5568620719655145e-13,Pesos corrientes,,,
1942.0,barriles,0.0,USD,,3.36e-13,3.527801582312046e-13,Pesos corrientes,,,
1943.0,barriles,0.0,USD,,3.36e-13,3.851705937156042e-13,Pesos corrientes,,,
1944.0,barriles,0.0,USD,,3.36e-13,4.0622022553163494e-13,Pesos corrientes,,,
