anio,renta_diferencial_precios_crudo,renta_diferencial_precios_gas,retenciones,regalias_total,renta_expo_sobrevaluada_crudo,renta_expo_sobrevaluada_gas,subsidios,renta_empresas,tcc,tcp,unidad_pbi_gcia,pbi,ganancia,ipc_18,renta_total,proporcion_subsidios,renta_pv,renta_pbi,unidad,renta_usd_tcc,renta_usd_tcp
1961.0,,,,,,,,,8.29e-12,7.91345035478734e-12,Millones de pesos corrientes,8.301955056896762e-08,4.384016200941099e-08,,0,,,,Millones de pesos 2018,,
1962.0,,,,,-54.99641340446073,,,,1.16e-11,1.1025934906447486e-11,Millones de pesos corrientes,1.06143539569959e-07,6.301956002413408e-08,3.863184992478536e-14,-54.99641340446073,,-3.3713551605706784e-05,-2.0016415484639575e-05,Millones de pesos 2018,-0.18315630940022246,-0.19269233920474169
1963.0,-8695.778062100926,,,,-6.044308378653825,,,,1.39e-11,1.3689814027401163e-11,Millones de pesos corrientes,1.3043755017221948e-07,8.640456254412041e-08,4.8666489236537415e-14,-8701.82237047958,,-0.004901212763098725,-0.0032466658885579027,Millones de pesos 2018,-30.46670105979892,-30.93447024799347
1964.0,12058.123589117233,,,,6.293286411774762,,,,1.41e-11,1.5961183187096464e-11,Millones de pesos corrientes,1.782710011923187e-07,1.1924268032961216e-07,5.944336134775048e-14,12064.416875529008,,0.006014201373196373,0.004022805094409656,Millones de pesos 2018,50.86166608382763,44.9308477558065
1965.0,21542.95141278217,,,,0.0,,,,1.68e-11,1.9334847321468138e-11,Millones de pesos corrientes,2.538611681747706e-07,1.5631579392597327e-07,7.644135598812581e-14,21542.95141278217,,0.010534907424385054,0.006486901599876276,Millones de pesos 2018,98.02216773686786,85.17121395372554
1966.0,67822.62717500818,,,,4.47300934250586,0.0,,,2.07e-11,2.491185820885275e-11,Millones de pesos corrientes,3.417884021166453e-07,1.8725427020437223e-07,1.0079813454820178e-13,67827.10018435068,,0.036511024090049866,0.02000315144708529,Millones de pesos 2018,330.28237538147545,274.4413970679626
1967.0,-17865.532307844445,,,,-0.22682183123530095,0.0,,,3.31e-11,3.281393980941069e-11,Millones de pesos corrientes,4.5994105982050483e-07,2.566260303564471e-07,1.3025205846797314e-13,-17865.75912967568,,-0.00906787163991519,-0.005059456756570917,Millones de pesos 2018,-70.30368286203147,-70.91656522347456
1968.0,-43404.196944409356,,,,2.8003990805103127,,,,3.5e-11,3.527585316582835e-11,Millones de pesos corrientes,5.656293670021422e-07,3.1855927422946697e-07,1.5138801888129654e-13,-43401.39654532885,,-0.02062552237906596,-0.011616178054018891,Millones de pesos 2018,-187.72718399082518,-186.25917873032947
1969.0,-16086.603175770239,,,,-8.474639444620824,,,,3.5e-11,3.3458068278099456e-11,Millones de pesos corrientes,6.700237036799608e-07,4.1107353940893106e-07,1.628603899071168e-13,-16095.07781521486,,-0.0063765978523947,-0.003912175993438178,Millones de pesos 2018,-74.89287567346508,-78.34435110789292
1970.0,17703.70663472484,,,,0.0,,,,3.77e-11,3.569785208225281e-11,Millones de pesos corrientes,8.135881586926926e-07,4.6138809894228023e-07,1.8497467484586207e-13,17703.70663472484,,0.007097576608135332,0.004025055359196406,Millones de pesos 2018,86.86306043301745,91.73485762614817
1971.0,45342.16503072482,,,,0.0,,,,4.59e-11,4.7720273050483874e-11,Millones de pesos corrientes,1.1373884217777473e-06,6.515827296509775e-07,2.4920328507948234e-13,45342.16503072482,,0.01734149166956163,0.009934527433127527,Millones de pesos 2018,246.17465094275934,236.78440536831923
1972.0,54410.55651975347,9802.341161358623,,,0.0,0.0,,,8e-11,7.45834959761967e-11,Millones de pesos corrientes,1.839937063360858e-06,1.1631139313779334e-06,3.9487473682167976e-13,64212.89768111209,,0.021800143896778403,0.013780933911984372,Millones de pesos 2018,316.9506384048324,339.96865848818567
1973.0,60110.655498667154,12273.239365640833,,,0.0,0.0,,,8.68e-11,1.1375831475781977e-10,Millones de pesos corrientes,3.0597432621580336e-06,1.943901501706483e-06,6.329973698102805e-13,72383.894864308,,0.02357054358233074,0.01497472537398934,Millones de pesos 2018,527.8665330153322,402.7733283784536
