anio,unidad,KTA,gcia_ant,renta_ant_corr,renta_desp_corr
1997,MM_pesos,2369.0,22.0,0.0,0.0
1997,MM_usd,24049.0,7133.0,0.0,0.0
1998,MM_pesos,9525.79285714286,796.0,0.0,0.0
1998,MM_usd,25184.0,1645.0,0.0,0.0
1999,MM_pesos,9275.941882779392,817.309,0.0,0.0
1999,MM_usd,29397.65529841657,4594.0,0.0,0.0
2000,MM_pesos,17842.586700945445,3034.739,0.0,0.0
2000,MM_usd,69496.7581976355,21852.0,0.0,0.0
2001,MM_pesos,19940.547254781268,2134.033,0.0,0.0
2001,MM_usd,67846.022487702,13083.0,0.0,0.0
2002,MM_pesos,30792.215292699355,3074.631,8001.385446831891,7691.926599758889
2002,MM_usd,62889.039283851904,7388.0,17450.2462854163,13902.13667825482
2003,MM_pesos,35787.83560104944,9438.097,7648.705219947531,4484.859575958022
2003,MM_usd,72594.9269941415,21449.0,17819.25365029293,10588.20292023434
2004,MM_pesos,36730.16045505766,9553.646,7717.137977247118,4781.633581797692
2004,MM_usd,78695.5406269092,29486.0,25551.22296865454,16590.17837492363
2005,MM_pesos,40397.47213554694,11796.054,8564.256229156254,4948.948671867185
2005,MM_usd,103249.30652407129,39789.0,31529.055478074297,18055.04160855572
2006,MM_pesos,40697.975235130085,11987.243,9138.38473354089,5700.835238243488
2006,MM_usd,119349.42111288081,51137.0,42782.5405220983,24640.528944356
2007,MM_pesos,45688.28467347165,10675.551,6106.722532652822,3332.467072856978
2007,MM_usd,147664.7649882504,51466.0,36699.523501175,21762.46645082247
2008,MM_pesos,49900.1264021613,9074.0,5081.989887827092,2970.993679891932
2008,MM_usd,162107.6258148631,69949.0,56980.389934811,33558.6187092568
2009,MM_pesos,51253.8115145577,10930.0,7854.7713091265405,5745.847539417684
2009,MM_usd,184888.0,40589.0,29495.72,19990.48
2010,MM_pesos,65088.5721926027,13073.0,7865.914224591785,6387.571390369864
2010,MM_usd,265605.738563386,57886.0,36637.5409149291,25330.7130718307
2011,MM_pesos,82964.7378061986,13288.0,6650.820975504116,5176.115731628079
2011,MM_usd,236836.69988453202,74358.0,55411.064009237394,32789.7980069281
2012,MM_pesos,115403.48855426263,12494.0,4415.755801201618,1568.8255722868691
2012,MM_usd,278751.503747652,60825.0,41312.39473766437,23329.424812617402
2013,MM_pesos,192543.57649519402,21367.0,5963.513880384455,1918.821175240281
2013,MM_usd,327386.896659708,49315.0,23124.048267223377,16059.65516701461
2014,MM_pesos,254128.917096933,31499.0,13709.97580321472,7368.843316122709
2014,MM_usd,360280.064141326,22378.0,-2841.6044898928994,-2604.2025656531005
2015,MM_pesos,385677.33409541857,39127.987,0.0,0.0
2015,MM_usd,314549.064518041,-4906.0,0.0,0.0
2016,MM_pesos,670826.7006530771,-16313.213,0.0,0.0
2016,MM_usd,327525.867206814,-5825.0,0.0,0.0
2017,MM_pesos,345609.0977950941,13941.908,0.0,0.0
2017,MM_usd,320526.589106689,11218.0,0.0,0.0
2018,MM_pesos,701233.696543161,116260.711,0.0,0.0
2018,MM_usd,307145.0,15891.0,0.0,0.0
