anio,unidad,ppye,stock_seleccionado,tg_hidrocarburos,tg_indu_jic,tg_indu_em,union_tg,renta_con_tg_jic,renta_con_tg_em,renta_con_tg_union
1998,Millones de pesos corrientes,8933.000000000015,Bolsar,0.14739313549063898,0.139869521,0.135698927,0.135698927,67.20844824487817,104.46436444687822,104.46436444687822
1998,Millones de pesos corrientes,8933.000000000015,Bolsar,0.14728829678834504,0.139869521,0.135698927,0.135698927,66.27192411728639,103.52784031928645,103.52784031928645
1999,Millones de pesos corrientes,8772.394999999997,Bolsar,0.14382407535192965,0.11226559,0.107747531,0.107747531,276.8434991088408,316.47769729014584,316.47769729014584
1999,Millones de pesos corrientes,8772.394999999997,Bolsar,0.1437036778399088,0.11226559,0.107747531,0.107747531,275.78732457637676,315.42152275768177,315.42152275768177
2000,Millones de pesos corrientes,17002.87999999998,Bolsar,0.05697799850614603,0.12195937,0.117066142,0.117066142,-1104.8704617454184,-1021.6714932487785,-1021.6714932487785
2000,Millones de pesos corrientes,17002.87999999998,Bolsar,0.056917983095968606,0.12195937,0.117066142,0.117066142,-1105.890896562816,-1022.691928066176,-1022.691928066176
2001,Millones de pesos corrientes,18999.267999999985,Bolsar,0.04945790726780458,0.103490887,0.114123054,0.114123054,-1026.5870627705483,-1228.5904530243042,-1228.5904530243042
2001,Millones de pesos corrientes,18999.267999999985,Bolsar,0.04940745633487235,0.103490887,0.114123054,0.114123054,-1027.5455935661778,-1229.5489838199337,-1229.5489838199337
2002,Millones de pesos corrientes,30449.907000000017,Bolsar,0.31691532113145876,0.179913873,0.188701126,0.188701126,4171.681354468245,3904.1103178327744,3904.1103178327744
2002,Millones de pesos corrientes,30449.907000000017,Bolsar,0.31689388415618797,0.179913873,0.188701126,0.188701126,4171.028600564889,3903.4575639294176,3903.4575639294176
2003,Millones de pesos corrientes,28767.029000000028,Bolsar,0.36044773120471885,0.182710735,0.195745529,0.195745529,5112.965324194041,4737.993027187015,4737.993027187015
2003,Millones de pesos corrientes,28767.029000000028,Bolsar,0.36041525306972755,0.182710735,0.195745529,0.195745529,5112.031024742881,4737.0587277358545,4737.0587277358545
2004,Millones de pesos corrientes,30309.24699999997,Bolsar,0.4543627519996144,0.17223711,0.185661556,0.185661556,8551.015768399879,8144.130918747716,8144.130918747716
2005,Millones de pesos corrientes,35366.08800000003,Bolsar,0.4458877088818604,,0.181745386,0.181745386,,9341.680635564297,9341.680635564297
2006,Millones de pesos corrientes,39228.19000000001,Bolsar,0.5682810360484948,,0.179536264,0.179536264,,15249.753779425046,15249.753779425046
2007,Millones de pesos corrientes,40970.10300000001,Bolsar,0.4858842848064235,,0.177969154,0.177969154,,12615.314624397648,12615.314624397648
2008,Millones de pesos corrientes,45939.999999999985,Bolsar,0.4642366206688196,,0.177329043,0.177329043,,13180.534118105566,13180.534118105566
2009,Millones de pesos corrientes,49352.00000000002,Bolsar,0.5114090803739868,,0.168781923,0.168781923,,16909.335470721006,16909.335470721006
2010,Millones de pesos corrientes,64183.999999999956,Bolsar,0.45721136517810884,,0.168907292,0.168907292,,18504.508632863726,18504.508632863726
2011,Millones de pesos corrientes,82649.00000000004,Bolsar,0.36188275679508075,,0.165799322,0.165799322,,16206.099802378638,16206.099802378638
2012,Millones de pesos corrientes,119863.00000000007,Bolsar,0.26745852009154253,,0.156365551,0.156365551,,13315.936554219572,13315.936554219572
2013,Millones de pesos corrientes,197011.00000000012,Bolsar,0.15462715648282316,,0.153400732,0.153400732,,241.61911378547103,241.61911378547103
2014,Millones de pesos corrientes,280664.99999999977,Bolsar,0.2522005535603562,,0.158603639,0.158603639,,26269.378025082355,26269.378025082355
2015,Millones de pesos corrientes,418788.592,Bolsar,0.1465616125026329,,0.152714321,0.152714321,,-2576.684128598803,-2576.684128598803
2016,Millones de pesos corrientes,687565.288999998,Bolsar,0.11061508803863532,,0.157300074,0.157300074,,-32098.975864486565,-32098.975864486565
2017,Millones de pesos corrientes,266901.1379999997,Bolsar,0.5829268947215931,,0.157291505,0.157291505,,113602.56988976657,113602.56988976657
2018,Millones de pesos corrientes,542750.893,Bolsar,0.5436304903919398,,0.157437741,0.157437741,,209606.45960260055,209606.45960260055
