anio,unidad,pv,ppye,stock_seleccionado,tasa_ganancia
1998,Millones de pesos corrientes,1316.6628793378802,8933.000000000015,Bolsar,0.14739313549063898
1998,Millones de pesos corrientes,1315.7263552102884,8933.000000000015,Bolsar,0.14728829678834504
1999,Millones de pesos corrientes,1261.6815994968904,8772.394999999997,Bolsar,0.14382407535192965
1999,Millones de pesos corrientes,1260.6254249644264,8772.394999999997,Bolsar,0.1437036778399088
2000,Millones de pesos corrientes,968.790071240179,17002.87999999998,Bolsar,0.05697799850614603
2000,Millones de pesos corrientes,967.7696364227816,17002.87999999998,Bolsar,0.056917983095968606
2001,Millones de pesos corrientes,939.6640349001663,18999.267999999985,Bolsar,0.04945790726780458
2001,Millones de pesos corrientes,938.7055041045368,18999.267999999985,Bolsar,0.04940745633487235
2002,Millones de pesos corrientes,9650.04205532806,30449.907000000017,Bolsar,0.31691532113145876
2002,Millones de pesos corrientes,9649.389301424702,30449.907000000017,Bolsar,0.31689388415618797
2003,Millones de pesos corrientes,10369.010336550362,28767.029000000028,Bolsar,0.36044773120471885
2003,Millones de pesos corrientes,10368.076037099201,28767.029000000028,Bolsar,0.36041525306972755
2004,Millones de pesos corrientes,13771.392877956043,30309.24699999997,Bolsar,0.4543627519996144
2005,Millones de pesos corrientes,15769.303950434272,35366.08800000003,Bolsar,0.4458877088818604
2006,Millones de pesos corrientes,22292.636455507207,39228.19000000001,Bolsar,0.5682810360484948
2007,Millones de pesos corrientes,19906.72919460051,40970.10300000001,Bolsar,0.4858842848064235
2008,Millones de pesos corrientes,21327.030353525566,45939.999999999985,Bolsar,0.4642366206688196
2009,Millones de pesos corrientes,25239.06093461701,49352.00000000002,Bolsar,0.5114090803739868
2010,Millones de pesos corrientes,29345.654262591717,64183.999999999956,Bolsar,0.45721136517810884
2011,Millones de pesos corrientes,29909.247966356645,82649.00000000004,Bolsar,0.36188275679508075
2012,Millones de pesos corrientes,32058.38059373258,119863.00000000007,Bolsar,0.26745852009154253
2013,Millones de pesos corrientes,30463.25072583749,197011.00000000012,Bolsar,0.15462715648282316
2014,Millones de pesos corrientes,70783.86836501732,280664.99999999977,Bolsar,0.2522005535603562
2015,Millones de pesos corrientes,61378.33134122722,418788.592,Bolsar,0.1465616125026329
2016,Millones de pesos corrientes,76055.09497504451,687565.288999998,Bolsar,0.11061508803863532
2017,Millones de pesos corrientes,155583.8515719992,266901.1379999997,Bolsar,0.5829268947215931
2018,Millones de pesos corrientes,295055.93412225327,542750.893,Bolsar,0.5436304903919398
