anio,unidad,fuente,vbp_tot,vbp_extr,ci_tot,ci_extr,va_tot,va_extr,ebe_tot,ebe_extr,ms_tot,ms_extr
2004,Millones de pesos corrientes,CCNN oficial,34700.885068475254,31328.254003085796,13346.362397624765,12049.209418864943,21354.52267085049,19279.044584220854,19635.78730147985,18526.60973943348,1718.7353693706398,752.4348447873757
2005,Millones de pesos corrientes,CCNN oficial,39435.60373276943,35602.798259102856,14765.022659584112,13329.987962208867,24670.581073185316,22272.81029689399,22256.351129307997,21292.185844175987,2414.22994387732,980.624452718001
2006,Millones de pesos corrientes,CCNN oficial,53832.1034535009,48600.08057960958,20655.76321874334,18648.19861128753,33176.34023475756,29951.88196832205,29879.262245591854,28664.49524389188,3297.0779891657075,1287.38672443017
2007,Millones de pesos corrientes,CCNN oficial,56155.49769032822,50697.66064585284,24770.863791739434,22363.346387624355,31384.63389858879,28334.314258228485,26757.552852281446,26559.895410183446,4627.081046307343,1774.418848045038
2008,Millones de pesos corrientes,CCNN oficial,64210.197612939206,57969.51220226849,29549.65160836547,26677.676648961704,34660.546004573735,31291.835553306784,27653.55059074604,28817.54305277691,7006.9954138276935,2474.292500529876
2009,Millones de pesos corrientes,CCNN oficial,69059.79827423714,62347.772901696524,28873.782477373235,26067.49625250244,40186.0157968639,36280.276649194086,31810.53230438016,33287.86529113799,8375.483492483741,2992.411358056097
2010,Millones de pesos corrientes,CCNN oficial,82616.23213857913,74586.63662635602,34583.544185478815,31222.31765649969,48032.687953100314,43364.31896985633,37097.71387509091,39638.00390846741,10934.974078009405,3726.315061388917
2011,Millones de pesos corrientes,CCNN oficial,98731.95194679829,89136.04545550191,45478.13318051624,41058.04520702906,53253.81876628205,48078.00024847285,37727.07758584678,42976.13482330611,15526.741180435263,5101.865425166738
2012,Millones de pesos corrientes,CCNN oficial,119348.92053009581,107749.21994014813,56426.681208793874,50942.48743142842,62922.23932130194,56806.73250871972,43630.78151939508,50427.97084665936,19291.45780190686,6378.761662060359
2013,Millones de pesos corrientes,CCNN oficial,148325.90336800748,133909.8863553648,73294.07471109502,66170.51366094234,75031.82865691246,67739.37269442248,49821.38697499996,59490.448098009976,25210.4416819125,8248.9245964125
2014,Millones de pesos corrientes,CCNN oficial,229226.20775410262,206947.3688211084,91656.16540909471,82747.96522390646,137570.0423450079,124199.40359720193,100602.67786942233,112573.09402779044,36967.364475585586,11626.309569411484
2015,Millones de pesos corrientes,CCNN oficial,251831.60252344699,227355.71136846938,99709.05546601515,90018.18281819252,152122.54705743183,137337.52855027685,102174.27746677812,121535.32302716207,49948.26959065372,15802.205523114788
2016,Millones de pesos corrientes,CCNN oficial,354686.9063898084,320214.35398612666,141003.9136602297,127299.53180905871,213682.9927295787,192914.82217706795,156797.53637496458,173388.57951971667,56885.45635461411,19526.242657351293
2017,Millones de pesos corrientes,CCNN oficial,407149.29989827564,367577.8487845986,158420.93634394207,143023.76793548962,248728.36355433357,224554.08084910896,182416.04432386966,199933.01600480734,66312.31923046391,24621.064844301618
2018,Millones de pesos corrientes,CCNN oficial,770622.4057795978,695724.4583558138,305329.3664788264,275653.9474072338,465293.03930077143,420070.51094857993,374412.4365843355,383844.3305616993,90880.60271643594,36226.18038688063
2019,Millones de pesos corrientes,CCNN oficial,1138662.6861432607,1027994.351871425,453402.81251349323,409335.9131361296,685259.8736297674,618658.4387352954,538293.530448216,559000.4625004552,146966.34318155138,59657.97623484026
2020,Millones de pesos corrientes,CCNN oficial,1056867.820068603,954149.2515093248,425157.1127607017,383835.4553061866,631710.7073079012,570313.7962031382,465880.4215222176,491309.27920385695,165830.2857856836,79004.51699928124
