anio,unidad_cant_crudo,prod_crudo,expo_crudo,precio_crudo_mdoint,precio_me_crudo,unidad_cant_gas,prod_gas,expo_gas,precio_externo_gas,precio_exportacion_gas_ar,precio_gas_mdoint,tcc,tcp,coef_ci,crudo_mdo_interno,gas_mdo_interno,unidad,vbp_tot,vbp_extr,ci_tot,ci_extr,va_tot,va_extr,ms_extr,ms_tot,ebe_tot,ebe_extr,fuente
1922.0,barriles,2861859.0,0.0,,,MMBTU,1306100.0,0.0,,,,,,,2861859.0,1306100.0,Millones de pesos corrientes,,,,,,,,,,,Criterio CCNN
1923.0,barriles,3333594.0,0.0,,,MMBTU,1588500.0,0.0,,,,,,,3333594.0,1588500.0,Millones de pesos corrientes,,,,,,,,,,,Criterio CCNN
1924.0,barriles,4660741.8,0.0,,,MMBTU,2647500.0,0.0,,,,,,,4660741.8,2647500.0,Millones de pesos corrientes,,,,,,,,,,,Criterio CCNN
1925.0,barriles,5987889.6,0.0,,,MMBTU,3388800.0,0.0,,,,,,,5987889.6,3388800.0,Millones de pesos corrientes,,,,,,,,,,,Criterio CCNN
1926.0,barriles,7849670.399999999,0.0,,,MMBTU,6036300.0,0.0,,,,,,,7849670.399999999,6036300.0,Millones de pesos corrientes,,,,,,,,,,,Criterio CCNN
1927.0,barriles,8629605.6,0.0,,,MMBTU,5365600.0,0.0,,,,,,,8629605.6,5365600.0,Millones de pesos corrientes,,,,,,,,,,,Criterio CCNN
1928.0,barriles,9069891.6,0.0,,,MMBTU,6106900.0,0.0,,,,,,,9069891.6,6106900.0,Millones de pesos corrientes,,,,,,,,,,,Criterio CCNN
1929.0,barriles,9390671.399999999,0.0,,,MMBTU,9495700.0,0.0,,,,,,,9390671.399999999,9495700.0,Millones de pesos corrientes,,,,,,,,,,,Criterio CCNN
1930.0,barriles,9000703.799999999,0.0,,,MMBTU,9531000.0,0.0,,,,,,,9000703.799999999,9531000.0,Millones de pesos corrientes,,,,,,,,,,,Criterio CCNN
1931.0,barriles,11705317.799999999,0.0,,,MMBTU,12143200.0,0.0,,,,,,,11705317.799999999,12143200.0,Millones de pesos corrientes,,,,,,,,,,,Criterio CCNN
1932.0,barriles,13139392.2,0.0,,,MMBTU,16732200.0,0.0,,,,,,,13139392.2,16732200.0,Millones de pesos corrientes,,,,,,,,,,,Criterio CCNN
1933.0,barriles,13692894.6,0.0,,,MMBTU,23192100.0,0.0,,,,,,,13692894.6,23192100.0,Millones de pesos corrientes,,,,,,,,,,,Criterio CCNN
1934.0,barriles,14026254.0,0.0,,,MMBTU,25804300.0,0.0,,,,,,,14026254.0,25804300.0,Millones de pesos corrientes,,,,,,,,,,,Criterio CCNN
1935.0,barriles,14296715.399999999,0.0,,,MMBTU,21780100.0,0.0,,,,,,,14296715.399999999,21780100.0,Millones de pesos corrientes,,,,,,,,,,,Criterio CCNN
1936.0,barriles,15460328.399999999,0.0,,,MMBTU,18814900.0,0.0,,,,3.01e-13,2.914449757784314e-13,,15460328.399999999,18814900.0,Millones de pesos corrientes,,,,,,,,,,,Criterio CCNN
1937.0,barriles,16353479.999999998,0.0,,,MMBTU,17826500.0,0.0,,,,3.03e-13,2.846514194602302e-13,,16353479.999999998,17826500.0,Millones de pesos corrientes,,,,,,,,,,,Criterio CCNN
1938.0,barriles,17076807.0,0.0,,,MMBTU,17332300.0,0.0,,,,3.07e-13,2.617783164912612e-13,,17076807.0,17332300.0,Millones de pesos corrientes,,,,,,,,,,,Criterio CCNN
1939.0,barriles,18611518.2,0.0,,,MMBTU,18285400.0,0.0,,,,3.27e-13,2.866002299343679e-13,,18611518.2,18285400.0,Millones de pesos corrientes,,,,,,,,,,,Criterio CCNN
1940.0,barriles,20605384.799999997,0.0,,,MMBTU,18920800.0,0.0,,,,3.36e-13,3.2888235637377236e-13,,20605384.799999997,18920800.0,Millones de pesos corrientes,,,,,,,,,,,Criterio CCNN
1941.0,barriles,22014300.0,0.0,,,MMBTU,20932900.0,0.0,,,,3.36e-13,3.5568620719655145e-13,,22014300.0,20932900.0,Millones de pesos corrientes,,,,,,,,,,,Criterio CCNN
