anio,unidad,fuente,vbp_tot,vbp_extr,ci_tot,ci_extr,va_tot,va_extr,ebe_tot,ebe_extr,ms_tot,ms_extr,coef_ci,vbp_criterio_ccnn_04,consumo_k_fijo,pv
1960,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,,,
1961,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,,,
1962,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,,,
1963,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,,,
1964,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,,,
1965,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,,,
1966,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,,,
1967,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,,,
1968,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,,,
1969,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,,,
1970,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,,,
1971,Millones de pesos corrientes,Empalme CCNN,2.166807241520855e-08,1.9562119958652032e-08,,,,,,,2.219154129696764e-09,8.77782268712816e-10,,6.244242004908792e-13,,
1972,Millones de pesos corrientes,Empalme CCNN,2.942881464931374e-08,2.656858401519565e-08,,,,,,,3.0139771692505053e-09,1.1921730365951864e-09,,8.480710100402875e-13,,
1973,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,,,
1974,Millones de pesos corrientes,Empalme CCNN,1.281535535341372e-07,1.1569811745703446e-07,,,,,,,1.3124955561851657e-08,5.191551643783888e-09,,3.693091783718248e-12,,
1975,Millones de pesos corrientes,Empalme CCNN,2.2494147617759333e-07,2.0307907673290825e-07,,,,,,,2.3037573266056858e-08,9.11246905138596e-09,,6.482297951009501e-12,,
1976,Millones de pesos corrientes,Empalme CCNN,1.6904387420892011e-06,1.5261424653672187e-06,,,,,,,1.7312772652880891e-07,6.848034867695988e-08,,4.8714571364778114e-11,,
1977,Millones de pesos corrientes,Empalme CCNN,4.5451174167906785e-06,4.1033706381289175e-06,,,,,,,4.6549207941303835e-07,1.841245220722259e-07,,1.3097987004717022e-10,,
1978,Millones de pesos corrientes,Empalme CCNN,1.627301153195153e-05,1.4691413134337167e-05,,,,,,,1.666614364754777e-06,6.592261973095658e-07,,4.689509071552497e-10,,
1979,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,,,
1980,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,,,
1981,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,,,
1982,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,,,
1983,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,,,
1984,Millones de pesos corrientes,Empalme CCNN,0.020155830378025128,0.01819685499317524,,,,,,,0.002064276570788424,0.0008165207397311215,,5.808448498720315e-07,,
1985,Millones de pesos corrientes,Empalme CCNN,0.18691340541066007,0.16874701119962546,,,,,,,0.019142895942216628,0.007571936714548238,,5.3864160825242316e-06,,
1986,Millones de pesos corrientes,Empalme CCNN,0.30408419825575456,0.2745297989513086,,,,,,,0.031143042694519833,0.012318572335825607,,8.763009867203826e-06,,
1987,Millones de pesos corrientes,Empalme CCNN,0.5632344223551836,0.5084928240880693,,,,,,,0.05768413407551588,0.02281685142999034,,1.6231125553246067e-05,,
1988,Millones de pesos corrientes,Empalme CCNN,3.364575798137799,3.0375676300099514,,,,,,,0.34458590196858635,0.13630030954081088,,9.695936548876151e-05,,
1989,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,,,
1990,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,,,
1991,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,,,
1992,Millones de pesos corrientes,Empalme CCNN,,,,,,,,,,,,,,
1993,Millones de pesos corrientes,Empalme CCNN,5445.219751562029,4915.990676979312,3378.822777867415,3050.429924411534,2066.396973694614,1865.5607525677783,1508.7201454455167,1644.9727253738536,557.6768282490975,220.58802719392475,0.6205117391080787,0.1569187569947273,,
1993,Millones de pesos corrientes,Empalme CCNN,5445.219751562029,4915.990676979312,3378.822777867415,3050.429924411534,2066.396973694614,1865.5607525677783,1508.7201454455167,1644.9727253738536,557.6768282490975,220.58802719392475,0.6205117391080787,0.1569187569947273,,
1993,Millones de pesos corrientes,Empalme CCNN,5445.219751562029,4915.990676979312,3379.807494884254,3051.318935304594,2065.412256677775,1864.6717416747183,1507.7354284286776,1644.0837144807936,557.6768282490975,220.58802719392475,0.6206925797466143,0.1569187569947273,,
1993,Millones de pesos corrientes,Empalme CCNN,5445.219751562029,4915.990676979312,3379.807494884254,3051.318935304594,2065.412256677775,1864.6717416747183,1507.7354284286776,1644.0837144807936,557.6768282490975,220.58802719392475,0.6206925797466143,0.1569187569947273,,
1994,Millones de pesos corrientes,Empalme CCNN,5858.849917438703,5289.419506657643,3616.8282739269202,3265.303309340164,2242.021643511783,2024.116197317479,1641.9825287988417,1786.77184688197,600.0391147129415,237.34435043550883,0.6173273466455476,0.1688386306538705,,
1994,Millones de pesos corrientes,Empalme CCNN,5858.849917438703,5289.419506657643,3616.8282739269202,3265.303309340164,2242.021643511783,2024.116197317479,1641.9825287988417,1786.77184688197,600.0391147129415,237.34435043550883,0.6173273466455476,0.1688386306538705,,
1994,Millones de pesos corrientes,Empalme CCNN,5858.849917438703,5289.419506657643,3617.7757056061982,3266.1586587135425,2241.074211832505,2023.2608479441005,1641.0350971195637,1785.9164975085916,600.0391147129415,237.34435043550883,0.617489056143594,0.1688386306538705,,
1994,Millones de pesos corrientes,Empalme CCNN,5858.849917438703,5289.419506657643,3617.7757056061982,3266.1586587135425,2241.074211832505,2023.2608479441005,1641.0350971195637,1785.9164975085916,600.0391147129415,237.34435043550883,0.617489056143594,0.1688386306538705,,
1995,Millones de pesos corrientes,Empalme CCNN,6883.956066331451,6214.894051449944,4241.229222790534,3829.0177934856424,2642.726843540918,2385.876257964301,1937.7006076802647,2107.004447965063,705.0262358606531,278.8718099992382,0.6161034704352405,0.19837984111204487,,
1995,Millones de pesos corrientes,Empalme CCNN,6883.956066331451,6214.894051449944,4241.229222790534,3829.0177934856424,2642.726843540918,2385.876257964301,1937.7006076802647,2107.004447965063,705.0262358606531,278.8718099992382,0.6161034704352405,0.19837984111204487,,
1995,Millones de pesos corrientes,Empalme CCNN,6883.956066331451,6214.894051449944,4242.25487797986,3829.943763708805,2641.7011883515916,2384.9502877411387,1936.6749524909385,2106.0784777419003,705.0262358606531,278.8718099992382,0.6162524625524829,0.19837984111204487,,
1995,Millones de pesos corrientes,Empalme CCNN,6883.956066331451,6214.894051449944,4242.25487797986,3829.943763708805,2641.7011883515916,2384.9502877411387,1936.6749524909385,2106.0784777419003,705.0262358606531,278.8718099992382,0.6162524625524829,0.19837984111204487,,
1996,Millones de pesos corrientes,Empalme CCNN,9189.213245399438,8296.099827780083,5597.075589750496,5053.087418495619,3592.137655648942,3243.0124092844635,2651.0165383002995,2870.753710140969,941.1211173486424,372.25869914349477,0.6090919255304758,0.26481207114073213,,
1996,Millones de pesos corrientes,Empalme CCNN,9189.213245399438,8296.099827780083,5597.075589750496,5053.087418495619,3592.137655648942,3243.0124092844635,2651.0165383002995,2870.753710140969,941.1211173486424,372.25869914349477,0.6090919255304758,0.26481207114073213,,
1996,Millones de pesos corrientes,Empalme CCNN,9189.213245399438,8296.099827780083,5599.0144670374075,5054.837853391021,3590.1987783620307,3241.261974389062,2649.077661013388,2869.0032752455672,941.1211173486424,372.25869914349477,0.6093029204475741,0.26481207114073213,,
