anio,fuente,variable,unidad,valor
2004.0,CCNN oficial,vbp_tot,Millones de pesos de 2018,605501.5672720431
2005.0,CCNN oficial,vbp_tot,Millones de pesos de 2018,627606.7418025899
2006.0,CCNN oficial,vbp_tot,Millones de pesos de 2018,772533.841776871
2007.0,CCNN oficial,vbp_tot,Millones de pesos de 2018,712644.7101507284
2008.0,CCNN oficial,vbp_tot,Millones de pesos de 2018,664428.691791113
2009.0,CCNN oficial,vbp_tot,Millones de pesos de 2018,622221.9673860065
2010.0,CCNN oficial,vbp_tot,Millones de pesos de 2018,591464.7515852235
2011.0,CCNN oficial,vbp_tot,Millones de pesos de 2018,570715.2347570802
2012.0,CCNN oficial,vbp_tot,Millones de pesos de 2018,557976.8789000575
2013.0,CCNN oficial,vbp_tot,Millones de pesos de 2018,550769.1238769066
2014.0,CCNN oficial,vbp_tot,Millones de pesos de 2018,596535.2269680972
2015.0,CCNN oficial,vbp_tot,Millones de pesos de 2018,517794.79667012906
2016.0,CCNN oficial,vbp_tot,Millones de pesos de 2018,524854.4270076773
2017.0,CCNN oficial,vbp_tot,Millones de pesos de 2018,488179.1788032753
2018.0,CCNN oficial,vbp_tot,Millones de pesos de 2018,770622.4057795978
2019.0,CCNN oficial,vbp_tot,Millones de pesos de 2018,740897.8261079653
2020.0,CCNN oficial,vbp_tot,Millones de pesos de 2018,484389.4361020702
1922.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1923.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1924.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1925.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1926.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1927.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1928.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1929.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1930.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1931.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1932.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1933.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1934.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1935.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1936.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1937.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1938.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1939.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1940.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1941.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1942.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1943.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1944.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1945.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1946.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1947.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1948.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1949.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1950.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1951.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1952.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1953.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1954.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1955.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1956.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1957.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1958.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1959.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1960.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1961.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1962.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1963.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1964.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1965.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1966.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1967.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1968.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1969.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1970.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1971.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,67316.03369670306
1972.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,57698.61973216175
1973.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1974.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,126183.27338336369
1975.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,78319.90721327225
1976.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,108191.5968206788
1977.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,105385.34011632022
1978.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,136951.7268076892
1979.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1980.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1981.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1982.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1983.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1984.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,186452.48209427847
1985.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,223917.58534418832
1986.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,191638.08597257597
1987.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,153439.312636385
1988.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,206927.95163812843
1989.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1990.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1991.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1992.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,
1993.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,116255.62211457611
1993.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,116255.62211457611
1994.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,120070.91751075348
1994.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,120070.91751075348
1995.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,136471.94375675084
1995.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,136471.94375675084
1996.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,181889.66521017888
1996.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,181889.66521017888
1997.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,183604.99875745983
1997.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,183604.99875745983
1998.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,135791.13363162908
1998.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,135791.13363162908
1999.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,165886.86662810767
1999.0,Criterio CCNN,vbp_tot,Millones de pesos de 2018,165886.86662810767
